RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,5.04,141,28
2,6,28237,Rory McIlroy,4.94,89,18
3,1,56630,Akshay Bhatia,4.89,132,27
4,1,50525,Collin Morikawa,4.82,106,22
5,-2,60004,Jacob Bridgeman,4.81,173,36
6,-4,37378,Min Woo Lee,4.77,143,30
7,0,36326,David Lipsky,4.70,94,20
8,2,52955,Ludvig Åberg,4.68,131,28
9,-3,40098,Matt Fitzpatrick,4.63,148,32
9,1,60386,Sudarshan Yellamaraju,4.63,162,35
11,1,59836,Pierceson Coody,4.61,152,33
11,6,34098,Russell Henley,4.61,129,28
11,3,57366,Cameron Young,4.61,129,28
14,-1,34099,Harris English,4.53,154,34
14,-6,52215,Robert MacIntyre,4.53,136,30
16,1,51287,Ryo Hisatsune,4.50,171,38
17,3,22405,Justin Rose,4.48,103,23
18,-2,59018,Ryan Gerard,4.47,161,36
19,-4,37455,Si Woo Kim,4.40,176,40
20,5,27349,Alex Noren,4.34,126,29
21,0,46442,Maverick McNealy,4.32,147,34
22,16,32839,Hideki Matsuyama,4.31,155,36
23,11,47420,Jake Knapp,4.30,129,30
24,18,36689,Brooks Koepka,4.29,103,24
25,5,59440,Ricky Castillo,4.28,137,32
26,-1,47504,Sam Burns,4.27,111,26
26,7,50095,Austin Smotherman,4.27,111,26
28,-5,59095,Chris Gotterup,4.26,145,34
29,-7,51766,Wyndham Clark,4.25,136,32
29,-5,57975,Harry Hall,4.25,119,28
31,4,32102,Rickie Fowler,4.21,118,28
31,4,39546,Keith Mitchell,4.21,160,38
33,7,36799,Stephan Jaeger,4.18,138,33
33,7,55893,Sam Stevens,4.18,159,38
33,-5,31323,Gary Woodland,4.18,117,28
36,8,57362,Austin Eckroat,4.14,120,29
37,9,48081,Xander Schauffele,4.10,123,30
38,-11,40026,Daniel Berger,4.09,131,32
39,-11,51977,Max Greyserman,4.08,106,26
39,10,54304,Karl Vilips,4.08,98,24
39,10,45242,Kevin Yu,4.08,102,25
42,-4,51349,Nico Echavarria,4.07,118,29
42,-12,49960,Sepp Straka,4.07,118,29
44,2,59141,Matt McCarty,4.05,154,38
44,10,46340,Alex Smalley,4.05,154,38
44,10,51600,Jimmy Stanger,4.05,85,21
47,-5,33204,Shane Lowry,4.04,97,24
48,9,47591,Eric Cole,4.03,129,32
48,9,29725,Tony Finau,4.03,141,35
50,30,33141,Keegan Bradley,4.00,104,26
50,11,61522,Michael Brennan,4.00,132,33
50,-5,28089,Jason Day,4.00,112,28
50,-13,30911,Tommy Fleetwood,4.00,96,24
50,-20,29936,Ryan Fox,4.00,80,20
55,8,36699,Patrick Rodgers,3.98,159,40
56,9,50497,Adrien Dumont de Chassart,3.94,126,32
