RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,28237,Rory McIlroy,0.799,11.180,14
2,0,51003,Marco Penge,0.753,17.322,23
3,0,64442,Gordon Sargent,0.711,9.953,14
4,0,57366,Cameron Young,0.699,16.078,23
5,0,63343,Aldrich Potgieter,0.684,13.684,20
6,0,31323,Gary Woodland,0.678,14.240,21
7,0,37378,Min Woo Lee,0.675,17.561,26
8,0,61522,Michael Brennan,0.658,14.480,22
9,0,52215,Robert MacIntyre,0.655,17.029,26
10,0,39546,Keith Mitchell,0.625,21.868,35
11,0,46046,Scottie Scheffler,0.623,13.716,22
12,0,63454,Johnny Keefer,0.621,15.521,25
13,0,63807,Neal Shipley,0.618,9.890,16
14,0,59095,Chris Gotterup,0.579,16.805,29
15,0,37455,Si Woo Kim,0.572,18.886,33
16,0,40098,Matt Fitzpatrick,0.549,14.273,26
17,0,55893,Sam Stevens,0.545,16.891,31
18,0,50525,Collin Morikawa,0.542,9.749,18
19,0,56781,Isaiah Salinda,0.539,7.543,14
20,0,51287,Ryo Hisatsune,0.509,17.806,35
21,0,46464,Jordan Smith,0.501,13.534,27
22,0,51600,Jimmy Stanger,0.498,7.470,15
23,0,52955,Ludvig Åberg,0.497,10.430,21
24,0,50095,Austin Smotherman,0.479,11.027,23
25,0,59836,Pierceson Coody,0.467,13.998,30
26,0,49855,Kristoffer Reitan,0.456,11.401,25
27,0,40250,Taylor Pendrith,0.452,11.760,26
28,0,35296,Haotong Li,0.450,10.343,23
29,0,34076,Joel Dahmen,0.445,9.342,21
30,0,60386,Sudarshan Yellamaraju,0.438,12.269,28
31,0,35450,Patrick Cantlay,0.437,9.179,21
32,0,30911,Tommy Fleetwood,0.435,8.705,20
33,0,34099,Harris English,0.433,11.693,27
34,0,48081,Xander Schauffele,0.423,10.585,25
35,0,52375,Doug Ghim,0.422,8.447,20
36,0,49947,Taylor Moore,0.410,10.246,25
37,0,35658,Kris Ventura,0.381,4.576,12
38,0,52689,Rasmus Neergaard-Petersen,0.356,6.048,17
39,0,65256,David Ford,0.351,8.074,23
40,0,24502,Adam Scott,0.315,7.887,25
41,0,29936,Ryan Fox,0.312,5.621,18
41,0,51950,Max McGreevy,0.312,10.283,33
43,0,46442,Maverick McNealy,0.310,8.990,29
44,0,59018,Ryan Gerard,0.300,8.700,29
45,0,32102,Rickie Fowler,0.298,7.748,26
46,0,47504,Sam Burns,0.269,5.373,20
47,0,47420,Jake Knapp,0.264,6.602,25
48,0,52453,Nicolai Højgaard,0.256,6.903,27
49,0,51696,Rico Hoey,0.255,9.173,36
50,0,58168,Davis Thompson,0.252,6.050,24
51,0,60004,Jacob Bridgeman,0.245,7.357,30
52,0,33968,Thorbjørn Olesen,0.234,4.441,19
53,0,48887,Matt Wallace,0.228,4.109,18
54,1,48117,Kurt Kitayama,0.212,5.712,27
55,1,39997,Corey Conners,0.211,5.497,26
56,1,54628,Lee Hodges,0.209,5.024,24
57,1,33204,Shane Lowry,0.206,4.129,20
58,1,39335,Kevin Roy,0.204,6.109,30
59,1,57364,Michael Thorbjornsen,0.198,5.533,28
60,1,52686,Rasmus Højgaard,0.172,3.964,23
61,1,49960,Sepp Straka,0.169,3.893,23
62,1,33141,Keegan Bradley,0.167,3.506,21
63,1,63121,William Mouw,0.159,3.505,22
64,1,34371,Adrien Saddier,0.156,3.277,21
64,1,39324,J.J. Spaun,0.156,3.579,23
66,1,28089,Jason Day,0.153,3.218,21
67,1,59440,Ricky Castillo,0.142,3.560,25
