RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,27649,Brandt Snedeker,0.769,9.233,12
2,0,30911,Tommy Fleetwood,0.712,14.237,20
3,0,46046,Scottie Scheffler,0.618,13.596,22
4,0,47591,Eric Cole,0.540,14.582,27
5,0,57975,Harry Hall,0.538,12.914,24
6,0,36326,David Lipsky,0.524,6.812,13
7,0,34256,Andrew Putnam,0.515,12.879,25
8,0,25493,Nick Taylor,0.503,16.084,32
9,0,27349,Alex Noren,0.498,10.946,22
10,0,28089,Jason Day,0.457,9.602,21
11,0,54591,Ben Griffin,0.454,12.699,28
12,0,50497,Adrien Dumont de Chassart,0.438,10.955,25
13,0,52955,Ludvig Åberg,0.420,8.811,21
14,0,32839,Hideki Matsuyama,0.390,12.088,31
15,0,28237,Rory McIlroy,0.386,5.398,14
16,0,37338,Zecheng Dou,0.358,9.653,27
16,0,51634,Sahith Theegala,0.358,12.532,35
18,0,39335,Kevin Roy,0.345,10.350,30
19,0,54607,Danny Walker,0.339,9.486,28
20,0,54422,Christo Lamprecht,0.331,5.301,16
21,0,52375,Doug Ghim,0.311,6.224,20
22,0,40098,Matt Fitzpatrick,0.309,8.021,26
23,0,39971,Sungjae Im,0.307,3.679,12
24,-1,29725,Tony Finau,0.300,9.602,32
25,-1,45522,Christiaan Bezuidenhout,0.299,7.475,25
26,-1,59095,Chris Gotterup,0.296,8.575,29
26,-1,35461,Beau Hossler,0.296,5.324,18
28,-1,37378,Min Woo Lee,0.294,7.639,26
29,-1,33141,Keegan Bradley,0.272,5.719,21
30,-1,36799,Stephan Jaeger,0.255,7.647,30
31,-1,28252,Seamus Power,0.249,6.235,25
32,-1,35450,Patrick Cantlay,0.247,5.194,21
33,-1,46717,Viktor Hovland,0.240,5.281,22
34,0,57364,Michael Thorbjornsen,0.229,6.425,28
35,0,59440,Ricky Castillo,0.227,5.664,25
