time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,green hit rate,"Kohles, Ben",46,0.862,196,0.888,259,0.708,134,0.494,43,0.546,47,0.382
l12_months,green hit rate,"Conners, Corey",73,0.813,334,0.883,484,0.752,246,0.504,111,0.531,140,0.299
l12_months,green hit rate,"Cantlay, Patrick",81,0.898,243,0.876,373,0.75,200,0.445,132,0.539,119,0.345
l12_months,green hit rate,"Jang, Yubin",18,0.743,42,0.876,null,null,null,null,21,0.765,null,null
l12_months,green hit rate,"Molinari, Francesco",null,null,56,0.874,92,0.785,40,0.465,12,0.368,null,null
l12_months,green hit rate,"Stenson, Henrik",18,0.856,63,0.866,57,0.816,33,0.544,null,null,null,null
l12_months,green hit rate,"Thornberry, Braden",20,0.919,67,0.865,86,0.677,32,0.369,45,0.602,31,0.27
l12_months,green hit rate,"Koivun, Jackson",19,0.715,83,0.863,96,0.734,52,0.459,30,0.47,25,0.228
l12_months,green hit rate,"Villegas, Camilo",54,0.877,149,0.862,230,0.655,111,0.377,91,0.564,85,0.263
l12_months,green hit rate,"Smotherman, Austin",54,0.858,166,0.862,314,0.691,123,0.494,62,0.609,82,0.415
l12_months,green hit rate,"Hisatsune, Ryo",113,0.856,391,0.861,497,0.69,240,0.504,164,0.586,140,0.396
l12_months,green hit rate,"McIlroy, Rory",53,0.839,197,0.858,232,0.676,135,0.548,125,0.541,93,0.45
l12_months,green hit rate,"Reed, Patrick",41,0.909,105,0.858,134,0.743,63,0.462,41,0.555,54,0.295
l12_months,green hit rate,"Salinda, Isaiah",44,0.838,125,0.857,160,0.689,78,0.414,57,0.536,47,0.368
l12_months,green hit rate,"Stout, Preston",18,0.787,56,0.857,78,0.687,42,0.48,24,0.346,21,0.258
l12_months,green hit rate,"Todd, Brendon",24,0.739,53,0.854,76,0.387,35,0.195,23,0.451,27,0.232
l12_months,green hit rate,"Hojgaard, Rasmus",83,0.848,203,0.854,254,0.698,120,0.508,130,0.535,134,0.392
l12_months,green hit rate,"Cook, Austin",24,0.85,66,0.849,92,0.634,52,0.345,26,0.561,29,0.45
l12_months,green hit rate,"Snedeker, Brandt",67,0.881,222,0.849,324,0.684,133,0.426,76,0.551,86,0.268
l12_months,green hit rate,"Lowry, Shane",85,0.85,276,0.848,365,0.71,190,0.529,101,0.589,131,0.366
l12_months,green hit rate,"Morikawa, Collin",71,0.901,262,0.848,397,0.715,193,0.503,90,0.574,93,0.429
l12_months,green hit rate,"Peterson, Paul",65,0.928,161,0.848,241,0.602,120,0.47,55,0.626,46,0.284
l12_months,green hit rate,"Harman, Brian",105,0.884,298,0.848,473,0.69,262,0.507,144,0.532,136,0.307
l12_months,green hit rate,"Noh, S.Y.",18,0.854,42,0.847,73,0.705,39,0.516,12,0.509,19,0.357
l12_months,green hit rate,"Covello, Vince",16,0.873,48,0.847,60,0.691,null,null,39,0.591,null,null
l12_months,green hit rate,"Scheffler, Scottie",110,0.908,308,0.845,431,0.737,225,0.487,110,0.55,130,0.396
