Last Name,First Name,SHORT GAME,APPROACH,Driving-Distance,Driving-Accuracy,Total SG Adjustment,putting-2-5ft,putting-5-30ft,putting-30+,aroundgreen-Fairway,aroundgreen-Rought,aroundgreen-Bunker,approach-50-100,approach-100-150,approach-150-200,approach-200+
PETERSON,PAUL,0.00,0,0.23,0.11,0.34,7,11.3,4,2.8,2.1,1.1,1.1,5.2,7.5,4
PUTNAM,ANDREW,0.00,0,0.21,0.1,0.32,7,11.2,3.9,2.7,2.1,1.1,1.1,5.2,7.4,4
CHATFIELD,DAVIS,0.00,0,0.2,0.1,0.3,7.1,11.4,4,2.7,2.1,1.1,1.2,5.2,7.4,4
SNEDEKER,BRANDT,0.00,0,0.2,0.09,0.29,7,11.2,4,2.8,2.1,1.1,1.2,5.2,7.4,4
BLAIR,ZAC,0.00,0.01,0.18,0.08,0.27,7,11.4,3.9,2.6,2,1.1,1.2,5.2,7.4,4
CAMPBELL,BRIAN,0.00,-0.01,0.2,0.07,0.25,7.1,11.3,4.1,2.9,2.2,1.2,1.2,5.2,7.4,4
KOHLES,BEN,0.00,0.01,0.11,0.13,0.25,7,11.5,3.9,2.5,2,1,1.3,5.2,7.3,4
KUCHAR,MATT,0.00,-0.01,0.17,0.06,0.23,7,11.2,4,2.8,2.2,1.2,1.2,5.2,7.4,4
GLOVER,LUCAS,0.00,0.01,0.1,0.1,0.22,6.9,11.5,3.9,2.5,2,1,1.4,5.2,7.3,3.9
GOMEZ,FABIAN,0.00,-0.01,0.14,0.07,0.21,7,11.3,4,2.8,2.2,1.2,1.3,5.2,7.3,4
GARNETT,BRICE,0.00,-0.01,0.12,0.08,0.19,7.1,11.4,4.1,2.8,2.2,1.1,1.3,5.2,7.3,3.9
DAHMEN,JOEL,0.00,0.01,0.09,0.09,0.19,7,11.6,4,2.6,2.1,1,1.4,5.2,7.2,3.9
DUNCAN,TYLER,0.00,-0.01,0.1,0.09,0.18,7.1,11.5,4.1,2.8,2.3,1.1,1.4,5.2,7.3,3.9
HIRATA,KENSEI,0.00,-0.01,0.1,0.07,0.16,7.1,11.4,4,2.8,2.3,1.2,1.4,5.2,7.2,3.9
BEZUIDENHOUT,CHRISTIAAN,0.00,0.01,0.1,0.04,0.16,7,11.3,3.9,2.6,2,1.1,1.4,5.2,7.3,3.9
KANAYA,TAKUMI,0.00,-0.01,0.1,0.07,0.15,7,11.2,3.9,2.9,2.3,1.2,1.4,5.2,7.2,3.9
BLANCHET,CHANDLER,0.00,0,0.07,0.08,0.15,7.2,11.7,4.1,2.7,2.2,1.1,1.4,5.2,7.2,3.9
ROZO,MARCELO,0.00,-0.01,0.09,0.06,0.15,7.1,11.6,4.1,2.8,2.3,1.1,1.4,5.2,7.2,3.9
HARMAN,BRIAN,0.00,0.01,0.07,0.05,0.13,7,11.4,3.9,2.6,2.1,1.1,1.4,5.2,7.2,3.9
GRILLO,EMILIANO,0.00,0,0.05,0.08,0.13,7.2,11.5,4,2.7,2.2,1.1,1.5,5.2,7.2,3.9
PARRY,JOHN,0.00,0.01,0.07,0.05,0.13,7,11.4,3.9,2.6,2,1,1.5,5.2,7.2,3.9
MCGREEVY,MAX,0.00,0.01,0.05,0.06,0.13,7,11.4,3.9,2.6,2.1,1,1.5,5.2,7.2,3.9
LOWER,JUSTIN,0.00,-0.01,0.1,0.04,0.13,7.1,11.4,4.1,2.9,2.3,1.2,1.4,5.2,7.2,3.9
HODGES,LEE,0.00,0,0.05,0.07,0.12,7.2,11.5,4,2.7,2.2,1.1,1.5,5.2,7.2,3.9
SVENSSON,ADAM,0.00,0,0.09,0.03,0.11,7,11.3,4,2.7,2.1,1.1,1.4,5.2,7.2,3.9
LIPSKY,DAVID,0.00,0,0.09,0.02,0.11,7,11.3,4,2.7,2.1,1.1,1.4,5.2,7.2,3.9
SILVERMAN,BEN,0.00,-0.01,0.1,0.03,0.11,7.2,11.4,4.1,2.9,2.3,1.2,1.4,5.2,7.2,3.9
SMOTHERMAN,AUSTIN,0.00,0.01,0.03,0.07,0.11,7.2,11.7,4,2.5,2.1,1,1.5,5.2,7.1,3.9
STREELMAN,KEVIN,0.00,-0.01,0.09,0.02,0.1,7.1,11.4,4.1,2.8,2.2,1.1,1.4,5.2,7.2,3.9
LINDHEIM,NICHOLAS,0.00,-0.02,0.08,0.04,0.1,7.1,11.4,4.2,3,2.4,1.2,1.4,5.2,7.2,3.9
CONNERS,COREY,0.00,0.02,0.01,0.06,0.09,7.1,11.5,3.9,2.5,2,1,1.6,5.2,7.1,3.9
JARVIS,CASEY,0.00,0.01,0.02,0.05,0.08,7.2,11.6,4,2.6,2.1,1,1.6,5.2,7.1,3.9
KIM,TOM,0.00,0.02,0.02,0.04,0.08,7,11.4,3.8,2.4,1.9,1,1.6,5.2,7.1,3.9
MARTIN,BEN,0.00,-0.01,0.08,0.01,0.08,7,11.4,4.1,2.8,2.2,1.2,1.5,5.2,7.2,3.9
HOGE,TOM,0.00,0.01,0.07,-0.01,0.07,7.1,11.5,4,2.6,2,1.1,1.5,5.2,7.2,3.9
MCCARTHY,DENNY,0.00,0,0.07,-0.01,0.06,7.1,11.3,4,2.7,2.1,1.1,1.5,5.2,7.2,3.9
MERRITT,TROY,0.00,-0.02,0.08,0,0.06,7.1,11.3,4.1,2.9,2.3,1.2,1.5,5.2,7.2,3.9
POWER,SEAMUS,0.00,-0.01,0.05,0.02,0.06,7.1,11.3,4,2.8,2.2,1.1,1.5,5.2,7.2,3.9
HUBBARD,MARK,0.00,0,0.05,0,0.05,7,11.4,4,2.7,2.1,1.1,1.5,5.2,7.2,3.9
GHIM,DOUG,0.00,0.01,-0.02,0.05,0.04,7,11.5,3.8,2.5,2.1,1,1.6,5.2,7,3.8
VILLEGAS,CAMILO,0.00,-0.01,0.11,-0.06,0.04,7,11.2,4.1,2.9,2.2,1.2,1.4,5.2,7.3,3.9
SMITH,JORDAN,0.00,0.01,-0.04,0.07,0.04,7.1,11.6,3.9,2.5,2.1,1,1.7,5.2,7,3.8
DONOHUE,MUZZY,0.00,-0.07,0.21,-0.1,0.04,7.3,11.1,4.9,4,2.9,1.8,1.3,5.2,7.4,3.9
IM,SUNGJAE,0.00,-0.01,0.01,0.03,0.04,6.9,11.2,3.8,2.8,2.3,1.1,1.6,5.2,7.1,3.8
JAMES,BEN,0.00,0.01,-0.01,0.04,0.04,7,11.5,3.9,2.6,2.1,1,1.6,5.2,7.1,3.8
GRIFFIN,LANTO,0.00,0,0.05,0,0.04,7.1,11.4,4,2.7,2.2,1.1,1.5,5.2,7.2,3.9
PHILLIPS,CHANDLER,0.00,-0.01,0.05,0,0.04,7,11.2,4,2.8,2.3,1.2,1.5,5.2,7.2,3.9
BAUCHOU,ZACH,0.00,0.01,0.02,0,0.03,7.1,11.4,3.9,2.6,2.1,1,1.6,5.2,7.1,3.8
HADWIN,ADAM,0.00,-0.01,0.03,0.01,0.03,7.1,11.4,4.1,2.8,2.3,1.2,1.6,5.2,7.1,3.8
SCHEFFLER,SCOTTIE,0.00,0.03,-0.07,0.07,0.03,7,11.5,3.6,2.2,1.9,0.9,1.7,5.2,7,3.8
MATSUYAMA,HIDEKI,0.00,0.02,0.01,0.01,0.03,6.9,11.3,3.8,2.5,2,1,1.6,5.2,7.1,3.8
WU,DYLAN,0.00,0,0.05,-0.02,0.03,7.1,11.4,4,2.7,2.1,1.1,1.6,5.2,7.2,3.8
KIRK,CHRIS,0.00,0.01,0.01,0,0.03,6.9,11.4,3.9,2.6,2.1,1,1.6,5.2,7.1,3.8
HORSCHEL,BILLY,0.00,0,0.04,-0.02,0.02,7.1,11.5,4,2.7,2.1,1.1,1.6,5.2,7.1,3.8
CAMPBELL,THOMAS,0.00,-0.04,0.1,-0.05,0.02,7.2,11.3,4.4,3.2,2.5,1.4,1.5,5.2,7.2,3.9
SCHULTZ,COOPER,0.00,-0.03,0.08,-0.03,0.01,7.1,11.3,4.3,3.1,2.4,1.3,1.5,5.2,7.2,3.9
SANDHU,SIHAN,0.00,-0.03,0.07,-0.03,0.01,7.1,11.3,4.3,3.1,2.4,1.3,1.5,5.2,7.2,3.9
FAHRNY,BRANNON,0.00,-0.03,0.07,-0.03,0.01,7.1,11.3,4.3,3.1,2.4,1.3,1.5,5.2,7.2,3.9
LEBIODA,HANK,0.00,0,0.04,-0.03,0.01,7,11.4,4,2.8,2.2,1.1,1.6,5.2,7.2,3.8
KIZZIRE,PATTON,0.00,-0.01,0.08,-0.05,0.01,6.9,11.1,4,2.9,2.2,1.2,1.5,5.2,7.2,3.9
KOIVUN,JACKSON,0.00,0,-0.03,0.03,0.01,7.1,11.5,3.9,2.6,2.2,1.1,1.7,5.2,7,3.8
RAMEY,CHAD,0.00,-0.01,0.02,-0.01,0.01,7.1,11.3,4,2.9,2.3,1.2,1.6,5.2,7.1,3.8
PAVON,MATTHIEU,0.00,-0.01,-0.01,0.02,0,7.1,11.5,4,2.8,2.3,1.1,1.6,5.2,7.1,3.8
NEERGAARD-PETERSEN,RASMUS,0.00,0.01,-0.04,0.04,0,7.2,11.6,4,2.6,2.2,1,1.7,5.2,7,3.8
ECKROAT,AUSTIN,0.00,0,0.01,-0.01,0,7.3,11.6,4.1,2.7,2.1,1.1,1.6,5.2,7.1,3.8
NAKAJIMA,KEITA,0.00,0,-0.01,0.01,0,7.2,11.5,4,2.7,2.2,1.1,1.7,5.2,7.1,3.8
HOSSLER,BEAU,0.00,-0.01,0.01,-0.01,0,7,11.2,3.9,2.8,2.2,1.1,1.6,5.2,7.1,3.8
MEISSNER,MAC,0.00,0.01,-0.01,-0.01,-0.01,7,11.3,3.9,2.6,2.1,1,1.7,5.2,7.1,3.8
KIM,MICHAEL,0.00,0.01,0.02,-0.04,-0.01,7.1,11.4,3.9,2.6,2.1,1.1,1.6,5.2,7.1,3.8
EWART,A.J.,0.00,0,0.02,-0.03,-0.01,7.1,11.3,4,2.8,2.2,1.1,1.6,5.2,7.1,3.8
ROY,KEVIN,0.00,0,-0.02,0.01,-0.02,7,11.3,3.9,2.7,2.2,1.1,1.7,5.2,7,3.8
SHIPLEY,NEAL,0.00,-0.01,-0.04,0.03,-0.02,7.2,11.6,4.1,2.7,2.3,1.1,1.7,5.2,7,3.8
OLESEN,THORBJORN,0.00,0,-0.01,-0.01,-0.02,7,11.5,4,2.6,2.1,1.1,1.7,5.2,7.1,3.8
THOMPSON,DAVIS,0.00,0.01,-0.04,0.01,-0.02,7,11.5,3.9,2.6,2.1,1,1.7,5.2,7,3.8
HOFFMAN,CHARLEY,0.00,-0.01,0.02,-0.03,-0.02,7.1,11.5,4.2,2.9,2.3,1.2,1.6,5.2,7.1,3.8
HIGHSMITH,JOE,0.00,0,0,-0.03,-0.03,7,11.4,4,2.8,2.2,1.1,1.6,5.2,7.1,3.8
CASTILLO,RICKY,0.00,0,-0.03,0,-0.03,7,11.4,3.9,2.7,2.2,1.1,1.7,5.2,7,3.8
SKINNS,DAVID,0.00,0,0,-0.03,-0.03,7.1,11.4,4,2.7,2.2,1.1,1.6,5.2,7.1,3.8
SUBER,JACKSON,0.00,0.01,-0.03,-0.01,-0.03,7.1,11.5,3.9,2.6,2.1,1,1.7,5.2,7,3.8
HOEY,RICO,0.00,0.01,-0.06,0.02,-0.03,7.1,11.6,3.9,2.6,2.2,1,1.7,5.2,7,3.8
MOUW,WILLIAM,0.00,0.01,-0.04,0,-0.03,7.1,11.5,4,2.6,2.1,1,1.7,5.2,7,3.8
KANG,JEFFREY,0.00,0,0.03,-0.07,-0.03,7,11.3,4,2.8,2.2,1.1,1.6,5.2,7.1,3.8
