event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole
3M Open,TPC Twin Cities,"Bauchou, Zach",19846,48001,97,158,85,8:35 AM,early,10,1:50 PM,late,1
3M Open,TPC Twin Cities,"Bezuidenhout, Christiaan",18103,45522,73,98,92,12:22 PM,late,10,7:07 AM,early,1
3M Open,TPC Twin Cities,"Blair, Zac",17639,40058,101,155,128,12:22 PM,late,1,7:07 AM,early,10
3M Open,TPC Twin Cities,"Blanchet, Chandler",24956,54788,289,126,104,8:46 AM,early,10,2:01 PM,late,1
3M Open,TPC Twin Cities,"Brehm, Ryan",10423,28420,null,null,200,7:07 AM,early,1,12:22 PM,late,10
3M Open,TPC Twin Cities,"Brennan, Michael",29197,61522,90,61,105,7:51 AM,early,1,1:06 PM,late,10
3M Open,TPC Twin Cities,"Campbell, Brian",18628,46443,387,140,161,12:33 PM,late,10,7:18 AM,early,1
3M Open,TPC Twin Cities,"Campbell, Thomas",18359,46238,null,null,null,1:39 PM,late,10,8:24 AM,early,1
3M Open,TPC Twin Cities,"Campos, Rafael",12909,32070,null,null,172,6:56 AM,early,1,12:11 PM,late,10
3M Open,TPC Twin Cities,"Castillo, Ricky",27819,59440,105,99,69,12:33 PM,late,10,7:18 AM,early,1
3M Open,TPC Twin Cities,"Champ, Cameron",23542,52372,444,373,203,12:11 PM,late,10,6:56 AM,early,1
3M Open,TPC Twin Cities,"Chatfield, Davis",30620,59006,239,267,144,1:50 PM,late,10,8:35 AM,early,1
3M Open,TPC Twin Cities,"Clanton, Luke",32330,66743,291,296,153,1:28 PM,late,1,8:13 AM,early,10
3M Open,TPC Twin Cities,"Conners, Corey",17576,39997,53,48,58,7:18 AM,early,10,12:33 PM,late,1
3M Open,TPC Twin Cities,"Coody, Pierceson",28309,59836,61,58,51,12:11 PM,late,1,6:56 AM,early,10
3M Open,TPC Twin Cities,"Cowan, Ryder",35481,70695,325,null,null,8:35 AM,early,10,1:50 PM,late,1
3M Open,TPC Twin Cities,"Crowe, Trace",27780,52514,226,240,152,8:46 AM,early,1,2:01 PM,late,10
3M Open,TPC Twin Cities,"Dahmen, Joel",14509,34076,198,209,114,1:06 PM,late,10,7:51 AM,early,1
3M Open,TPC Twin Cities,"Davis, Cam",17786,45157,476,297,189,7:40 AM,early,1,12:55 PM,late,10
3M Open,TPC Twin Cities,"Donohue, Muzzy",33994,67287,null,null,null,2:01 PM,late,1,8:46 AM,early,10
3M Open,TPC Twin Cities,"Dou, Zecheng",16757,37338,164,196,122,8:46 AM,early,10,2:01 PM,late,1
3M Open,TPC Twin Cities,"Dumont De Chassart, Adrien",22002,50497,141,174,111,8:24 AM,early,10,1:39 PM,late,1
3M Open,TPC Twin Cities,"Duncan, Tyler",18187,45609,351,409,169,6:56 AM,early,1,12:11 PM,late,10
3M Open,TPC Twin Cities,"Dunlap, Nick",28270,59866,281,362,159,12:22 PM,late,1,7:07 AM,early,10
3M Open,TPC Twin Cities,"Eckroat, Austin",26653,57362,158,187,113,12:11 PM,late,1,6:56 AM,early,10
