player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Scheffler, Scottie",9,36,36,2,5,6,9,0.376,24,-1.712,-0.406,0.248,1.558,2.736,1.461,0.468,7,-1.072,-0.027,0.513,0.944,1.926,0.929,1.387,1,-1.113,0.453,1.242,2.519,3.842,1.528,0.910,3,-0.772,0.469,1.193,1.455,1.786,0.763,2.298,1,-0.687,1.090,2.258,3.445,4.881,1.751,2.764,1,0.357,1.261,2.486,4.361,5.287,1.721,3.141,1,0.279,1.604,2.787,4.496,6.739,2.176,3.141,1,0.279,1.604,2.787,4.496,6.739,2.176,4.693,44,-9.892,0.136,5.248,9.329,18.459,9.187,0.068,18,-0.130,-0.003,0.092,0.143,0.205,0.116
"Koivun, Jackson",2,8,8,0,1,1,2,0.564,13,-2.770,0.278,1.344,1.859,2.136,2.036,0.383,13,-0.791,-0.090,0.437,0.894,1.448,0.842,0.745,8,-0.972,-0.192,1.033,1.580,2.162,1.242,0.500,13,-0.604,-0.173,0.545,1.032,1.699,0.897,1.246,6,-0.879,-0.807,1.973,2.430,3.218,1.796,1.629,2,-1.292,0.387,2.368,2.762,3.733,1.970,2.193,2,0.190,0.931,1.812,3.410,4.746,1.818,2.193,2,0.190,0.931,1.812,3.410,4.746,1.818,5.223,39,-18.446,3.886,10.378,11.484,18.695,14.487,0.098,3,-0.108,0.032,0.124,0.152,0.287,0.147
"Cowan, Ryder",1,4,4,0,0,0,1,0.144,49,-0.630,-0.524,-0.311,0.357,1.556,1.161,1.386,1,0.924,1.156,1.408,1.638,1.816,0.426,-0.388,104,-1.028,-0.883,-0.602,-0.106,0.552,0.789,0.438,17,-1.326,0.038,0.647,1.047,1.910,1.567,0.050,59,-2.185,-0.966,0.473,1.489,1.694,1.951,1.436,4,-0.416,0.439,1.532,2.529,3.153,1.721,1.580,3,-0.922,-0.174,1.132,2.886,4.709,2.736,1.580,3,-0.922,-0.174,1.132,2.886,4.709,2.736,2.667,58,-4.060,0.752,4.342,6.257,7.051,5.613,0.074,14,-0.061,0.005,0.044,0.113,0.250,0.152
"Conners, Corey",9,36,36,0,0,3,8,0.121,53,-2.209,-0.573,0.342,0.664,1.974,1.403,0.078,49,-1.694,-0.675,0.185,0.950,2.044,1.158,0.817,6,-1.719,-0.067,0.741,1.693,3.318,1.455,0.455,16,-1.742,-0.007,0.756,1.326,1.861,1.304,1.271,3,-2.842,0.336,1.496,2.571,4.081,2.273,1.347,7,-3.219,-0.151,1.943,3.075,4.906,2.812,1.468,4,-5.817,0.032,1.681,3.218,5.614,3.207,1.468,4,-5.817,0.032,1.681,3.218,5.614,3.207,-3.255,95,-18.289,-10.579,-4.861,4.032,11.302,9.633,0.062,23,-0.120,-0.023,0.071,0.134,0.226,0.126
"Horschel, Billy",9,32,32,0,2,3,4,0.553,14,-2.053,-0.522,0.182,1.865,3.221,1.620,-0.026,70,-1.899,-0.629,-0.113,0.936,1.803,1.117,0.562,14,-1.993,-0.440,0.445,1.416,3.256,1.650,0.118,55,-1.972,-0.484,0.350,0.884,1.529,1.133,0.681,21,-1.773,-0.441,0.592,1.892,3.925,1.870,0.655,23,-2.535,-1.161,0.831,2.259,3.689,2.351,1.208,5,-2.833,-0.893,0.898,3.498,5.996,2.865,1.208,5,-2.833,-0.893,0.898,3.498,5.996,2.865,-2.575,91,-22.963,-7.539,-0.736,4.062,12.362,11.707,0.015,56,-0.164,-0.070,0.015,0.095,0.226,0.130
"Kitayama, Kurt",11,38,38,1,1,2,4,-0.182,85,-2.707,-1.382,-0.071,0.867,2.144,1.548,0.254,23,-1.196,-0.330,0.252,0.796,1.529,1.016,0.775,7,-1.382,-0.594,0.289,1.746,3.594,1.687,0.347,29,-1.369,-0.443,0.485,0.941,1.927,1.257,1.122,7,-1.805,0.213,1.026,2.218,4.578,2.275,1.377,5,-2.262,0.509,0.974,3.159,6.055,2.605,1.195,6,-2.696,-1.080,1.477,3.183,5.698,3.048,1.195,6,-2.696,-1.080,1.477,3.183,5.698,3.048,7.705,25,-7.226,-0.026,6.633,17.558,21.160,9.747,-0.016,83,-0.248,-0.114,-0.020,0.075,0.196,0.139
"Meissner, Mac",12,44,43,0,2,2,5,0.206,40,-1.915,-0.893,0.079,1.390,2.946,1.593,0.122,38,-1.249,-0.317,0.282,0.640,1.303,0.827,0.629,12,-1.636,-0.380,0.550,1.934,3.196,1.552,0.144,49,-1.331,-0.354,0.147,0.602,1.520,0.838,0.774,16,-1.523,-0.383,0.684,2.180,3.247,1.606,0.899,14,-1.529,-0.271,0.820,2.192,3.336,1.859,1.101,7,-2.396,-0.801,1.328,2.524,4.259,2.190,1.101,7,-2.396,-0.801,1.328,2.524,4.259,2.190,0.087,76,-12.675,-6.672,-0.481,4.953,17.052,9.224,0.005,64,-0.172,-0.094,0.025,0.100,0.204,0.128
"Kim, Tom",10,35,35,0,2,2,3,0.048,62,-2.697,-0.932,0.163,1.056,2.605,1.745,0.274,20,-1.211,-0.519,0.143,0.971,1.904,1.090,0.743,9,-1.689,-0.831,0.581,1.909,3.736,1.742,0.031,69,-1.470,-0.623,0.071,0.757,1.679,1.092,0.774,15,-2.335,-0.910,0.364,2.464,4.113,2.127,1.048,8,-2.880,-0.682,0.955,2.820,5.431,2.564,1.095,8,-3.411,-1.394,1.437,2.784,5.897,3.237,1.095,8,-3.411,-1.394,1.437,2.784,5.897,3.237,-0.552,79,-22.610,-9.744,0.980,9.016,21.038,15.305,0.034,39,-0.125,-0.037,0.014,0.112,0.205,0.110
"McNealy, Maverick",12,40,35,1,3,5,5,0.385,22,-2.229,-0.624,0.628,1.338,2.562,1.529,0.506,5,-0.681,-0.230,0.596,1.070,2.466,0.946,0.042,55,-2.585,-0.805,0.237,1.241,2.255,1.710,0.045,68,-2.792,-0.210,0.353,1.012,1.523,1.504,0.087,54,-3.188,-1.478,0.784,1.495,3.439,2.512,0.595,25,-2.676,-0.896,0.556,2.052,4.526,2.666,1.038,9,-2.653,-0.560,1.041,2.927,6.558,3.327,1.038,9,-2.653,-0.560,1.041,2.927,6.558,3.327,1.293,67,-18.500,-4.555,2.643,7.343,14.478,11.312,-0.017,85,-0.205,-0.105,-0.011,0.067,0.159,0.125
"Matsuyama, Hideki",10,38,38,1,1,1,3,0.048,61,-2.391,-0.780,-0.112,1.030,2.420,1.488,0.498,6,-0.953,-0.135,0.491,1.107,2.075,0.896,0.335,23,-2.210,-0.739,0.528,1.461,2.471,1.479,0.154,46,-1.414,-0.381,0.268,0.981,1.379,0.955,0.490,32,-2.719,-0.263,0.579,1.424,3.169,1.854,0.986,10,-2.344,0.078,0.877,2.286,3.927,1.924,1.034,10,-3.006,-0.789,1.344,2.557,4.598,2.500,1.034,10,-3.006,-0.789,1.344,2.557,4.598,2.500,1.838,64,-13.245,-3.157,1.766,10.031,15.791,11.380,-0.021,92,-0.258,-0.128,0.001,0.086,0.182,0.150
