player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Scheffler, Scottie",22,86,84,4,16,16,21,0.658,1,-1.818,-0.388,0.599,1.713,3.297,1.606,0.465,3,-0.942,-0.170,0.479,0.961,2.465,1.015,1.094,1,-1.293,0.323,1.059,1.909,3.165,1.432,0.872,2,-0.694,0.388,0.882,1.424,1.877,0.764,1.966,1,-0.968,1.120,2.048,3.026,4.522,1.655,2.431,1,-0.787,1.278,2.464,3.574,5.350,1.793,3.111,1,-0.843,1.522,3.445,4.850,6.527,2.328,3.111,1,-0.843,1.522,3.445,4.850,6.527,2.328,8.669,18,-8.543,3.221,8.537,15.375,23.646,9.433,0.052,26,-0.123,-0.033,0.042,0.149,0.229,0.131
"McNealy, Maverick",24,88,87,0,1,3,13,0.556,7,-2.750,-0.493,0.788,1.678,3.043,1.779,0.323,11,-0.890,-0.323,0.355,0.861,1.652,0.872,0.160,41,-2.498,-0.857,0.203,1.142,2.619,1.556,0.283,27,-1.506,-0.325,0.448,1.000,1.608,1.062,0.443,26,-2.939,-0.978,0.432,1.874,3.578,1.956,0.766,10,-2.806,-0.743,1.002,2.572,4.443,2.223,1.352,2,-3.581,-1.055,1.721,3.329,5.695,2.808,1.352,4,-3.581,-1.055,1.721,3.329,5.695,2.808,6.074,31,-9.924,0.030,6.851,12.952,17.813,9.542,-0.019,88,-0.229,-0.100,-0.019,0.061,0.202,0.129
"Knapp, Jake",16,54,53,0,2,6,8,0.519,9,-2.005,-0.253,0.665,1.526,3.138,1.696,-0.077,80,-1.607,-0.530,-0.158,0.595,1.485,0.981,0.268,26,-2.643,-0.789,0.678,1.294,2.595,1.758,0.526,9,-1.916,0.059,0.558,1.310,2.405,1.244,0.794,12,-3.326,-0.592,1.010,1.869,3.748,2.092,0.717,12,-4.396,-0.427,0.967,2.184,4.511,2.430,1.267,3,-4.224,-0.453,1.284,3.677,4.597,2.803,1.267,5,-4.224,-0.453,1.284,3.677,4.597,2.803,14.588,8,-8.121,4.264,15.109,22.487,36.644,14.541,-0.006,72,-0.230,-0.097,0.011,0.095,0.172,0.129
"Matsuyama, Hideki",27,108,99,1,3,5,17,0.141,44,-2.727,-0.723,0.216,1.260,2.328,1.524,0.470,2,-0.977,-0.226,0.436,1.078,1.995,0.944,0.640,6,-2.115,-0.266,0.760,1.568,2.891,1.484,-0.014,69,-1.512,-0.627,0.036,0.758,1.398,0.946,0.625,19,-1.692,-0.303,0.729,1.782,3.337,1.836,1.095,5,-2.053,0.116,1.086,2.351,3.942,1.967,1.243,4,-3.661,-0.397,1.605,2.681,5.461,2.585,1.243,6,-3.661,-0.397,1.605,2.681,5.461,2.585,-1.389,81,-18.950,-7.130,-0.712,5.504,12.335,10.261,0.005,56,-0.197,-0.073,-0.006,0.105,0.202,0.125
"Kitayama, Kurt",25,97,87,1,2,6,14,0.018,66,-2.440,-1.255,0.098,1.093,2.382,1.613,0.005,61,-2.263,-0.442,0.133,0.788,1.595,1.267,0.799,2,-1.362,-0.373,0.763,1.434,3.622,1.586,0.494,11,-1.265,0.060,0.647,1.032,1.871,1.081,1.292,2,-1.758,0.062,1.156,2.509,4.757,1.875,1.297,3,-2.332,0.168,1.154,2.863,4.627,2.171,1.216,5,-3.374,-0.616,1.031,3.164,6.091,2.845,1.216,7,-3.374,-0.616,1.031,3.164,6.091,2.845,9.862,14,-9.462,3.092,11.394,17.425,28.309,12.314,-0.001,65,-0.232,-0.086,0.002,0.075,0.197,0.131
"Koivun, Jackson",19,60,18,0,2,3,4,0.480,10,-2.995,-0.058,0.948,1.521,2.310,1.711,0.275,14,-0.940,-0.162,0.240,0.595,1.615,0.824,0.550,8,-1.421,-0.743,0.568,1.425,2.797,1.546,0.323,23,-0.915,-0.025,0.325,0.925,1.224,0.775,0.873,7,-1.032,-0.788,0.411,2.236,3.451,1.708,1.148,4,-0.893,-0.444,0.979,2.679,3.141,1.680,1.099,6,-2.476,-0.837,1.208,2.919,5.216,2.368,1.628,2,-1.471,0.172,1.294,3.203,5.270,2.362,3.777,47,-23.121,-0.264,7.113,11.313,22.646,14.178,0.049,27,-0.116,-0.038,0.034,0.134,0.196,0.123
"Meissner, Mac",26,94,84,0,2,5,9,0.268,31,-2.870,-0.831,0.395,1.278,3.212,1.732,0.249,15,-1.525,-0.296,0.351,0.880,1.538,0.992,0.399,15,-1.579,-0.385,0.113,1.354,2.789,1.338,0.053,59,-1.438,-0.405,0.154,0.620,1.230,0.852,0.452,25,-1.780,-0.720,0.483,1.776,2.956,1.603,0.701,13,-2.973,-0.723,0.975,2.264,3.533,2.013,0.904,7,-2.467,-0.398,0.901,2.493,4.427,2.159,0.904,8,-2.467,-0.398,0.901,2.493,4.427,2.159,1.842,60,-15.568,-4.201,1.648,9.468,17.422,10.580,-0.005,69,-0.205,-0.113,0.015,0.079,0.169,0.124
"Mitchell, Keith",27,96,84,0,2,4,8,-0.123,85,-2.802,-1.127,-0.233,0.989,2.535,1.667,-0.028,71,-1.547,-0.722,-0.081,0.707,1.487,0.988,0.251,30,-2.293,-0.595,0.079,1.134,3.178,1.613,0.665,3,-0.775,0.009,0.820,1.293,1.907,0.910,0.915,5,-1.495,-0.504,1.002,1.934,3.844,1.702,0.888,7,-2.563,-0.571,1.145,2.242,3.957,1.959,0.760,8,-3.055,-0.896,0.568,2.571,4.871,2.487,0.760,9,-3.055,-0.896,0.568,2.571,4.871,2.487,9.338,15,-7.414,3.271,7.985,15.439,29.612,10.911,-0.022,90,-0.279,-0.088,-0.010,0.066,0.173,0.140
"Hojgaard, Rasmus",25,90,81,0,3,5,11,0.569,5,-2.354,-0.768,0.615,1.728,3.012,1.729,-0.216,110,-2.236,-0.843,-0.075,0.413,1.192,1.054,0.153,44,-2.465,-0.892,-0.100,0.864,2.786,1.674,0.247,30,-1.495,-0.661,0.448,0.930,1.601,0.990,0.400,30,-2.297,-0.913,0.522,1.361,2.579,1.951,0.185,46,-4.067,-1.103,0.463,1.285,2.513,2.150,0.663,9,-3.801,-0.766,0.708,2.437,4.781,2.533,0.663,11,-3.801,-0.766,0.708,2.437,4.781,2.533,14.627,7,-19.849,7.032,16.913,22.015,34.799,14.771,-0.049,109,-0.282,-0.166,-0.071,0.029,0.141,0.134
"Conners, Corey",25,94,94,0,1,4,9,-0.224,99,-2.645,-1.097,-0.192,0.855,2.111,1.649,0.003,62,-1.437,-0.638,0.041,0.591,1.772,1.002,0.702,5,-1.682,-0.306,0.694,1.825,3.457,1.610,0.166,40,-1.630,-0.491,0.252,0.901,1.403,0.986,0.868,8,-2.400,-0.149,1.016,2.306,4.084,1.892,0.871,8,-2.651,-0.679,1.022,2.371,4.495,2.240,0.648,10,-4.989,-0.836,0.203,2.884,4.917,2.868,0.648,12,-4.989,-0.836,0.203,2.884,4.917,2.868,-1.347,80,-16.752,-7.496,-2.290,6.390,14.204,10.504,0.058,22,-0.154,-0.009,0.080,0.133,0.256,0.124
