player_name,2021 (3M Open),2022 (3M Open),2023 (3M Open),2024 (3M Open),2025 (3M Open),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Garnett, Brice",T16,T31,T53,T33,T57,28,0.669,0.81,0.084,0.118
"Finau, Tony",T28,1,T7,T12,CUT,26,1.491,0.494,0.048,0.107
"Davis, Cam",T28,T16,T10,T19,CUT,24,0.895,0.771,0.068,0.096
"Grillo, Emiliano",CUT,T2,T10,T24,T20,22,1.503,1.093,0.089,0.085
"Hoge, Tom",CUT,T4,T20,CUT,CUT,22,-0.01,-0.094,-0.008,0.085
"Kizzire, Patton",T39,T38,CUT,CUT,CUT,22,-0.374,0,0,0.085
"Merritt, Troy",T39,T49,CUT,CUT,T44,22,0.044,0.163,0.013,0.085
"Mitchell, Keith",5,null,T5,T46,CUT,20,0.557,0.33,0.024,0.074
"Hadwin, Adam",T6,T38,CUT,CUT,T44,20,0.849,0.521,0.039,0.074
"Schenk, Adam",T51,T54,null,T59,CUT,20,-0.739,-0.735,-0.054,0.074
"Hossler, Beau",T49,CUT,T13,CUT,CUT,20,-0.253,-0.234,-0.017,0.074
"Ghim, Doug",CUT,T16,T27,T24,CUT,20,0.856,0.668,0.049,0.074
"Malnati, Peter",CUT,T11,CUT,CUT,CUT,18,-0.645,-0.215,-0.014,0.063
"Svensson, Adam",null,CUT,T37,T37,T14,18,0.697,0.697,0.046,0.063
"Champ, Cameron",1,T16,null,T12,T28,18,0.912,1.333,0.089,0.063
"Rodgers, Patrick",T39,null,T37,T37,CUT,18,0.494,0.127,0.008,0.063
"Duncan, Tyler",CUT,T45,T20,T53,null,17,-0.023,0.182,0.011,0.057
"Hughes, Mackenzie",null,null,T30,T19,T53,16,0.399,0.245,0.015,0.052
"Lebioda, Hank",WD,T16,CUT,null,null,16,0.65,1.003,0.059,0.052
"Hardy, Nick",null,T58,T13,T46,T28,16,0.45,0.552,0.033,0.052
"Brehm, Ryan",T51,T31,CUT,CUT,CUT,16,-1.376,0.208,0.012,0.052
"Putnam, Andrew",CUT,T11,null,T19,CUT,14,-0.137,-0.266,-0.014,0.041
"List, Luke",T58,null,null,CUT,CUT,14,-0.428,-0.579,-0.03,0.041
"Woodland, Gary",T11,null,CUT,T37,T20,14,0.605,0.532,0.028,0.041
"McNealy, Maverick",T16,T49,null,T3,CUT,14,0.764,0.116,0.006,0.041
"Eckroat, Austin",T16,null,CUT,CUT,T39,12,0.092,0.034,0.002,0.03
"Schmid, Matti",null,null,T20,T12,T61,12,0.863,1.283,0.057,0.03
"Stevens, Sam",null,null,T10,T64,2,12,1.446,1.053,0.047,0.03
"Higgo, Garrick",null,CUT,T13,CUT,T39,12,-0.154,0.194,0.009,0.03
"Wu, Dylan",null,CUT,T5,T53,DQ,12,-0.203,0.027,0.001,0.03
"McCarthy, Denny",T67,null,null,null,null,12,0.377,0.32,0.014,0.03
"Ramey, Chad",null,null,T53,T24,T28,12,0.613,0.751,0.033,0.03
"Lower, Justin",null,CUT,T43,T33,CUT,12,-0.453,-0.162,-0.007,0.03
"Higgs, Harry",CUT,CUT,CUT,null,T25,12,-1.231,-0.592,-0.026,0.03
"Dahmen, Joel",T67,null,CUT,CUT,T39,12,-0.575,-0.715,-0.032,0.03
"Van Rooyen, Erik",T58,null,CUT,CUT,CUT,12,-1.572,-1.694,-0.075,0.03
"Kim, Michael",T39,null,CUT,CUT,null,12,-1.119,0.281,0.012,0.03
"Im, Sungjae",null,T2,CUT,null,CUT,12,0.904,-0.046,-0.002,0.03
"Hodges, Lee",null,T16,1,CUT,CUT,12,1.072,0.965,0.043,0.03
"Skinns, David",null,T54,null,T24,T57,12,0.161,0.929,0.041,0.03
"Streelman, Kevin",null,null,T2,T64,null,12,1.008,0.889,0.039,0.03
"Snedeker, Brandt",T11,null,T53,CUT,CUT,12,0.063,0.468,0.021,0.03
