"HOLE","PAR","YARDS","AVG","RANK","+/-","EAGLES","BIRDIES","PARS","BOGEYS","DBL+"
"1","4","416","3.831","13","-0.169","0","104","283","31","1"
"2","4","468","4.100","3","+0.100","0","78","254","62","25"
"3","4","501","4.081","5","+0.081","0","53","283","79","4"
"4","3","177","2.933","9","-0.067","0","81","290","43","5"
"5","4","424","3.778","15","-0.222","0","121","272","24","2"
"6","5","594","4.604","17","-0.396","4","187","203","21","4"
"7","4","381","3.943","8","-0.057","0","97","261","51","10"
"8","3","204","2.921","10","-0.079","0","65","322","32","0"
"9","4","502","4.251","1","+0.251","0","44","253","98","24"
"10","4","379","3.878","11","-0.122","1","96","282","33","7"
"11","4","467","4.088","4","+0.088","0","50","290","72","7"
"12","5","593","4.446","18","-0.554","11","225","169","13","1"
"13","3","228","3.131","2","+0.131","0","38","300","69","12"
"14","4","437","4.010","7","+0.010","1","71","287","45","15"
"15","4","451","3.852","12","-0.148","0","106","272","39","2"
"16","4","411","3.807","14","-0.193","4","127","240","43","5"
"17","3","202","3.043","6","+0.043","0","54","307","45","13"
"18","5","596","4.673","16","-0.327","27","163","170","39","20"
