position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Kohles, Ben",AN,-9,18,-9,1.3,283.8,0.85714,5.41,0.94444,22.3919,48.5148,1.34,0.02,1,5,1,8.07,6.73,6.71
T2,"Grillo, Emiliano",AN,-7,18,-7,0.51,290.4,0.85714,3.03,0.88889,25.3825,39.5565,1.67,0.87,1,4,2,6.07,4.4,3.54
T2,"Koivun, Jackson",AN,-7,18,-7,0.96,292.1,0.71429,2.03,0.77778,25.1329,130.9484,2.52,0.56,1,4,0,6.07,3.55,2.99
T2,"Woodland, Gary",AN,-7,18,-7,1.33,295.5,0.71429,1.09,0.72222,28.1061,12.8521,2.19,1.46,1,7,0,6.07,3.88,2.42
T5,"Scheffler, Scottie",AN,-6,18,-6,1.19,296.7,0.71429,1.47,0.83333,27.5353,23.9219,3.42,-1.02,1,6,2,5.07,1.65,2.67
T5,"Glover, Lucas",AN,-6,18,-6,0.43,278.1,0.78571,3.1,0.77778,27.1673,46.1886,1.15,0.39,0.66667,4,1,5.07,3.92,3.53
T5,"Brennan, Michael",AN,-6,18,-6,1.63,302,0.64286,3.97,0.83333,20.1574,25.8088,0.47,-1,0.6,7,2,5.07,4.6,5.6
T5,"Roy, Kevin",AN,-6,18,-6,1.6,285.8,0.85714,1.55,0.66667,28.9557,null,1.44,0.48,0.85714,5,3,5.07,3.63,3.15
T5,"Svensson, Jesper",AN,-6,18,-6,2.02,303.9,0.78571,0.87,0.77778,35.0039,80.8723,-0.09,2.26,0.66667,6,1,5.07,5.16,2.89
T10,"Phillips, Chandler",AN,-5,18,-5,-0.75,285.5,0.5,1.44,0.77778,20.5714,74.7622,2.19,1.18,1,10,4,4.07,1.87,0.69
T10,"McCarthy, Denny",AN,-5,18,-5,-1.25,279.3,0.5,3.35,0.61111,31.4024,37.3666,2.01,-0.04,0.71429,6,3,4.07,2.06,2.1
T10,"Merritt, Troy",AN,-5,18,-5,-0.34,293.1,0.57143,3.13,0.72222,23.5195,58.4368,0.85,0.43,0.8,2,3,4.07,3.22,2.79
T10,"Neergaard-Petersen, Rasmus",AN,-5,18,-5,1.7,293.8,0.85714,-0.64,0.77778,38.0383,40.3602,1.37,1.64,0.85714,5,2,4.07,2.7,1.06
T14,"Whaley, Vince",AN,-4,18,-4,-0.41,289.6,0.5,1.05,0.66667,33.3975,67.8409,1.22,1.21,1,5,2,3.07,1.85,0.64
T14,"Hoey, Rico",AN,-4,18,-4,0.99,293.1,0.64286,2.65,0.77778,19.2765,23.7647,-1.23,0.66,0.66667,2,2,3.07,4.3,3.64
T14,"Kang, Jeffrey",AN,-4,18,-4,0.31,281.3,0.71429,-1.93,0.55556,31.1174,69.5089,3.49,1.21,0.71429,9,4,3.07,-0.42,-1.63
T14,"Rozo, Marcelo",AN,-4,18,-4,0.38,280.5,0.71429,0.92,0.88889,33.3015,39.1971,2.55,-0.78,0.75,4,4,3.07,0.52,1.3
T14,"VanDerLaan, John",AN,-4,18,-4,0.72,288.7,0.64286,0.44,0.77778,28.6193,45.8229,1.57,0.34,0.5,5,2,3.07,1.5,1.16
T14,"Crowe, Trace",AN,-4,18,-4,1.4,299.6,0.71429,-0.98,0.72222,25.5294,90.5938,3.55,-0.89,0.625,7,3,3.07,-0.48,0.41
T14,"Dou, Zecheng",AN,-4,18,-4,0.8,286.2,0.71429,-0.53,0.72222,29.2297,47.6364,1.45,1.35,1,4,1,3.07,1.62,0.27
T14,"Blanchet, Chandler",AN,-4,18,-4,0.85,284.2,0.78571,2.18,0.77778,27.188,52.593,-0.45,0.49,0.75,3,2,3.07,3.52,3.03
T14,"Schmid, Matti",AN,-4,18,-4,1.02,302.7,0.71429,0.5,0.88889,36.2626,35.7656,0.99,0.56,0.66667,4,1,3.07,2.08,1.52
T14,"Horschel, Billy",AN,-4,18,-4,0.8,291.4,0.64286,2.02,0.61111,28.4394,20.5551,0.37,-0.12,0.88889,5,2,3.07,2.7,2.82
T14,"Streelman, Kevin",AN,-4,18,-4,0.95,290.1,0.64286,2.89,0.77778,22.5169,81.0954,-0.28,-0.5,0.66667,2,2,3.07,3.35,3.84
T14,"Nakajima, Keita",AN,-4,18,-4,0.88,300.2,0.64286,3.54,0.83333,22.469,40.2308,-1.44,0.08,0.6,6,3,3.07,4.51,4.43
T26,"Hodges, Lee",AN,-3,18,-3,0.67,284.7,0.71429,0.49,0.83333,23.7415,165.0248,1.08,-0.18,1,4,0,2.07,0.98,1.16
T26,"Knapp, Jake",AN,-3,18,-3,1.11,299.7,0.57143,1.19,0.83333,22.2823,86.2874,-0.19,-0.05,0.75,4,1,2.07,2.26,2.3
T26,"Mitchell, Keith",AN,-3,18,-3,0.73,303.1,0.57143,3.12,0.88889,25.3871,31.7761,-1.05,-0.73,0.5,3,3,2.07,3.12,3.85
T26,"Hoge, Tom",AN,-3,18,-3,1.59,294.6,0.78571,1.71,0.77778,29.0551,10.8898,-0.74,-0.5,0.6,3,5,2.07,2.81,3.3
T26,"Stevens, Sam",AN,-3,18,-3,-0.08,295.6,0.5,0.05,0.77778,28.1735,46.0669,2.52,-0.42,1,5,3,2.07,-0.45,-0.03
T26,"Svensson, Adam",AN,-3,18,-3,-0.73,291,0.42857,1.56,0.72222,32.9937,27.5181,-0.08,1.31,0.8,2,5,2.07,2.14,0.83
T26,"Blair, Zac",AN,-3,18,-3,-0.17,279.2,0.92857,1.66,0.77778,30.8479,41.6487,1.2,-0.62,0.75,1,1,2.07,0.87,1.49
T26,"Bezuidenhout, Christiaan",AN,-3,18,-3,0.95,286,0.71429,0.04,0.77778,31.665,11.2998,1.07,0.01,0.8,3,1,2.07,1,0.99
T26,"Kitayama, Kurt",AN,-3,18,-3,1.85,294,0.85714,-0.86,0.66667,28.2919,32.3524,1.31,-0.23,0.71429,3,3,2.07,0.76,0.99
T26,"Thompson, Davis",AN,-3,18,-3,1.35,300.1,0.57143,1.81,0.77778,26.1298,49.9472,-1.03,-0.06,0.6,5,5,2.07,3.1,3.16
T26,"Kim, Tom",AN,-3,18,-3,-0.3,288.1,0.71429,1.92,0.61111,29.6948,24.7914,-0.55,1,0.83333,2,1,2.07,2.62,1.62
T26,"Smotherman, Austin",AN,-3,18,-3,-0.35,296.6,0.5,1.36,0.88889,29.7662,27.7337,0.94,0.12,1,5,4,2.07,1.13,1.01
T26,"Power, Seamus",AN,-3,18,-3,-0.79,291.8,0.5,3.04,0.83333,23.4089,65.7794,-0.56,0.38,1,5,3,2.07,2.63,2.25
T26,"Gordon, Will",AN,-3,18,-3,-0.02,286.9,0.64286,1.48,0.83333,25.5763,45.0817,-0.11,0.72,0.6,5,3,2.07,2.17,1.46
T26,"Nyholm, Pontus",AN,-3,18,-3,1.1,309,0.5,0.63,0.77778,31.9904,55.3929,0.57,-0.23,0.33333,3,2,2.07,1.5,1.73
T26,"Suber, Jackson",AN,-3,18,-3,1.78,300.4,0.71429,1.65,0.83333,27.6504,12.106,-1.79,0.42,1,2,0,2.07,3.86,3.43
T26,"Li, Haotong",AN,-3,18,-3,0,290.1,0.42857,1.66,0.83333,20.2919,46.9786,0.21,0.19,1,4,2,2.07,1.86,1.67
T43,"Greyserman, Max",AN,-2,18,-2,1.57,300.8,0.71429,-0.38,0.72222,29.51,43.1622,0.53,-0.65,0.6,2,2,1.07,0.54,1.19
T43,"Hojgaard, Rasmus",AN,-2,18,-2,1.43,306.2,0.64286,-0.42,0.83333,26.4206,81.9241,0.61,-0.56,0.25,4,1,1.07,0.46,1.02
T43,"Higgs, Harry",AN,-2,18,-2,-0.32,289.5,0.64286,0.23,0.61111,31.8869,84.5988,1.3,-0.14,0.55556,5,4,1.07,-0.23,-0.09
T43,"Olesen, Thorbjorn",AN,-2,18,-2,-0.21,289.7,0.64286,-0.3,0.77778,30.5264,22.9985,1.75,-0.17,0.66667,3,3,1.07,-0.68,-0.51
T43,"Vilips, Karl",AN,-2,18,-2,1.19,300.3,0.64286,-0.62,0.61111,26.6137,56.7172,1.2,-0.71,0.6,5,1,1.07,-0.13,0.57
T43,"Harman, Brian",AN,-2,18,-2,0.42,281,0.64286,-0.15,0.61111,21.2701,70.1957,0.5,0.29,1,2,1,1.07,0.57,0.27
T43,"Putnam, Andrew",AN,-2,18,-2,-0.11,271.7,0.71429,-0.56,0.77778,26.6195,50.3396,0.7,1.04,1,1,2,1.07,0.37,-0.67
T43,"Hadwin, Adam",AN,-2,18,-2,0.14,285.9,0.78571,0.77,0.83333,28.0513,24.7896,-0.94,1.09,1,2,3,1.07,2.01,0.91
T43,"Villegas, Camilo",AN,-2,18,-2,-0.28,280.4,0.42857,0.8,0.72222,31.9877,32,0.57,-0.02,0.6,5,1,1.07,0.5,0.52
T43,"Hossler, Beau",AN,-2,18,-2,1.44,293.2,0.78571,-1.31,0.72222,25.3675,45.5956,1.15,-0.21,0.71429,5,1,1.07,-0.08,0.13
T43,"Ewart, A.J.",AN,-2,18,-2,-2.87,288.9,0.42857,3.81,0.72222,21.6636,43.4918,1.5,-1.36,0.6,4,6,1.07,-0.43,0.93
T43,"Dumont De Chassart, Adrien",AN,-2,18,-2,-1.02,293.9,0.64286,-1.07,0.72222,33.5943,56.0348,1.32,1.84,1,4,4,1.07,-0.25,-2.09
T43,"Lebioda, Hank",AN,-2,18,-2,-0.83,284.1,0.71429,3.33,0.83333,20.4198,49.9308,-1.34,-0.08,1,3,3,1.07,2.41,2.49
T43,"Eckroat, Austin",AN,-2,18,-2,-1.35,294.2,0.64286,2,0.61111,25.6131,70.4293,0.08,0.34,1,4,7,1.07,0.99,0.65
T43,"Coody, Pierceson",AN,-2,18,-2,-1.4,289.3,0.35714,-1.43,0.61111,38.9289,37.083,0.52,3.38,1,6,3,1.07,0.55,-2.83
T43,"Silverman, Ben",AN,-2,18,-2,0.77,284.9,0.78571,1.3,0.72222,28.7693,57.4484,0.28,-1.27,0.57143,3,2,1.07,0.79,2.06
T43,"Kim, Michael",AN,-2,18,-2,0.84,291.9,0.71429,-0.84,0.72222,30.0795,55.5182,-0.01,1.07,0.83333,0,4,1.07,1.08,0
T43,"Campbell, Brian",AN,-2,18,-2,0.86,278,0.92857,1.59,0.83333,28.9429,46.947,-0.94,-0.44,0.5,2,3,1.07,2.01,2.45
T43,"Yu, Kevin",AN,-2,18,-2,0.02,291,0.57143,-0.32,0.72222,26.8819,65.1368,0.35,1.02,1,1,1,1.07,0.72,-0.3
T43,"Ghim, Doug",AN,-2,18,-2,0.27,293,0.5,0.48,0.83333,36.1242,44.0524,1.27,-0.95,0.5,3,2,1.07,-0.2,0.75
T43,"Stanger, Jimmy",AN,-2,18,-2,0.66,305.1,0.5,0.82,0.72222,35.3818,40.8995,0.22,-0.63,0.42857,5,2,1.07,0.85,1.48
T43,"Stout, Preston",AN,-2,18,-2,0.97,285.6,0.71429,-0.43,0.66667,22.6197,118.6236,0.21,0.32,0.8,2,5,1.07,0.86,0.54
T43,"Parry, John",AN,-2,18,-2,0.66,297.7,0.71429,0.61,0.83333,39.2037,33.6204,-0.64,0.45,0.75,3,4,1.07,1.71,1.27
T43,"Chatfield, Davis",AN,-2,18,-2,-1.05,277.9,0.64286,0.88,0.83333,31.794,41.9723,1.19,0.05,0.33333,3,4,1.07,-0.12,-0.17
T67,"Moore, Taylor",AN,-1,18,-1,-2.27,288.1,0.5,2.23,0.66667,27.0038,30.5313,0.54,-0.43,0.6,2,4,0.07,-0.47,-0.05
T67,"Duncan, Tyler",AN,-1,18,-1,1.29,288.3,0.85714,-0.07,0.83333,30.7214,85.5165,-1.68,0.53,0.6,4,4,0.07,1.75,1.22
T67,"Hubbard, Mark",AN,-1,18,-1,1.3,290.9,0.78571,1.51,0.72222,34.7543,33.2618,-1,-1.75,0.5,3,2,0.07,1.07,2.82
T67,"Pendrith, Taylor",AN,-1,18,-1,0.54,301.8,0.64286,-0.52,0.61111,30.4745,44.5638,0.39,-0.34,0.71429,5,1,0.07,-0.32,0.02
