"HOLE","PAR","YARDS","AVG","RANK","+/-","EAGLES","BIRDIES","PARS","BOGEYS","DBL+"
"1","4","408","3.750","15","-0.250","0","41","98","5","0"
"2","4","453","4.174","3","+0.174","0","33","71","27","13"
"3","4","495","4.160","5","+0.160","0","14","93","37","0"
"4","3","171","3.014","8","+0.014","0","19","107","15","3"
"5","4","435","3.875","12","-0.125","0","30","103","10","1"
"6","5","574","4.458","18","-0.542","3","78","58","4","1"
"7","4","395","3.937","10","-0.063","0","33","91","16","4"
"8","3","195","2.861","13","-0.139","0","28","108","8","0"
"9","4","509","4.340","1","+0.340","0","11","82","43","8"
"10","4","382","3.854","14","-0.146","0","32","102","9","1"
"11","4","457","4.167","4","+0.167","0","9","105","27","3"
"12","5","593","4.486","17","-0.514","3","76","57","8","0"
"13","3","211","3.257","2","+0.257","0","8","98","31","7"
"14","4","416","4.097","6","+0.097","0","22","95","20","7"
"15","4","455","3.937","10","-0.063","0","24","105","15","0"
"16","4","405","3.972","9","-0.028","0","28","96","17","3"
"17","3","180","3.090","7","+0.090","0","11","115","13","5"
"18","5","607","4.639","16","-0.361","14","59","47","13","11"
