"POS","PLAYER","TOTAL","THRU","R1","STROKES"
"1","Ben Kohles","-9","F","62","62"
"T2","Emiliano Grillo","-7","F","64","64"
"T2","Jackson Koivun","-7","F","64","64"
"T2","Gary Woodland","-7","F","64","64"
"T5","Scottie Scheffler","-6","F*","65","65"
"T5","Lucas Glover","-6","F*","65","65"
"T5","Michael Brennan","-6","F","65","65"
"T5","Kevin Roy","-6","F","65","65"
"T5","Jesper Svensson","-6","F","65","65"
"T10","Chandler Phillips","-5","F","66","66"
"T10","Denny McCarthy","-5","F*","66","66"
"T10","Troy Merritt","-5","F","66","66"
"T10","Rasmus Neergaard-Petersen","-5","F","66","66"
"T14","Vince Whaley","-4","F*","67","67"
"T14","Rico Hoey","-4","F*","67","67"
"T14","Jeffrey Kang","-4","F","67","67"
"T14","Marcelo Rozo","-4","F","67","67"
"T14","John VanDerLaan","-4","F*","67","67"
"T14","Trace Crowe","-4","F","67","67"
"T14","Zecheng Dou","-4","F*","67","67"
"T14","Chandler Blanchet","-4","F*","67","67"
"T14","Matti Schmid","-4","F*","67","67"
"T14","Billy Horschel","-4","F","67","67"
"T14","Kevin Streelman","-4","F*","67","67"
"T14","Keita Nakajima","-4","F*","67","67"
"T26","Lee Hodges","-3","F*","68","68"
"T26","Jake Knapp","-3","F*","68","68"
"T26","Keith Mitchell","-3","F*","68","68"
"T26","Tom Hoge","-3","F*","68","68"
"T26","Sam Stevens","-3","F*","68","68"
"T26","Adam Svensson","-3","F*","68","68"
"T26","Zac Blair","-3","F","68","68"
"T26","Christiaan Bezuidenhout","-3","F*","68","68"
"T26","Kurt Kitayama","-3","F","68","68"
"T26","Davis Thompson","-3","F*","68","68"
"T26","Tom Kim","-3","F","68","68"
"T26","Austin Smotherman","-3","F*","68","68"
"T26","Seamus Power","-3","F","68","68"
"T26","Will Gordon","-3","F*","68","68"
"T26","Pontus Nyholm","-3","F*","68","68"
"T26","Jackson Suber","-3","F","68","68"
"T26","Haotong Li","-3","F*","68","68"
"T43","Max Greyserman","-2","F","69","69"
"T43","Rasmus Højgaard","-2","F","69","69"
"T43","Harry Higgs","-2","F*","69","69"
"T43","Thorbjørn Olesen","-2","F*","69","69"
"T43","Karl Vilips","-2","F","69","69"
"T43","Brian Harman","-2","F*","69","69"
"T43","Andrew Putnam","-2","F*","69","69"
"T43","Adam Hadwin","-2","F*","69","69"
"T43","Camilo Villegas","-2","F*","69","69"
"T43","Beau Hossler","-2","F*","69","69"
"T43","A.J. Ewart","-2","F","69","69"
"T43","Adrien Dumont de Chassart","-2","F*","69","69"
"T43","Hank Lebioda","-2","F","69","69"
"T43","Austin Eckroat","-2","F","69","69"
"T43","Pierceson Coody","-2","F","69","69"
"T43","Ben Silverman","-2","F","69","69"
"T43","Michael Kim","-2","F*","69","69"
"T43","Brian Campbell","-2","F*","69","69"
"T43","Kevin Yu","-2","F*","69","69"
"T43","Doug Ghim","-2","F*","69","69"
"T43","Jimmy Stanger","-2","F*","69","69"
"T43","Preston Stout","(a)","-2","-2","-"
"T43","John Parry","-2","F*","69","69"
"T43","Davis Chatfield","-2","F*","69","69"
"T67","Taylor Moore","-1","F*","70","70"
"T67","Tyler Duncan","-1","F","70","70"
"T67","Mark Hubbard","-1","F","70","70"
"T67","Taylor Pendrith","-1","F","70","70"
"T67","Chris Kirk","-1","F","70","70"
"T67","Corey Conners","-1","F*","70","70"
"T67","Hideki Matsuyama","-1","F*","70","70"
"T67","Stephan Jaeger","-1","F","70","70"
"T67","Steven Fisk","-1","F*","70","70"
"T67","Patrick Fishburn","-1","F*","70","70"
"T67","Ben James","-1","F*","70","70"
"T67","Zach Bauchou","-1","F*","70","70"
"T67","Adam Schenk","-1","F*","70","70"
"T67","Joel Dahmen","-1","F*","70","70"
"T67","David Lipsky","-1","F","70","70"
