"POS","PLAYER","TOTAL","Round","R1","R2","STROKES"
"1","Michael Kim","-14","-12","69","59","128"
"T2","Ben Kohles","-11","-2","62","69","131"
"T2","Emiliano Grillo","-11","-4","64","67","131"
"T2","Chandler Phillips","-11","-6","66","65","131"
"T5","Jackson Koivun","-10","-3","64","68","132"
"T5","Troy Merritt","-10","-5","66","66","132"
"T7","Zac Blair","-9","-6","68","65","133"
"T7","Billy Horschel","-9","-5","67","66","133"
"T7","Brian Harman","-9","-7","69","64","133"
"T10","Jesper Svensson","-8","-2","65","69","134"
"T10","Michael Brennan","-8","-2","65","69","134"
"T10","Denny McCarthy","-8","-3","66","68","134"
"T13","Christiaan Bezuidenhout","-7","-4","68","67","135"
"T13","Kevin Yu","-7","-5","69","66","135"
"T13","Gary Woodland","-7","E","64","71","135"
"T13","Kevin Streelman","-7","-3","67","68","135"
"T13","Austin Smotherman","-7","-4","68","67","135"
"T13","Lee Hodges","-7","-4","68","67","135"
"T13","Scottie Scheffler","-7","-1","65","70","135"
"T13","Hideki Matsuyama","-7","-6","70","65","135"
"T13","Lucas Glover","-7","-1","65","70","135"
"T13","Kevin Roy","-7","-1","65","70","135"
"T13","Chandler Blanchet","-7","-3","67","68","135"
"T24","Austin Eckroat","-6","-4","69","67","136"
"T24","Davis Thompson","-6","-3","68","68","136"
"T24","Seamus Power","-6","-3","68","68","136"
"T24","Haotong Li","-6","-3","68","68","136"
"T24","Muzzy Donohue","-6","-8","73","63","136"
"T24","Vince Whaley","-6","-2","67","69","136"
"T24","Zecheng Dou","-6","-2","67","69","136"
"T31","Sam Stevens","-5","-2","68","69","137"
"T31","Kurt Kitayama","-5","-2","68","69","137"
"T31","Maverick McNealy","-5","-5","71","66","137"
"T31","Tom Kim","-5","-2","68","69","137"
"T31","Casey Jarvis","-5","-5","71","66","137"
"T31","Pontus Nyholm","-5","-2","68","69","137"
"T31","Davis Chatfield","-5","-3","69","68","137"
"T31","Keith Mitchell","-5","-2","68","69","137"
"T31","Beau Hossler","-5","-3","69","68","137"
"T31","Jeffrey Kang","-5","-1","67","70","137"
"T41","Hank Lebioda","-4","-2","69","69","138"
"T41","Lanto Griffin","-4","-3","70","68","138"
"T41","Will Gordon","-4","-1","68","70","138"
"T41","Fabián Gómez","-4","-4","71","67","138"
"T41","Rasmus Neergaard-Petersen","-4","+1","66","72","138"
"T41","John Parry","-4","-2","69","69","138"
"T41","Kristoffer Ventura","-4","-5","72","66","138"
"T41","Mackenzie Hughes","-4","-4","71","67","138"
"T41","Jake Knapp","-4","-1","68","70","138"
"T41","Camilo Villegas","-4","-2","69","69","138"
"T41","Patrick Fishburn","-4","-3","70","68","138"
"T41","A.J. Ewart","-4","-2","69","69","138"
"T41","John VanDerLaan","-4","E","67","71","138"
"T54","Matti Schmid","-3","+1","67","72","139"
"T54","Ricky Castillo","-3","-3","71","68","139"
"T54","Joel Dahmen","-3","-2","70","69","139"
"T54","Jimmy Stanger","-3","-1","69","70","139"
"T54","Neal Shipley","-3","-2","70","69","139"
"T54","Max Greyserman","-3","-1","69","70","139"
"T54","Jordan Smith","-3","-3","71","68","139"
"T54","Rico Hoey","-3","+1","67","72","139"
"T54","Mark Hubbard","-3","-2","70","69","139"
"T54","Corey Conners","-3","-2","70","69","139"
"T54","Chris Kirk","-3","-2","70","69","139"
"T54","Zach Bauchou","-3","-2","70","69","139"
"T54","Trace Crowe","-3","+1","67","72","139"
"CUT","Ben Silverman","-2","-","69","71","140"
"CUT","Brian Campbell","-2","-","69","71","140"
"CUT","Adam Schenk","-2","-","70","70","140"
"CUT","Max McGreevy","-2","-","74","66","140"
"CUT","Gordon Sargent","-2","-","73","67","140"
"CUT","Luke Clanton","-2","-","72","68","140"
"CUT","Keita Nakajima","-2","-","67","73","140"
"CUT","Preston Stout","(a)","-","-","69","-"
"CUT","Rasmus Højgaard","-2","-","69","71","140"
"CUT","Harry Higgs","-2","-","69","71","140"
"CUT","Tyler Duncan","-2","-","70","70","140"
"CUT","Mac Meissner","-2","-","73","67","140"
"CUT","Ryan Brehm","-2","-","74","66","140"
"CUT","William Mouw","-2","-","71","69","140"
"CUT","Stephan Jaeger","-2","-","70","70","140"
"CUT","Adrien Dumont de Chassart","-2","-","69","71","140"
"CUT","Marcelo Rozo","-2","-","67","73","140"
"CUT","Hayden Springer","-2","-","71","69","140"
"CUT","Doug Ghim","-1","-","69","72","141"
"CUT","Taylor Moore","-1","-","70","71","141"
"CUT","Sungjae Im","-1","-","71","70","141"
"CUT","Steven Fisk","-1","-","70","71","141"
"CUT","Matthieu Pavon","-1","-","72","69","141"
"CUT","Luke List","-1","-","71","70","141"
"CUT","Ben James","-1","-","70","71","141"
"CUT","Ryder Cowan","(a)","-","-","73","-"
"CUT","Adam Svensson","E","-","68","74","142"
"CUT","Takumi Kanaya","E","-","73","69","142"
"CUT","Aldrich Potgieter","E","-","77","65","142"
"CUT","Charley Hoffman","E","-","73","69","142"
"CUT","Johnny Keefer","E","-","76","66","142"
"CUT","Griffin Wood","E","-","72","70","142"
"CUT","Sihan Sandhu","(a)","-","-","71","-"
"CUT","Dylan Wu","E","-","75","67","142"
"CUT","Erik van Rooyen","E","-","74","68","142"
"CUT","Joe Highsmith","E","-","71","71","142"
"CUT","Adam Hadwin","E","-","69","73","142"
"CUT","Chad Ramey","E","-","72","70","142"
"CUT","Cameron Champ","+1","-","72","71","143"
"CUT","Brice Garnett","+1","-","73","70","143"
"CUT","Nick Dunlap","+1","-","73","70","143"
"CUT","Tony Finau","+1","-","74","69","143"
"CUT","Ben Martin","+1","-","72","71","143"
"CUT","Justin Lower","+1","-","70","73","143"
"CUT","David Lipsky","+1","-","70","73","143"
"CUT","Jackson Suber","+1","-","68","75","143"
"CUT","Christo Lamprecht","+1","-","70","73","143"
"CUT","Sudarshan Yellamaraju","+1","-","71","72","143"
"CUT","Garrick Higgo","+1","-","72","71","143"
"CUT","Andrew Putnam","+1","-","69","74","143"
"CUT","Tom Hoge","+2","-","68","76","144"
"CUT","Stefano Mazzoli","+2","-","75","69","144"
"CUT","Paul Peterson","+2","-","72","72","144"
"CUT","Thorbjørn Olesen","+2","-","69","75","144"
"CUT","Davis Riley","+2","-","76","68","144"
"CUT","Taylor Pendrith","+2","-","70","74","144"
"CUT","Karl Vilips","+2","-","69","75","144"
"CUT","Cam Davis","+2","-","71","73","144"
"CUT","Nick Hardy","+2","-","71","73","144"
"CUT","Jeremy Paul","+3","-","75","70","145"
"CUT","David Skinns","+3","-","75","70","145"
"CUT","Rafael Campos","+3","-","72","73","145"
"CUT","Danny Walker","+3","-","72","73","145"
"CUT","Alejandro Tosti","+3","-","75","70","145"
"CUT","Max Homa","+4","-","72","74","146"
"CUT","Patrick Rodgers","+4","-","77","69","146"
"CUT","Brannon Fahrny","+4","-","72","74","146"
"CUT","Matt Kuchar","+5","-","75","72","147"
"CUT","Cooper Schultz","+5","-","71","76","147"
"CUT","Pierceson Coody","+6","-","69","79","148"
"CUT","Thomas Campbell","+6","-","72","76","148"
"CUT","Jeevan Sihota","+6","-","71","77","148"
"CUT","Peter Malnati","+7","-","72","77","149"
"CUT","Aaron Wise","+7","-","72","77","149"
"CUT","Kensei Hirata","+8","-","78","72","150"
"CUT","Brandt Snedeker","+8","-","76","74","150"
"CUT","Nicholas Lindheim","+10","-","75","77","152"
"WD","Patton Kizzire","-","-","77","-","77"
