"POS","Player","TOT","THRU","R2","SG-Off the Tee","SG-Off the Tee (Rank)","SG-Approach to Green","SG-Approach to Green (Rank)","SG-Around the Green","SG-Around the Green (Rank)","SG-Putting","SG-Putting (Rank)","SG Total","SG Total (Rank)"
"1","Michael Kim","-14","F","59","0.829","(27th)","3.485","(12th)","1.158","(21st)","6.500","(1st)","11.971","(1st)"
"T2","Ben Kohles","-11","F*","69","1.162","(23rd)","6.498","(1st)","-1.366","(58th)","2.678","(12th)","8.971","(T2)"
"T2","Emiliano Grillo","-11","F*","67","0.701","(33rd)","1.783","(36th)","2.569","(5th)","3.919","(6th)","8.971","(T2)"
"T2","Chandler Phillips","-11","F*","65","-0.775","(56th)","0.256","(53rd)","3.648","(1st)","5.843","(2nd)","8.971","(T2)"
"T5","Jackson Koivun","-10","F*","68","0.342","(40th)","4.741","(5th)","-0.262","(43rd)","3.151","(8th)","7.971","(T5)"
"T5","Troy Merritt","-10","F*","66","-0.026","(46th)","6.243","(2nd)","0.927","(25th)","0.828","(38th)","7.971","(T5)"
"T7","Zac Blair","-9","F*","65","-0.540","(51st)","2.790","(22nd)","0.263","(33rd)","4.459","(4th)","6.971","(T7)"
"T7","Billy Horschel","-9","F*","66","2.266","(9th)","2.872","(21st)","0.020","(35th)","1.814","(21st)","6.971","(T7)"
"T7","Brian Harman","-9","F","64","1.347","(20th)","1.823","(35th)","2.604","(4th)","1.198","(32nd)","6.971","(T7)"
"T10","Jesper Svensson","-8","F*","69","2.167","(T11)","0.936","(46th)","1.098","(22nd)","1.771","(23rd)","5.971","(T10)"
"T10","Michael Brennan","-8","F*","69","0.763","(T30)","5.629","(4th)","-1.418","(59th)","0.998","(36th)","5.971","(T10)"
"T10","Denny McCarthy","-8","F","68","-0.912","(57th)","3.049","(19th)","1.766","(12th)","2.069","(19th)","5.971","(T10)"
"T13","Christiaan Bezuidenhout","-7","F","67","0.580","(34th)","3.427","(13th)","-0.544","(50th)","1.509","(25th)","4.971","(T13)"
"T13","Kevin Yu","-7","F","66","0.292","(42nd)","0.578","(51st)","1.442","(16th)","2.660","(13th)","4.971","(T13)"
"T13","Gary Woodland","-7","F*","71","0.762","(T30)","2.348","(27th)","-0.215","(40th)","2.077","(18th)","4.971","(T13)"
"T13","Kevin Streelman","-7","F","68","1.194","(21st)","3.185","(17th)","0.007","(36th)","0.586","(39th)","4.971","(T13)"
"T13","Austin Smotherman","-7","F","67","-2.215","(65th)","5.662","(3rd)","-0.252","(42nd)","1.777","(22nd)","4.971","(T13)"
"T13","Lee Hodges","-7","F","67","0.970","(25th)","2.097","(32nd)","-0.448","(46th)","2.353","(15th)","4.971","(T13)"
"T13","Scottie Scheffler","-7","F","70","2.467","(6th)","0.593","(50th)","-1.979","(63rd)","3.891","(7th)","4.971","(T13)"
"T13","Hideki Matsuyama","-7","F","65","0.953","(26th)","-0.340","(55th)","2.267","(T7)","2.092","(17th)","4.971","(T13)"
"T13","Lucas Glover","-7","F","70","0.004","(45th)","4.378","(9th)","0.620","(31st)","-0.030","(43rd)","4.971","(T13)"
"T13","Kevin Roy","-7","F*","70","3.003","(3rd)","0.921","(47th)","-0.059","(37th)","1.107","(35th)","4.971","(T13)"
"T13","Chandler Blanchet","-7","F","68","2.170","(10th)","2.715","(24th)","-0.440","(45th)","0.527","(40th)","4.971","(T13)"
"T24","Austin Eckroat","-6","F*","67","-1.704","(62nd)","3.219","(T15)","1.260","(20th)","1.197","(33rd)","3.971","(T24)"
"T24","Davis Thompson","-6","F","68","2.013","(T13)","4.571","(6th)","-0.524","(48th)","-2.088","(62nd)","3.971","(T24)"
"T24","Seamus Power","-6","F*","68","-0.921","(58th)","4.396","(8th)","1.824","(10th)","-1.327","(56th)","3.971","(T24)"
"T24","Haotong Li","-6","F","68","0.383","(39th)","4.537","(7th)","-0.280","(44th)","-0.668","(49th)","3.971","(T24)"
"T24","Muzzy Donohue","-6","F*","63","-1.898","(64th)","1.636","(41st)","2.101","(9th)","2.133","(16th)","3.971","(T24)"
"T24","Vince Whaley","-6","F","69","-0.525","(50th)","0.917","(48th)","0.934","(24th)","2.646","(14th)","3.971","(T24)"
"T24","Zecheng Dou","-6","F","69","1.883","(15th)","-2.123","(64th)","2.267","(T7)","1.945","(20th)","3.971","(T24)"
"T31","Sam Stevens","-5","F","69","1.085","(24th)","1.106","(44th)","-1.961","(62nd)","2.742","(11th)","2.971","(T31)"
"T31","Kurt Kitayama","-5","F*","69","2.879","(4th)","-0.652","(58th)","-0.207","(39th)","0.952","(37th)","2.971","(T31)"
"T31","Maverick McNealy","-5","F*","66","1.784","(17th)","2.016","(33rd)","-0.471","(47th)","-0.357","(45th)","2.971","(T31)"
"T31","Tom Kim","-5","F*","69","0.571","(36th)","3.727","(11th)","1.449","(15th)","-2.775","(64th)","2.971","(T31)"
"T31","Casey Jarvis","-5","F*","66","3.109","(2nd)","1.184","(43rd)","1.638","(14th)","-2.959","(65th)","2.971","(T31)"
