POS,PLAYER,TOTAL,RD1,RD2,RD3,RD4,STROKES
1,Jackson Koivun,-25,64,68,61,66,259
2,Scottie Scheffler,-22,65,70,64,63,262
T3,Hideki Matsuyama,-20,70,65,65,64,264
T3,Brian Harman,-20,69,64,66,65,264
T3,Chandler Phillips,-20,66,65,66,67,264
T3,Denny McCarthy,-20,66,68,64,66,264
T7,Davis Thompson,-19,68,68,63,66,265
T7,Emiliano Grillo,-19,64,67,65,69,265
9,Ben Kohles,-18,62,69,65,70,266
T10,Gary Woodland,-17,64,71,67,65,267
T10,Seamus Power,-17,68,68,63,68,267
T10,Michael Kim,-17,69,59,70,69,267
T13,Jake Knapp,-16,68,70,68,62,268
T13,Zac Blair,-16,68,65,68,67,268
T13,Billy Horschel,-16,67,66,65,70,268
T16,Patrick Fishburn,-15,70,68,66,65,269
T16,Zecheng Dou,-15,67,69,67,66,269
T16,Davis Chatfield,-15,69,68,64,68,269
T16,Kevin Yu,-15,69,66,66,68,269
T20,Christiaan Bezuidenhout,-14,68,67,69,66,270
T20,Tom Kim,-14,68,69,67,66,270
T20,Rasmus Neergaard-Petersen,-14,66,72,66,66,270
T20,Lee Hodges,-14,68,67,65,70,270
T24,John Parry,-13,69,69,69,64,271
T24,Kevin Streelman,-13,67,68,69,67,271
T24,Austin Smotherman,-13,68,67,68,68,271
T24,Kurt Kitayama,-13,68,69,66,68,271
T24,Hank Lebioda,-13,69,69,65,68,271
T24,Chandler Blanchet,-13,67,68,67,69,271
T24,Michael Brennan,-13,65,69,63,74,271
T31,Max Greyserman,-12,69,70,69,64,272
T31,Kevin Roy,-12,65,70,68,69,272
T31,Chris Kirk,-12,70,69,64,69,272
T34,Maverick McNealy,-11,71,66,72,64,273
T34,Muzzy Donohue,-11,73,63,73,64,273
T34,Joel Dahmen,-11,70,69,66,68,273
T34,Vince Whaley,-11,67,69,68,69,273
T34,Mark Hubbard,-11,70,69,65,69,273
T39,Pontus Nyholm,-10,68,69,71,66,274
T39,Jordan Smith,-10,71,68,67,68,274
T39,Corey Conners,-10,70,69,66,69,274
T39,John VanDerLaan,-10,67,71,66,70,274
T39,Troy Merritt,-10,66,66,69,73,274
T44,Matti Schmid,-9,67,72,69,67,275
T44,Mackenzie Hughes,-9,71,67,68,69,275
T44,Neal Shipley,-9,70,69,66,70,275
T44,Zach Bauchou,-9,70,69,66,70,275
T44,Jesper Svensson,-9,65,69,70,71,275
