POS,Player,TOTAL,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG-Around the Green,SG-Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG Total,SG Total (Rank)
1,Jackson Koivun,-25,2.598,(16th),9.363,(1st),-1.324,(51st),6.395,(3rd),17.031,(1st)
2,Scottie Scheffler,-22,3.143,(10th),4.653,(13th),0.361,(31st),5.875,(8th),14.031,(2nd)
T3,Hideki Matsuyama,-20,3.084,(T11),-2.634,(62nd),8.17,(1st),3.412,(17th),12.031,(T3)
T3,Brian Harman,-20,0.882,(35th),2.912,(26th),4.664,(2nd),3.574,(15th),12.031,(T3)
T3,Chandler Phillips,-20,0.41,(41st),2.121,(29th),3.515,(7th),5.986,(6th),12.031,(T3)
T3,Denny McCarthy,-20,-0.486,(48th),4.257,(17th),0.779,(28th),7.482,(1st),12.031,(T3)
T7,Davis Thompson,-19,4.92,(3rd),6.496,(6th),-0.593,(42nd),0.209,(40th),11.031,(T7)
T7,Emiliano Grillo,-19,2.74,(14th),4.722,(11th),2.844,(11th),0.726,(35th),11.031,(T7)
9,Ben Kohles,-18,1.741,(21st),8.639,(2nd),-0.654,(43rd),0.306,(37th),10.031,(9th)
T10,Gary Woodland,-17,3.085,(T11),3.147,(23rd),0.096,(33rd),2.704,(21st),9.031,(T10)
T10,Seamus Power,-17,-2.398,(58th),7.29,(4th),2.482,(13th),1.658,(28th),9.031,(T10)
T10,Michael Kim,-17,1.305,(28th),4.547,(15th),-0.671,(45th),3.851,(12th),9.031,(T10)
T13,Jake Knapp,-16,3.161,(9th),7.31,(3rd),-3.649,(63rd),1.21,(31st),8.031,(T13)
T13,Zac Blair,-16,-0.379,(46th),1.124,(37th),0.079,(34th),7.208,(2nd),8.031,(T13)
T13,Billy Horschel,-16,3.407,(6th),7.083,(5th),0.18,(32nd),-2.638,(57th),8.031,(T13)
T16,Patrick Fishburn,-15,1.772,(20th),1.083,(38th),-2.114,(57th),6.291,(4th),7.031,(T16)
T16,Zecheng Dou,-15,3.362,(7th),-1.777,(58th),2.193,(15th),3.254,(18th),7.031,(T16)
T16,Davis Chatfield,-15,-1.716,(53rd),3.115,(24th),1.718,(18th),3.915,(11th),7.031,(T16)
T16,Kevin Yu,-15,1.427,(25th),1.622,(33rd),3.698,(5th),0.285,(38th),7.031,(T16)
T20,Christiaan Bezuidenhout,-14,0.282,(42nd),1.951,(31st),-0.017,(37th),3.816,(13th),6.031,(T20)
T20,Tom Kim,-14,1.338,(27th),4.13,(20th),2.778,(12th),-2.214,(53rd),6.031,(T20)
T20,Rasmus Neergaard-Petersen,-14,5.612,(1st),-0.537,(52nd),3.116,(9th),-2.159,(52nd),6.031,(T20)
T20,Lee Hodges,-14,1.98,(18th),1.324,(36th),-0.41,(41st),3.138,(20th),6.031,(T20)
T24,John Parry,-13,1.21,(29th),0.753,(43rd),4.264,(3rd),-1.195,(47th),5.031,(T24)
T24,Kevin Streelman,-13,0.701,(37th),4.018,(21st),3.732,(4th),-3.419,(60th),5.031,(T24)
T24,Austin Smotherman,-13,-1.115,(50th),6.488,(7th),-0.822,(48th),0.481,(36th),5.031,(T24)
T24,Kurt Kitayama,-13,2.81,(13th),1.024,(39th),-0.993,(49th),2.191,(26th),5.031,(T24)
T24,Hank Lebioda,-13,-3.735,(62nd),6.35,(8th),0.973,(24th),1.444,(29th),5.031,(T24)
T24,Chandler Blanchet,-13,3.793,(4th),2.126,(28th),-0.693,(46th),-0.194,(44th),5.031,(T24)
T24,Michael Brennan,-13,1.567,(23rd),6.128,(9th),-5.007,(66th),2.344,(23rd),5.031,(T24)
T31,Max Greyserman,-12,1.015,(32nd),-1.299,(56th),-1.712,(56th),6.028,(5th),4.031,(T31)
T31,Kevin Roy,-12,1.128,(31st),2.057,(30th),0.836,(26th),0.011,(42nd),4.031,(T31)
T31,Chris Kirk,-12,-1.198,(51st),4.41,(16th),1.405,(20th),-0.585,(45th),4.031,(T31)
T34,Maverick McNealy,-11,0.672,(39th),0.771,(42nd),-1.623,(55th),3.209,(19th),3.026,(T34)
T34,Muzzy Donohue,-11,-3.239,(61st),1.755,(32nd),0.783,(27th),3.733,(14th),3.031,(T34)
T34,Joel Dahmen,-11,1.198,(30th),4.718,(12th),-1.608,(54th),-1.276,(48th),3.031,(T34)
T34,Vince Whaley,-11,-2.369,(57th),0.864,(41st),3.584,(6th),0.953,(33rd),3.031,(T34)
T34,Mark Hubbard,-11,1.587,(22nd),0.642,(45th),-1.043,(50th),1.846,(27th),3.031,(T34)
T39,Pontus Nyholm,-10,0.713,(36th),-0.654,(53rd),-1.468,(53rd),3.441,(16th),2.031,(T39)
T39,Jordan Smith,-10,3.214,(8th),1.615,(34th),-0.31,(40th),-2.487,(55th),2.031,(T39)
