player_name,dg_id,event_name,course_name,VenueDNA_neutral_skill,VenueDNA_venue_fit_delta,VenueDNA_venue_history_delta,VenueDNA_penalties_total,VenueDNA_final_projection,VenueDNA_tier,VenueDNA_rank,VenueDNA_confidence_band,VenueDNA_variance_class,VenueDNA_trait_approach,VenueDNA_trait_long_iron_150_225,VenueDNA_trait_total_driving,VenueDNA_trait_driving_accuracy,VenueDNA_trait_driving_distance,VenueDNA_trait_par5_scoring,VenueDNA_trait_easy_green_putting,VenueDNA_trait_course_history,VenueDNA_trait_closing_hole_composure,VenueDNA_trait_debut_adjustment,VenueDNA_trait_recent_form_context,VenueDNA_flag_accuracy_risk,VenueDNA_flag_short_game_only,VenueDNA_flag_putting_dependency,VenueDNA_flag_long_iron_deficit,VenueDNA_flag_debut_uncertainty,VenueDNA_penalty_notes,VenueDNA_rule_reference,VenueDNA_penalty_impact,tags,anti_pattern_flags,search_blob,DG_baseline_benchmark,DG_timingadj_benchmark,DG_sgcategoryadj_benchmark,DG_coursehistoryadj_benchmark,DG_drivingdistadj_benchmark,DG_drivingaccadj_benchmark,DG_coursefittotaladj_benchmark,DG_finalprediction_benchmark,DG_stddev_benchmark
"Scheffler, Scottie",18417,3M Open,TPC Twin Cities,100.0,-0.185,0,0,99.3,T1,1,high,medium,75.7,72.1,86.8,71.2,36.1,43.8,73.2,45.0,59.7,35.0,98.4,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T1|approach_elite|long_iron_elite,,"Scheffler, Scottie T1 T1|approach_elite|long_iron_elite ",2.698,0.017,0.072,-0.046,-0.072,0.072,0.032,2.827,2.742
"McNealy, Maverick",18634,3M Open,TPC Twin Cities,76.3,0.0977,0.006,-8.0,76.9,T1,2,low,medium,54.4,50.4,64.5,45.6,38.8,41.0,75.3,50.3,53.2,75.0,75.9,true,true,true,true,false,"accuracy_risk: driving_acc_adj=-0.025; water on 9/14 driving holes; short_game_only: arg elevated, app low; TPC does not reward rescue play; putting_dependency: easy bentgrass greens compress putting edge; long_iron_deficit: 150-200 fw SG below neutral; TPC demands this range",02_PGA_VENUEDNA_SCORING_SPEC.md §11,-8.0,T1|venue_fit_upside|flag_accuracy_risk|flag_short_game_only|flag_putting_dependency|flag_long_iron_deficit,accuracy_risk|short_game_only|putting_dependency|long_iron_deficit,"McNealy, Maverick T1 T1|venue_fit_upside|flag_accuracy_risk|flag_short_game_only|flag_putting_dependency|flag_long_iron_deficit accuracy_risk|short_game_only|putting_dependency|long_iron_deficit",1.169,-0.014,-0.002,0.047,-0.057,-0.025,-0.078,1.205,2.796
"Koivun, Jackson",32319,3M Open,TPC Twin Cities,70.9,0.3154,0,-2.0,75.0,T1,3,medium,medium,72.6,84.6,62.8,61.2,43.6,49.5,52.2,45.0,56.5,35.0,67.3,false,true,false,false,false,"short_game_only: arg elevated, app low; TPC does not reward rescue play",02_PGA_VENUEDNA_SCORING_SPEC.md §11,-2.0,T1|approach_elite|long_iron_elite|venue_fit_upside|flag_short_game_only,short_game_only,"Koivun, Jackson T1 T1|approach_elite|long_iron_elite|venue_fit_upside|flag_short_game_only short_game_only",0.785,0.051,-0.001,-0.046,-0.03,0.034,0.008,0.828,2.769
"Kitayama, Kurt",21891,3M Open,TPC Twin Cities,73.3,-0.0134,0.064,0,72.3,T1,4,high,high,71.8,73.1,70.7,51.9,32.5,39.8,51.8,76.9,50.7,55.0,73.2,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T1|approach_elite|long_iron_elite,,"Kitayama, Kurt T1 T1|approach_elite|long_iron_elite ",1.096,0.036,-0.0,0.071,-0.092,-0.001,-0.074,1.162,2.817
"Woodland, Gary",12577,3M Open,TPC Twin Cities,64.7,0.5,0.028,0,71.9,T1,5,high,high,64.6,67.0,80.2,51.1,30.4,36.2,61.4,60.4,50.8,75.0,56.9,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T1|approach_solid|venue_fit_upside,,"Woodland, Gary T1 T1|approach_solid|venue_fit_upside ",0.443,-0.02,-0.024,0.068,-0.104,-0.004,-0.102,0.347,2.816
"Matsuyama, Hideki",13562,3M Open,TPC Twin Cities,75.5,-0.2215,-0.024,0,71.3,T2,6,high,medium,75.7,71.5,49.4,54.0,50.6,56.3,59.0,36.5,60.8,55.0,71.2,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T2|approach_elite|long_iron_elite,,"Matsuyama, Hideki T2 T2|approach_elite|long_iron_elite ",1.056,0.086,0.026,-0.011,0.009,0.007,0.031,1.138,2.733
"Kim, Tom",24766,3M Open,TPC Twin Cities,63.3,0.4828,0.011,0,70.3,T2,7,high,medium,63.5,59.2,49.1,61.7,53.0,55.3,44.8,52.6,58.6,55.0,81.8,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T2|approach_solid|venue_fit_upside,,"Kim, Tom T2 T2|approach_solid|venue_fit_upside ",0.794,0.11,0.088,0.018,0.022,0.036,0.078,1.12,2.751
"Conners, Corey",17576,3M Open,TPC Twin Cities,67.0,0.2096,0.004,0,69.7,T2,8,high,medium,77.1,74.9,55.9,67.0,51.5,57.4,43.5,49.4,58.9,35.0,64.4,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T2|approach_elite|long_iron_elite|venue_fit_upside,,"Conners, Corey T2 T2|approach_elite|long_iron_elite|venue_fit_upside ",0.758,0.119,-0.023,-0.01,0.014,0.056,0.088,0.884,2.749
"Harman, Brian",8825,3M Open,TPC Twin Cities,63.7,0.4115,0.023,0,69.6,T2,9,high,medium,67.0,59.9,44.9,65.6,62.3,64.2,54.4,58.1,62.4,55.0,64.2,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T2|approach_solid|venue_fit_upside,,"Harman, Brian T2 T2|approach_solid|venue_fit_upside ",0.532,0.01,-0.004,0.031,0.074,0.051,0.134,0.614,2.72
"Meissner, Mac",28159,3M Open,TPC Twin Cities,67.3,0.1216,0.016,0,68.6,T2,10,high,low,64.0,64.2,50.0,49.5,48.1,51.3,64.8,54.9,67.1,55.0,67.8,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T2|approach_solid|venue_fit_upside,,"Meissner, Mac T2 T2|approach_solid|venue_fit_upside ",0.784,-0.066,-0.097,0.024,-0.005,-0.01,-0.007,0.778,2.681
"Smith, Jordan",18586,3M Open,TPC Twin Cities,63.3,0.3447,0,0,68.1,T2,11,high,medium,66.6,70.7,72.1,69.6,42.4,47.0,44.0,45.0,56.2,35.0,61.4,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T2|approach_solid|long_iron_elite|venue_fit_upside,,"Smith, Jordan T2 T2|approach_solid|long_iron_elite|venue_fit_upside ",0.553,0.084,0.139,-0.046,-0.037,0.066,0.043,0.8,2.771
"Mitchell, Keith",17365,3M Open,TPC Twin Cities,67.6,-0.0328,0.024,0,66.5,T2,12,high,high,61.2,61.8,80.7,47.7,31.3,36.2,48.4,58.5,52.4,100.0,70.2,false,false,false,false,false,none,02_PGA_VENUEDNA_SCORING_SPEC.md §11,0,T2|approach_solid|venue_experience,,"Mitchell, Keith T2 T2|approach_solid|venue_experience ",0.849,0.018,0.043,0.098,-0.099,-0.017,-0.105,0.898,2.803
