time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,poor shot (under -0.5 sg) avoidance rate,"Higa, Kazuki",null,null,41,1,48,1,null,null,16,1,27,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Onishi, Kaito",19,0.895,55,0.982,77,0.922,33,1,31,0.968,21,0.905
l12_months,poor shot (under -0.5 sg) avoidance rate,"Endycott, Harrison",19,0.842,53,0.981,72,0.861,null,null,22,0.818,21,0.952
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kozuma, Jinichiro",21,1,40,0.975,null,null,null,null,15,0.8,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lahiri, Anirban",49,0.878,199,0.975,217,0.935,119,0.941,91,0.901,52,0.865
l12_months,poor shot (under -0.5 sg) avoidance rate,"Casey, Paul",46,0.957,152,0.974,189,0.974,100,0.97,66,0.848,58,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Horschel, Billy",76,0.947,247,0.972,376,0.952,167,0.976,116,0.957,137,0.942
l12_months,poor shot (under -0.5 sg) avoidance rate,"Reed, Patrick",41,0.951,105,0.971,134,0.978,63,0.968,41,0.976,54,0.963
l12_months,poor shot (under -0.5 sg) avoidance rate,"Gomez, Fabian",null,null,70,0.971,89,0.933,67,0.97,17,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Cantlay, Patrick",81,0.926,243,0.971,373,0.965,200,0.97,132,0.947,119,0.966
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kim, Tom",81,0.914,275,0.971,459,0.941,186,0.946,127,0.969,136,0.978
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kohles, Ben",46,0.978,196,0.969,259,0.923,134,0.985,43,1,47,0.979
l12_months,poor shot (under -0.5 sg) avoidance rate,"Buckley, Hayden",16,0.938,62,0.968,89,0.944,31,0.935,30,0.9,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"An, Byeong Hun",79,0.949,174,0.966,215,0.93,112,0.973,151,0.96,92,0.935
l12_months,poor shot (under -0.5 sg) avoidance rate,"Dufner, Jason",17,1,57,0.965,60,0.883,null,null,24,0.833,20,0.9
l12_months,poor shot (under -0.5 sg) avoidance rate,"Ghim, Doug",90,0.956,252,0.964,347,0.942,142,0.923,111,0.946,79,0.975
l12_months,poor shot (under -0.5 sg) avoidance rate,"Smotherman, Austin",54,0.944,166,0.964,314,0.952,123,0.984,62,0.919,82,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Hall, Harry",101,0.99,274,0.964,404,0.941,214,0.967,135,0.963,150,0.967
l12_months,poor shot (under -0.5 sg) avoidance rate,"Cauley, Bud",100,0.94,296,0.963,452,0.976,218,0.968,117,0.897,166,0.964
l12_months,poor shot (under -0.5 sg) avoidance rate,"Todd, Brendon",24,0.792,53,0.962,76,0.763,35,0.857,23,0.826,27,0.963
