time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,good shot (over +0.5 sg) rate,"Bramlett, Joseph",15,0.133,53,0.132,73,0.055,null,null,29,0,null,null
l12_months,good shot (over +0.5 sg) rate,"Molinari, Francesco",null,null,56,0.125,92,0.098,40,0.05,12,0,null,null
l12_months,good shot (over +0.5 sg) rate,"Merritt, Troy",38,0.026,104,0.125,148,0.041,73,0.096,66,0.076,39,0.026
l12_months,good shot (over +0.5 sg) rate,"Rosenmueller, Thomas",49,0.102,136,0.118,163,0.067,88,0.034,61,0.033,37,0.081
l12_months,good shot (over +0.5 sg) rate,"Burns, Sam",132,0.114,349,0.117,436,0.05,226,0.066,140,0.086,143,0.049
l12_months,good shot (over +0.5 sg) rate,"Henley, Russell",86,0.128,291,0.117,452,0.066,214,0.051,88,0.08,93,0.032
l12_months,good shot (over +0.5 sg) rate,"Johnson, Zach",35,0.029,95,0.116,134,0.037,59,0.034,15,0.067,23,0.043
l12_months,good shot (over +0.5 sg) rate,"Duncan, Tyler",16,0.25,78,0.115,73,0.096,53,0.019,14,0.143,19,0.053
l12_months,good shot (over +0.5 sg) rate,"Crowe, Trace",28,0.036,96,0.115,91,0.033,54,0.037,42,0.071,27,0.037
l12_months,good shot (over +0.5 sg) rate,"Meronk, Adrian",52,0.019,177,0.113,239,0.033,112,0.054,102,0.059,92,0.022
l12_months,good shot (over +0.5 sg) rate,"Piercy, Scott",14,0,45,0.111,55,0.036,29,0.103,20,0.2,null,null
l12_months,good shot (over +0.5 sg) rate,"Capan III, Frankie",20,0.1,72,0.111,93,0.032,33,0.03,57,0.053,53,0.057
l12_months,good shot (over +0.5 sg) rate,"Fitzpatrick, Alex",44,0.091,111,0.108,190,0.047,101,0.03,50,0.06,50,0.06
l12_months,good shot (over +0.5 sg) rate,"Highsmith, Joe",62,0.113,306,0.108,369,0.06,164,0.061,130,0.046,140,0.036
l12_months,good shot (over +0.5 sg) rate,"Stout, Preston",18,0.056,56,0.107,78,0.038,42,0.071,24,0,21,0.048
l12_months,good shot (over +0.5 sg) rate,"Rai, Aaron",59,0.102,262,0.107,389,0.069,197,0.056,58,0.069,73,0.014
l12_months,good shot (over +0.5 sg) rate,"Ryder, Sam",68,0.074,207,0.106,314,0.057,123,0.057,97,0.113,91,0.044
l12_months,good shot (over +0.5 sg) rate,"Bridgeman, Jacob",106,0.113,370,0.105,523,0.059,278,0.076,140,0.064,172,0.052
l12_months,good shot (over +0.5 sg) rate,"Hardy, Nick",40,0.075,114,0.105,172,0.07,81,0.025,73,0.082,50,0.04
