time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,proximity (ft),"Fitzpatrick, Alex",44,17.6,111,17.3,190,28.5,101,40.1,50,32.8,50,67.4
l12_months,proximity (ft),"Hovland, Viktor",75,16.6,229,17.6,393,25.9,224,46.3,87,39.1,121,62.8
l12_months,proximity (ft),"Conners, Corey",73,17.4,334,18.5,484,28.2,246,40.6,111,37.7,140,63.3
l12_months,proximity (ft),"Morikawa, Collin",71,14.5,262,18.8,397,28.7,193,40.9,90,40.6,93,62.7
l12_months,proximity (ft),"Henley, Russell",86,16.1,291,18.8,452,28.4,214,46.9,88,33.4,93,65.6
l12_months,proximity (ft),"Cantlay, Patrick",81,15.2,243,18.8,373,29.5,200,42.5,132,38.8,119,65
l12_months,proximity (ft),"Aberg, Ludvig",77,17.2,287,18.8,392,29.7,192,41.8,127,36.3,114,61.5
l12_months,proximity (ft),"Keefer, Johnny",98,15.8,276,18.9,364,29.4,159,45.2,146,36.7,116,62.7
l12_months,proximity (ft),"Harman, Brian",105,14.6,298,18.9,473,30.3,262,44.3,144,39.7,136,65.7
l12_months,proximity (ft),"Molinari, Francesco",null,null,56,19,92,27.8,40,39,12,45.4,null,null
l12_months,proximity (ft),"Kohles, Ben",46,16,196,19,259,29.7,134,40.3,43,34.3,47,58.3
l12_months,proximity (ft),"Kirk, Chris",72,16.5,233,19,329,30,156,41.7,117,40.3,108,62.2
l12_months,proximity (ft),"Onishi, Kaito",19,20.4,55,19,77,33.2,33,37.5,31,43.7,21,54.9
l12_months,proximity (ft),"Covello, Vince",16,17.5,48,19.1,60,31.9,null,null,39,36.7,null,null
l12_months,proximity (ft),"Simpson, Webb",41,14.8,125,19.1,170,32.5,69,38.4,69,40.9,69,75
l12_months,proximity (ft),"Kim, Si Woo",108,16.9,313,19.2,514,26,287,38.1,123,39.9,135,67.6
l12_months,proximity (ft),"Bhatia, Akshay",92,16.9,284,19.2,425,27.9,223,44.7,156,37.1,163,54.2
l12_months,proximity (ft),"Thomas, Justin",78,17.4,261,19.3,376,32.4,186,43.7,138,38.3,121,54.1
l12_months,proximity (ft),"Burns, Sam",132,14.9,349,19.3,436,30.3,226,45.6,140,39.9,143,65.6
l12_months,proximity (ft),"Fox, Ryan",70,17.3,283,19.3,341,31.2,183,42.9,128,30.6,154,58.2
l12_months,proximity (ft),"Straka, Sepp",79,15.9,243,19.3,397,28.3,197,43.7,94,37.3,132,66.2
l12_months,proximity (ft),"Rose, Justin",70,13.7,225,19.3,348,28.9,200,47.4,85,30,121,64.2
l12_months,proximity (ft),"Noh, S.Y.",18,21.5,42,19.3,73,31.9,39,45.7,12,56.5,19,50.5
l12_months,proximity (ft),"Bridgeman, Jacob",106,17.2,370,19.4,523,29,278,49,140,38,172,60.9
l12_months,proximity (ft),"Dufner, Jason",17,20.3,57,19.5,60,30.9,null,null,24,54.2,20,56.3
l12_months,proximity (ft),"Hojgaard, Nicolai",84,14.3,240,19.5,331,29.6,173,43.2,143,41.2,149,57.4
l12_months,proximity (ft),"Gerard, Ryan",75,17.9,337,19.5,485,29.3,217,40.3,117,33.8,152,57.4
l12_months,proximity (ft),"Hoge, Tom",124,16.5,324,19.5,474,30.3,229,41.2,162,34.8,180,57.3
l12_months,proximity (ft),"Scheffler, Scottie",110,14.8,308,19.5,431,27.3,225,41.4,110,39.3,130,57.6
l12_months,proximity (ft),"McNealy, Maverick",110,18.2,304,19.6,421,32,243,45.3,161,38,159,63.2
l12_months,proximity (ft),"Bradley, Keegan",89,18.5,302,19.7,447,29.9,237,43.7,153,36,126,65.5
l12_months,proximity (ft),"Rai, Aaron",59,23.9,262,19.7,389,29,197,44,58,37.2,73,69.3
l12_months,proximity (ft),"Casey, Paul",46,17.4,152,19.7,189,25.7,100,41.9,66,47.1,58,55.2
l12_months,proximity (ft),"Lowry, Shane",85,14.8,276,19.7,365,29,190,43.2,101,34.4,131,62.5
l12_months,proximity (ft),"Kim, Michael",106,15.7,298,19.7,423,30.8,228,44,153,34.4,161,60.2
l12_months,proximity (ft),"Bramlett, Joseph",15,19.9,53,19.7,73,30.2,null,null,29,43.5,null,null
l12_months,proximity (ft),"Blanchet, Chandler",68,18.8,182,19.8,282,33.6,136,42.4,74,34.5,73,67.2
l12_months,proximity (ft),"Kitayama, Kurt",103,18,343,19.8,479,28.2,219,41.6,138,37.9,179,52
l12_months,proximity (ft),"Smotherman, Austin",54,18.1,166,19.8,314,29.5,123,42,62,37.4,82,56.5
l12_months,proximity (ft),"Gomez, Fabian",null,null,70,19.9,89,32.4,67,48.4,17,36.2,null,null
l12_months,proximity (ft),"Koivun, Jackson",19,24,83,19.9,96,24.9,52,40.9,30,43,25,78.2
l12_months,proximity (ft),"Sigg, Greyson",20,14.8,108,19.9,115,29.9,41,39.2,30,38.9,34,55.4
l12_months,proximity (ft),"Cole, Eric",70,16.7,268,19.9,396,29.1,190,45,192,39.3,179,52.6
l12_months,proximity (ft),"Goodwin, Noah",31,16.7,114,20,127,30.8,52,51,26,42.3,37,79.6
l12_months,proximity (ft),"Kim, Tom",81,17.2,275,20,459,30,186,44.7,127,38.3,136,63
l12_months,proximity (ft),"Munoz, Sebastian",63,22.3,207,20,229,28.4,124,45.4,71,39.4,53,65.4
l12_months,proximity (ft),"Reed, Patrick",41,15.1,105,20.1,134,26.6,63,44.6,41,33.7,54,68.9
l12_months,proximity (ft),"Jarvis, Casey",21,10.7,58,20.1,109,29.3,51,51.7,26,42.1,38,59.8
l12_months,proximity (ft),"Cauley, Bud",100,16.8,296,20.1,452,29.2,218,42.9,117,45.6,166,60.1
l12_months,proximity (ft),"Fitzpatrick, Matt",75,13.1,295,20.2,457,28.1,227,45.5,83,36.9,125,59.1
