time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,sg per shot,"Molinari, Francesco",null,null,56,0.086,92,0.067,40,0.067,12,-0.256,null,null
l12_months,sg per shot,"Fitzpatrick, Alex",44,-0.01,111,0.082,190,0.025,101,0.038,50,0.103,50,0.016
l12_months,sg per shot,"Bramlett, Joseph",15,-0.051,53,0.081,73,0.009,null,null,29,0.007,null,null
l12_months,sg per shot,"Kohles, Ben",46,0.049,196,0.075,259,0.015,134,0.049,43,0.122,47,0.048
l12_months,sg per shot,"Aberg, Ludvig",77,0.07,287,0.07,392,0.004,192,0.031,127,0.053,114,0.03
l12_months,sg per shot,"Hovland, Viktor",75,0.064,229,0.065,393,0.058,224,-0.006,87,0.009,121,0.01
l12_months,sg per shot,"Burns, Sam",132,0.062,349,0.065,436,0.016,226,0.033,140,0.05,143,-0.025
l12_months,sg per shot,"Simpson, Webb",41,0.052,125,0.065,170,-0.055,69,0.052,69,-0.031,69,-0.035
l12_months,sg per shot,"Bridgeman, Jacob",106,0.001,370,0.065,523,0.03,278,-0.02,140,0.038,172,-0.013
l12_months,sg per shot,"Blanchet, Chandler",68,-0.007,182,0.065,282,-0.037,136,0.046,74,-0.046,73,-0.058
l12_months,sg per shot,"Henley, Russell",86,0.057,291,0.064,452,0.033,214,0.051,88,0.041,93,-0.042
l12_months,sg per shot,"Johnson, Zach",35,0.034,95,0.063,134,-0.067,59,0.068,15,0.01,23,-0.034
l12_months,sg per shot,"Duncan, Tyler",16,0.179,78,0.062,73,0.052,53,-0.084,14,0.011,19,-0.096
l12_months,sg per shot,"Cantlay, Patrick",81,0.034,243,0.06,373,0.032,200,0.035,132,-0.003,119,0.023
l12_months,sg per shot,"Morikawa, Collin",71,0.08,262,0.059,397,0.045,193,0.089,90,0.036,93,0.022
l12_months,sg per shot,"Gomez, Fabian",null,null,70,0.057,89,0.014,67,-0.065,17,0.052,null,null
l12_months,sg per shot,"Conners, Corey",73,0.012,334,0.057,484,0.046,246,0.061,111,0.011,140,-0.028
l12_months,sg per shot,"Kirk, Chris",72,0.09,233,0.057,329,0,156,0.056,117,0.02,108,0.004
l12_months,sg per shot,"Noh, S.Y.",18,-0.055,42,0.054,73,-0.021,39,0.068,12,-0.114,19,0.038
l12_months,sg per shot,"Rai, Aaron",59,-0.105,262,0.054,389,0.049,197,0.061,58,0.06,73,-0.052
l12_months,sg per shot,"Salinda, Isaiah",44,-0.017,125,0.053,160,0.007,78,-0.041,57,-0.07,47,-0.001
l12_months,sg per shot,"Lowry, Shane",85,0.076,276,0.05,365,0.017,190,0.043,101,0.057,131,0.02
l12_months,sg per shot,"Kim, Tom",81,0.033,275,0.049,459,0.022,186,0.004,127,0.036,136,0.049
l12_months,sg per shot,"Koivun, Jackson",19,-0.175,83,0.049,96,0.091,52,0.04,30,-0.037,25,-0.143
l12_months,sg per shot,"Stout, Preston",18,-0.097,56,0.047,78,0.02,42,0.026,24,-0.121,21,-0.028
l12_months,sg per shot,"Smotherman, Austin",54,0.038,166,0.046,314,0.026,123,0.068,62,0.043,82,0.059
l12_months,sg per shot,"Casey, Paul",46,0.037,152,0.045,189,0.077,100,0.07,66,-0.138,58,0.083
l12_months,sg per shot,"Harman, Brian",105,0.074,298,0.045,473,0.008,262,0.034,144,-0.001,136,-0.013
l12_months,sg per shot,"Ryder, Sam",68,0.039,207,0.044,314,0.016,123,-0.011,97,0.047,91,0.009
l12_months,sg per shot,"Thomas, Justin",78,0.02,261,0.044,376,-0.03,186,-0.003,138,0.007,121,0.001
l12_months,sg per shot,"Reed, Patrick",41,0.059,105,0.044,134,0.064,63,0.044,41,0.076,54,-0.013
l12_months,sg per shot,"Munoz, Sebastian",63,-0.014,207,0.043,229,0.034,124,0.051,71,-0.024,53,0.012
l12_months,sg per shot,"Keefer, Johnny",98,0.044,276,0.043,364,0.039,159,-0.024,146,0.042,116,0.001
l12_months,sg per shot,"Waring, Paul",23,0.014,58,0.042,85,-0.043,39,-0.055,28,0.045,37,0.033
l12_months,sg per shot,"Sigg, Greyson",20,0.078,108,0.041,115,-0.004,41,0.091,30,0.037,34,0.042
l12_months,sg per shot,"Snedeker, Brandt",67,0.024,222,0.04,324,-0.009,133,-0.033,76,0.084,86,-0.048
l12_months,sg per shot,"Rose, Justin",70,0.112,225,0.04,348,0.002,200,0.028,85,0.151,121,0.021
