player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Scheffler, Scottie",18417,pga,pga,pga-the memorial tournament presented by workday-T12_major-u.s. open-T4_pga-travelers championship-2_pga-genesis scottish open-CUT_major-the open championship-T4,2.7,-0.41
"Kim, Tom",24766,pga,pga,pga-rbc canadian open-T15_major-u.s. open-3_pga-john deere classic-T46_pga-genesis scottish open-1_major-the open championship-CUT,1.68,1.24
"Homa, Max",17538,pga,pga,pga-charles schwab challenge-T22_pga-rbc canadian open-T20_pga-john deere classic-2_pga-isco championship-T39_major-the open championship-T28,1.35,0.76
"Suber, Jackson",29279,pga,pga,pga-rbc canadian open-T4_major-u.s. open-CUT_pga-travelers championship-T30_pga-john deere classic-T6_major-the open championship-T28,1.34,1.24
"McNealy, Maverick",18634,pga,pga,major-pga championship-T18_pga-the memorial tournament presented by workday-T10_major-u.s. open-T32_pga-travelers championship-T55_major-the open championship-CUT,1.32,-0.04
"Kohles, Ben",16395,pga,pga,pga-rbc canadian open-T29_major-u.s. open-T23_kft-memorial health championship presented by lrs-T19_pga-john deere classic-T3_pga-isco championship-T15,1.28,1.14
"Kitayama, Kurt",21891,pga,pga,pga-the memorial tournament presented by workday-T22_major-u.s. open-T53_pga-travelers championship-T25_pga-genesis scottish open-T44_major-the open championship-T40,1.15,-0.06
"Ghim, Doug",24550,pga,pga,pga-the cj cup byron nelson-T31_pga-charles schwab challenge-T28_pga-rbc canadian open-T15_pga-john deere classic-T6_pga-genesis scottish open-CUT,1.07,0.7
"Matsuyama, Hideki",13562,pga,pga,pga-charles schwab challenge-T13_pga-the memorial tournament presented by workday-T43_major-u.s. open-T65_pga-travelers championship-T14_major-the open championship-T14,1.03,-0.21
"Keefer, Johnny",32457,pga,pga,pga-rbc canadian open-T51_major-u.s. open-T39_pga-john deere classic-CUT_pga-genesis scottish open-T3_major-the open championship-T59,1.01,0.8
"Mitchell, Keith",17365,pga,pga,pga-rbc canadian open-T29_major-u.s. open-T4_pga-travelers championship-T22_pga-john deere classic-T51_major-the open championship-CUT,0.97,0.22
"Nakajima, Keita",21074,pga,pga,pga-charles schwab challenge-T28_pga-rbc canadian open-T20_pga-john deere classic-T46_pga-genesis scottish open-T3_major-the open championship-CUT,0.96,0.83
"Grillo, Emiliano",12808,pga,pga,pga-the cj cup byron nelson-T38_pga-charles schwab challenge-T42_pga-rbc canadian open-T20_major-u.s. open-T23_pga-john deere classic-T26,0.93,0.93
"Blair, Zac",17639,pga,pga,kft-bmw charity proam presented by td synnex-T40_major-u.s. open-T32_kft-memorial health championship presented by lrs-T27_pga-john deere classic-T9_pga-isco championship-T8,0.83,0.73
"Meissner, Mac",28159,pga,pga,pga-the memorial tournament presented by workday-T46_pga-rbc canadian open-CUT_pga-travelers championship-T44_pga-john deere classic-T6_pga-genesis scottish open-T30,0.82,-0.09
"Koivun, Jackson",32319,pga,pga,am-ncaa athens regional-T10_am-ncaa di men's national championship stroke play-T10_major-u.s. open-T23_pga-john deere classic-CUT_pga-isco championship-T10,0.79,-0.31
"James, Ben",29827,pga,pga,pga-rbc canadian open-T54_major-u.s. open-T23_pga-travelers championship-T62_pga-isco championship-T15_pga-corales puntacana championship-T4,0.69,0.21
"Neergaard-Petersen, Rasmus",23841,pga,pga,pga-charles schwab challenge-T42_pga-rbc canadian open-39_euro-bmw international open-56_pga-genesis scottish open-T36_major-the open championship-T9,0.67,0.28
"Potgieter, Aldrich",27900,pga,pga,major-pga championship-T35_pga-rbc canadian open-T8_pga-john deere classic-CUT_pga-genesis scottish open-CUT_major-the open championship-T59,0.63,0.71
"Bauchou, Zach",19846,pga,pga,pga-charles schwab challenge-T22_pga-rbc canadian open-CUT_pga-john deere classic-T67_pga-genesis scottish open-CUT_pga-corales puntacana championship-T9,0.63,0.51
"Conners, Corey",17576,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-T23_pga-travelers championship-T7_pga-genesis scottish open-T52_major-the open championship-T14,0.61,-0.04
"Harman, Brian",8825,pga,pga,pga-the memorial tournament presented by workday-CUT_major-u.s. open-T32_pga-travelers championship-T25_pga-genesis scottish open-T36_major-the open championship-CUT,0.6,0.03
"Coody, Pierceson",28309,pga,pga,pga-the memorial tournament presented by workday-CUT_major-u.s. open-T23_pga-john deere classic-T39_pga-genesis scottish open-CUT_major-the open championship-T28,0.56,0.07
"Kuchar, Matt",6169,pga,pga,pga-oneflight myrtle beach classic-T24_pga-the cj cup byron nelson-CUT_pga-charles schwab challenge-T22_pga-the memorial tournament presented by workday-T22_pga-john deere classic-T15,0.55,0.36
"McGreevy, Max",23505,pga,pga,pga-rbc canadian open-T51_major-u.s. open-T32_pga-john deere classic-T51_pga-genesis scottish open-CUT_pga-corales puntacana championship-T11,0.53,0.06
"Van Rooyen, Erik",17550,pga,pga,pga-the cj cup byron nelson-T19_pga-charles schwab challenge-70_pga-rbc canadian open-T20_pga-john deere classic-T26_pga-genesis scottish open-CUT,0.47,0.93
"Brennan, Michael",29197,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-T43_pga-john deere classic-T33_pga-genesis scottish open-T52_major-the open championship-T53,0.46,-0.02
"Smith, Jordan",18586,pga,pga,pga-the cj cup byron nelson-T59_pga-charles schwab challenge-T13_pga-rbc canadian open-CUT_pga-genesis scottish open-T21_major-the open championship-T18,0.43,-0.03
"Ewart, A.J.",21883,pga,pga,pga-charles schwab challenge-T17_pga-rbc canadian open-T29_pga-john deere classic-T71_pga-isco championship-T34_pga-corales puntacana championship-T20,0.39,0.46
"Knapp, Jake",19396,pga,pga,pga-rbc heritage-T74_major-u.s. open-CUT_pga-travelers championship-T55_pga-genesis scottish open-CUT_major-the open championship-CUT,0.38,-0.88
"Fisk, Steven",26657,pga,pga,pga-the cj cup byron nelson-T19_pga-charles schwab challenge-T10_pga-rbc canadian open-CUT_pga-john deere classic-T67_pga-isco championship-1,0.37,0.23
"Finau, Tony",11676,pga,pga,pga-charles schwab challenge-CUT_pga-the memorial tournament presented by workday-T29_pga-rbc canadian open-T40_pga-travelers championship-T55_pga-john deere classic-T58,0.35,0.36
"Jarvis, Casey",26947,euro,pga,euro-klm open-CUT_euro-ds automobiles 83° open d’italia-CUT_euro-bmw international open-T38_pga-genesis scottish open-T21_major-the open championship-T6,0.32,0.1
"Yu, Kevin",17881,pga,pga,pga-charles schwab challenge-T35_pga-rbc canadian open-T29_pga-john deere classic-T15_pga-genesis scottish open-CUT_pga-corales puntacana championship-T24,0.31,0.37
"Hughes, Mackenzie",15556,pga,pga,pga-charles schwab challenge-T10_pga-rbc canadian open-CUT_pga-john deere classic-T46_pga-isco championship-T10_pga-corales puntacana championship-T20,0.3,0.23
"Im, Sungjae",17488,pga,pga,major-u.s. open-T43_pga-travelers championship-T30_pga-john deere classic-T71_pga-genesis scottish open-CUT_major-the open championship-T14,0.3,0.06
"Bezuidenhout, Christiaan",18103,pga,pga,pga-charles schwab challenge-T32_pga-rbc canadian open-T54_pga-john deere classic-T12_pga-isco championship-T21_pga-corales puntacana championship-T69,0.29,-0.34
"Mouw, William",29770,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-T20_major-u.s. open-T65_pga-john deere classic-T26_pga-isco championship-T10,0.29,0.01
"McCarthy, Denny",19870,pga,pga,pga-the memorial tournament presented by workday-T34_pga-rbc canadian open-T60_pga-travelers championship-T14_pga-john deere classic-CUT_pga-isco championship-T39,0.27,-0.12
"Mazzoli, Stefano",20844,euro,pga,euro-klm open-T48_euro-ds automobiles 83° open d’italia-T19_euro-bmw international open-T23_pga-isco championship-CUT_pga-corales puntacana championship-1,0.18,1.1
"Kim, Michael",17543,pga,pga,major-u.s. open-T43_pga-travelers championship-T30_pga-john deere classic-CUT_pga-genesis scottish open-CUT_major-the open championship-CUT,0.17,-0.25
"Woodland, Gary",12577,pga,pga,pga-charles schwab challenge-T6_pga-the memorial tournament presented by workday-T36_major-u.s. open-T7_pga-travelers championship-71_major-the open championship-CUT,0.15,-0.42
"Schmid, Matti",20722,pga,pga,pga-the cj cup byron nelson-CUT_pga-rbc canadian open-CUT_major-u.s. open-CUT_euro-bmw international open-T23_pga-genesis scottish open-T21,0.15,0.13
"Moore, Taylor",21944,pga,pga,pga-the cj cup byron nelson-T14_pga-charles schwab challenge-T60_pga-rbc canadian open-T40_pga-john deere classic-CUT_pga-genesis scottish open-CUT,0.1,0.21
"Svensson, Jesper",26850,pga,pga,pga-oneflight myrtle beach classic-CUT_pga-the cj cup byron nelson-T9_pga-rbc canadian open-T4_pga-genesis scottish open-T52_major-the open championship-78,0.09,0.36
"Yellamaraju, Sudarshan",29925,pga,pga,pga-the memorial tournament presented by workday-T40_pga-rbc canadian open-T8_major-u.s. open-CUT_pga-john deere classic-CUT_pga-genesis scottish open-T52,0.08,-0.2
"Greyserman, Max",23465,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-T43_pga-john deere classic-CUT_pga-genesis scottish open-T36_major-the open championship-CUT,0.06,-0.1
"Castillo, Ricky",27819,pga,pga,pga-truist championship-T60_major-pga championship-CUT_pga-charles schwab challenge-T42_pga-rbc canadian open-T45_pga-genesis scottish open-T44,0.04,-0.39
"Dou, Zecheng",16757,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-CUT_pga-john deere classic-T21_pga-isco championship-CUT_pga-corales puntacana championship-CUT,0.03,-0.04
"Snedeker, Brandt",8820,pga,pga,pga-charles schwab challenge-T28_pga-the memorial tournament presented by workday-T36_pga-travelers championship-T38_pga-genesis scottish open-CUT_pga-corales puntacana championship-T48,0.02,0.09
"Pendrith, Taylor",17780,pga,pga,pga-rbc canadian open-T29_pga-travelers championship-61_pga-john deere classic-CUT_pga-isco championship-2_pga-corales puntacana championship-CUT,0,-0.22
"Horschel, Billy",11276,pga,pga,pga-the memorial tournament presented by workday-CUT_pga-rbc canadian open-T15_major-u.s. open-CUT_pga-genesis scottish open-CUT_major-the open championship-CUT,-0.03,0.12
"Hodges, Lee",25157,pga,pga,pga-the cj cup byron nelson-CUT_pga-charles schwab challenge-T35_pga-rbc canadian open-CUT_pga-john deere classic-T3_pga-isco championship-CUT,-0.04,-0.03
"Vilips, Karl",24304,pga,pga,pga-the cj cup byron nelson-CUT_pga-charles schwab challenge-CUT_pga-rbc canadian open-CUT_pga-john deere classic-T39_pga-genesis scottish open-T30,-0.05,0.09
"Glover, Lucas",7399,pga,pga,pga-the memorial tournament presented by workday-T46_pga-rbc canadian open-CUT_pga-travelers championship-T66_pga-john deere classic-T3_pga-isco championship-T5,-0.06,0.06
"Putnam, Andrew",14704,pga,pga,pga-charles schwab challenge-T17_pga-rbc canadian open-CUT_major-u.s. open-T65_pga-john deere classic-T51_pga-genesis scottish open-T52,-0.06,-0.27
"Hoey, Rico",23504,pga,pga,pga-charles schwab challenge-T17_pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-T49_pga-corales puntacana championship-T67,-0.07,-0.31
"Hossler, Beau",15470,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-T45_pga-john deere classic-T39_pga-isco championship-T21_pga-corales puntacana championship-T42,-0.07,-0.09
"Ventura, Kristoffer",15651,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-CUT_pga-john deere classic-CUT_pga-isco championship-T5_pga-corales puntacana championship-T15,-0.09,-0.14
"Wise, Aaron",22051,pga,pga,pga-oneflight myrtle beach classic-CUT_pga-the cj cup byron nelson-CUT_pga-john deere classic-T39_pga-isco championship-T3_pga-corales puntacana championship-T15,-0.1,0.72
"Jaeger, Stephan",16394,pga,pga,pga-charles schwab challenge-WD_pga-rbc canadian open-CUT_pga-john deere classic-T15_pga-isco championship-T15_pga-corales puntacana championship-CUT,-0.11,-0.16
"Stevens, Sam",25569,pga,pga,pga-the memorial tournament presented by workday-CUT_major-u.s. open-T7_pga-travelers championship-T62_pga-genesis scottish open-CUT_major-the open championship-CUT,-0.11,-0.56
"Power, Seamus",10104,pga,pga,pga-the cj cup byron nelson-T19_pga-charles schwab challenge-T54_pga-rbc canadian open-CUT_pga-john deere classic-WD_pga-corales puntacana championship-T11,-0.12,-0.24
"Silverman, Ben",17381,pga,pga,pga-rbc canadian open-T54_major-u.s. open-CUT_pga-john deere classic-CUT_pga-isco championship-T3_pga-corales puntacana championship-CUT,-0.13,0.38
"Cowan, Ryder",35481,am,pga,am-2026 sec men's golf championship stroke play-T17_am-ncaa corvallis regional-4_am-ncaa di men's national championship stroke play-T28_major-u.s. open-T23_am-transmississippi amateur championship-T2,-0.13,0.67
"Thompson, Davis",27364,pga,pga,pga-charles schwab challenge-T35_pga-rbc canadian open-T45_major-u.s. open-CUT_pga-john deere classic-T26_pga-isco championship-CUT,-0.13,-0.44
"Garnett, Brice",11451,pga,pga,pga-charles schwab challenge-T22_pga-rbc canadian open-T4_pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT,-0.15,0.52
"Dahmen, Joel",14509,pga,pga,pga-charles schwab challenge-T42_pga-rbc canadian open-CUT_pga-john deere classic-T46_pga-isco championship-T30_pga-corales puntacana championship-T24,-0.19,-0.06
"Skinns, David",10873,pga,pga,pga-charles schwab challenge-CUT_pga-rbc canadian open-T20_pga-john deere classic-T33_pga-isco championship-CUT_pga-corales puntacana championship-T30,-0.2,0.2
"Stout, Preston",32089,pga,pga,pga-the cj cup byron nelson-CUT_am-ncaa di men's national championship stroke play-1_major-u.s. open-CUT_pga-john deere classic-T15_pga-isco championship-T49,-0.23,-0.17
