player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Scheffler, Scottie",4,16,16,0,2,2,4,0.700,11,-1.256,-0.127,0.725,1.377,2.967,1.351,0.463,15,-1.135,-0.217,0.588,1.110,1.987,1.095,0.716,13,-1.539,0.112,0.639,1.363,3.366,1.541,0.792,5,-0.772,0.356,0.816,1.429,1.786,0.818,1.508,3,-0.799,0.370,1.189,2.534,4.656,1.766,1.971,1,0.317,0.545,1.399,3.065,5.287,1.697,2.671,1,0.639,1.025,2.048,4.393,5.251,1.905,2.671,1,0.639,1.025,2.048,4.393,5.251,1.905,3.981,46,-9.892,-1.687,4.239,7.920,20.080,10.100,0.071,15,-0.092,0.016,0.095,0.130,0.187,0.097
"Koivun, Jackson",2,8,8,0,1,1,2,0.564,16,-2.770,0.278,1.344,1.859,2.136,2.036,0.383,19,-0.791,-0.090,0.437,0.894,1.448,0.842,0.745,12,-0.972,-0.192,1.033,1.580,2.162,1.242,0.500,20,-0.604,-0.173,0.545,1.032,1.699,0.897,1.246,7,-0.879,-0.807,1.973,2.430,3.218,1.796,1.629,6,-1.292,0.387,2.368,2.762,3.733,1.970,2.193,2,0.190,0.931,1.812,3.410,4.746,1.818,2.193,2,0.190,0.931,1.812,3.410,4.746,1.818,5.223,40,-18.446,3.886,10.378,11.484,18.695,14.487,0.098,5,-0.108,0.032,0.124,0.152,0.287,0.147
"Cowan, Ryder",1,4,4,0,0,0,1,0.144,53,-0.630,-0.524,-0.311,0.357,1.556,1.161,1.386,1,0.924,1.156,1.408,1.638,1.816,0.426,-0.388,91,-1.028,-0.883,-0.602,-0.106,0.552,0.789,0.438,23,-1.326,0.038,0.647,1.047,1.910,1.567,0.050,57,-2.185,-0.966,0.473,1.489,1.694,1.951,1.436,8,-0.416,0.439,1.532,2.529,3.153,1.721,1.580,3,-0.922,-0.174,1.132,2.886,4.709,2.736,1.580,3,-0.922,-0.174,1.132,2.886,4.709,2.736,2.667,54,-4.060,0.752,4.342,6.257,7.051,5.613,0.074,12,-0.061,0.005,0.044,0.113,0.250,0.152
"James, Ben",1,4,4,0,0,0,1,-0.169,84,-2.121,-1.536,-0.009,1.358,1.558,1.907,0.673,4,-0.536,0.353,1.043,1.362,1.365,1.001,0.964,7,-0.625,0.355,1.231,1.841,2.179,1.370,0.112,56,-0.554,-0.128,0.240,0.481,0.599,0.568,1.076,12,-0.542,0.575,1.117,1.619,2.637,1.518,1.749,3,-0.983,1.409,2.481,2.821,3.457,2.284,1.580,3,-2.422,-0.615,2.151,4.346,4.782,3.631,1.580,3,-2.422,-0.615,2.151,4.346,4.782,3.631,2.917,52,-3.552,-1.538,3.455,7.910,8.634,6.284,0.020,51,-0.080,-0.051,0.013,0.084,0.130,0.103
"Woodland, Gary",7,26,26,0,0,2,5,0.478,20,-1.772,-0.523,0.185,1.399,3.529,1.582,-0.062,83,-1.268,-0.578,-0.050,0.431,1.398,0.894,0.191,40,-2.513,-0.357,0.326,1.046,1.926,1.414,0.891,3,-1.110,0.404,1.043,1.785,2.097,1.095,1.082,10,-0.801,0.245,1.239,1.888,2.907,1.318,1.020,16,-1.322,-0.051,0.911,2.044,3.357,1.505,1.498,5,-1.242,0.168,1.217,2.773,4.910,2.055,1.498,5,-1.242,0.168,1.217,2.773,4.910,2.055,9.804,15,-9.966,5.115,11.429,21.380,26.736,16.559,0.026,44,-0.232,-0.073,0.072,0.121,0.174,0.143
"Matsuyama, Hideki",6,24,24,1,1,1,3,0.211,45,-2.425,-0.748,-0.100,1.389,2.944,1.652,0.480,13,-0.957,-0.083,0.543,1.092,1.998,0.950,0.694,14,-2.179,-0.269,1.133,1.664,2.755,1.548,-0.002,66,-1.479,-0.603,-0.130,0.784,1.334,1.005,0.692,22,-2.518,0.012,0.769,1.612,3.800,1.973,1.172,12,-2.344,0.161,1.465,2.347,4.498,2.185,1.383,6,-3.625,-0.390,2.065,3.217,5.463,2.836,1.383,6,-3.625,-0.390,2.065,3.217,5.463,2.836,-0.660,74,-13.923,-6.552,0.827,6.739,12.079,10.232,-0.003,77,-0.253,-0.084,0.014,0.089,0.194,0.154
"Kitayama, Kurt",5,18,18,1,1,1,2,-0.370,103,-3.159,-1.849,-0.402,1.146,2.175,1.891,0.284,29,-0.881,-0.037,0.266,0.796,1.209,0.676,0.988,6,-0.936,0.063,0.622,1.405,3.747,1.565,0.459,21,-0.670,-0.052,0.572,0.941,1.510,0.797,1.447,5,-0.991,0.461,1.074,2.382,4.578,1.763,1.732,4,-0.547,0.640,0.970,2.920,5.443,1.997,1.362,7,-2.129,-0.719,1.384,3.183,4.732,2.733,1.362,7,-2.129,-0.719,1.384,3.183,4.732,2.733,8.962,17,-4.186,3.561,9.657,14.495,22.357,8.914,-0.000,71,-0.276,-0.114,0.018,0.114,0.207,0.161
"Smith, Jordan",3,10,10,0,1,1,2,-0.356,100,-3.176,-0.961,-0.096,1.073,1.381,1.762,0.280,30,-0.829,0.055,0.497,0.681,0.995,0.660,0.348,29,-1.998,0.118,0.456,1.023,2.093,1.509,1.025,2,0.370,0.534,1.096,1.431,1.703,0.524,1.373,6,-1.542,1.167,1.885,2.359,2.869,1.682,1.653,5,-1.918,1.048,2.161,3.172,3.507,2.131,1.296,8,-4.125,-0.662,2.712,3.644,4.628,3.385,1.296,8,-4.125,-0.662,2.712,3.644,4.628,3.385,6.343,29,-3.234,0.761,5.924,12.524,14.751,7.061,0.083,8,-0.127,0.011,0.076,0.178,0.273,0.146
"McNealy, Maverick",4,14,14,0,0,1,1,0.533,18,-1.911,-0.461,0.779,1.501,2.455,1.562,0.526,8,-0.464,-0.156,0.549,0.959,1.784,0.863,0.121,49,-2.418,-0.647,0.425,1.188,1.845,1.468,0.104,57,-2.068,-0.299,0.431,0.717,1.530,1.157,0.225,45,-2.060,-1.598,0.311,1.656,2.841,1.849,0.751,24,-1.917,-1.007,0.487,2.568,3.718,2.154,1.284,9,-2.294,-1.021,1.145,2.681,5.739,2.777,1.284,9,-2.294,-1.021,1.145,2.681,5.739,2.777,5.796,34,-6.261,-0.206,4.491,8.981,21.983,10.709,-0.028,101,-0.172,-0.083,-0.040,0.012,0.143,0.106
"Meissner, Mac",7,24,23,0,2,2,4,0.320,34,-1.846,-0.695,0.387,1.396,2.912,1.613,0.309,25,-0.615,-0.063,0.363,0.783,1.406,0.848,0.451,21,-1.588,-0.380,0.231,1.584,2.726,1.343,0.144,50,-1.293,-0.320,0.378,0.602,1.221,0.797,0.595,25,-1.181,-0.582,0.520,1.832,2.859,1.446,0.904,21,-1.529,-0.182,0.820,2.381,3.287,1.815,1.212,10,-2.253,0.144,1.034,2.525,4.254,2.096,1.212,10,-2.253,0.144,1.034,2.525,4.254,2.096,1.561,60,-12.358,-4.251,1.150,6.175,16.963,9.170,-0.007,81,-0.157,-0.118,-0.004,0.100,0.145,0.109
"Nakajima, Keita",1,4,4,0,0,0,0,0.964,6,-1.044,0.397,1.129,1.696,2.741,1.812,-0.329,112,-1.900,-0.582,-0.018,0.234,0.806,1.346,0.058,54,-1.550,-0.273,0.535,0.866,0.997,1.325,0.367,32,-0.303,-0.190,0.096,0.653,1.418,0.874,0.425,35,-1.854,-0.463,0.740,1.628,2.261,1.988,0.095,51,-2.029,-1.208,0.100,1.403,2.213,2.055,1.059,11,-0.229,0.211,0.581,1.429,3.016,1.635,1.059,11,-0.229,0.211,0.581,1.429,3.016,1.635,3.855,47,-3.307,1.643,4.758,6.970,9.753,6.268,0.064,21,-0.075,-0.014,0.048,0.127,0.226,0.144
"Yellamaraju, Sudarshan",4,12,12,0,1,1,1,0.606,14,-2.053,0.023,0.753,1.623,2.718,1.568,0.222,36,-1.294,-0.097,0.008,0.536,1.857,1.069,-0.329,82,-2.994,-1.422,-0.594,1.018,2.612,1.996,0.558,16,-0.955,-0.331,1.033,1.428,1.694,1.065,0.230,43,-3.397,-1.613,0.576,1.716,3.659,2.468,0.451,32,-3.104,-0.756,0.122,2.170,3.679,2.377,1.058,12,-1.461,-0.024,0.398,1.038,5.806,2.437,1.058,12,-1.461,-0.024,0.398,1.038,5.806,2.437,10.983,10,-3.107,2.868,13.052,18.458,24.478,10.412,0.065,19,-0.063,0.004,0.056,0.119,0.197,0.094
"Conners, Corey",5,20,20,0,0,1,4,-0.285,91,-2.617,-0.996,0.287,0.494,1.215,1.283,0.053,56,-1.698,-0.556,0.070,0.539,2.485,1.215,1.052,4,-0.555,-0.067,1.030,1.828,3.464,1.425,0.177,46,-1.356,-0.386,0.551,0.903,1.458,1.185,1.229,8,-2.653,0.081,1.238,2.507,4.421,2.224,1.282,9,-2.638,-0.464,1.963,2.933,5.144,2.774,0.997,13,-5.757,-0.114,0.699,3.132,4.710,3.101,0.997,13,-5.757,-0.114,0.699,3.132,4.710,3.101,-0.907,75,-14.605,-6.679,-2.655,7.845,11.456,9.331,0.031,39,-0.171,-0.056,0.063,0.107,0.242,0.144
"Kim, Tom",5,17,17,0,1,1,2,0.209,46,-2.218,-0.893,0.178,1.327,2.031,1.532,0.242,33,-1.200,-0.531,0.564,0.853,1.569,0.925,0.647,16,-1.351,-0.853,0.581,1.745,2.584,1.493,-0.132,83,-1.395,-0.607,-0.009,0.332,1.035,0.896,0.514,30,-1.849,-0.332,0.364,1.751,2.689,1.664,0.756,22,-2.897,-0.184,1.217,1.856,3.573,2.116,0.965,14,-3.524,-0.903,1.595,2.657,4.756,2.708,0.965,14,-3.524,-0.903,1.595,2.657,4.756,2.708,-6.989,108,-30.064,-13.368,-4.894,2.549,9.256,13.743,0.014,59,-0.108,-0.039,-0.004,0.070,0.158,0.090
