position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Koivun, Jackson",AN,-25,18,-5,0.6799999999999999,289.85,0.7857149999999999,2.3049999999999997,0.84722,23.600864285714284,74.26006666666666,1.6075,-0.3375,0.9230776923076923,5.25,1.25,4.2575,2.6475,2.985
2,"Scheffler, Scottie",AN,-22,18,-8,0.8300000000000001,297.375,0.7142875,1.1225,0.7916675,25.359394117647057,27.092046153846155,1.4725,0.07999999999999995,0.8750000000000001,4.75,2.25,3.5075000000000003,2.035,1.955
T3,"Matsuyama, Hideki",AN,-20,18,-7,0.9650000000000001,294.6,0.80357,-0.895,0.7222225,22.93739818181818,121.73939,0.845,2.0925000000000002,0.7999992,4.5,3,3.0075000000000003,2.16,0.06999999999999999
T3,"Harman, Brian",AN,-20,18,-6,0.3125,290.575,0.6785749999999999,0.6100000000000001,0.7083325,25.051673214285714,42.80700833333333,0.8800000000000001,1.205,1,3.25,1,3.0075000000000003,2.1275,0.9199999999999999
T3,"Phillips, Chandler",AN,-20,18,-4,0.10000000000000002,287.875,0.6964275,0.7,0.7361125000000001,26.42856440677966,73.96487777777779,1.49,0.7125,0.8260873913043478,5.5,3.25,3.0075000000000003,1.5175,0.8024999999999999
T3,"McCarthy, Denny",AN,-20,18,-5,-0.4225,281.3,0.6964275,1.5225,0.7638875,28.554030188679246,44.85274166666667,1.8849999999999998,0.022499999999999992,0.6956547826086956,3,2,3.0075000000000003,1.125,1.1
T7,"Thompson, Davis",AN,-19,18,-5,1.225,298.1,0.69643,1.6525,0.8333325,23.324568421052632,54.50121818181818,0.06500000000000002,-0.18749999999999994,0.4666666666666667,4.75,2.5,2.7575000000000003,2.6925,2.8775
T7,"Grillo, Emiliano",AN,-19,18,-2,0.625,287.45,0.7678575,1.3399999999999999,0.84722,33.060324074074074,56.99500909090908,0.15500000000000003,0.6425,0.8666666666666667,3.5,2.5,2.7575,2.6025,1.9625
9,"Kohles, Ben",AN,-18,18,-1,0.42750000000000005,283.025,0.80357,2.1575,0.805555,24.31004406779661,85.998775,0.08250000000000002,-0.15999999999999998,0.722225,4.75,2.5,2.5075000000000003,2.4250000000000003,2.5875000000000004
T10,"Woodland, Gary",AN,-17,18,-6,0.775,298.2,0.80357,0.7750000000000001,0.791665,24.249529032258064,62.286899999999996,0.6725,0.03749999999999997,0.7619042857142857,4.5,2,2.2575000000000003,1.585,1.5474999999999999
