"POS","Player","TOT","R1","SG-Off The Tee","SG-Off The Tee (Rank)","SG-Approach to Green","SG-Approach to Green (Rank)","SG-Around the Green","SG-Around the Green (Rank)","SG-Putting","SG-Putting (Rank)","SG Total","SG Total (Rank)"
"1","Ben Kohles","-9","62","1.332","(17th)","5.373","(1st)","0.055","(63rd)","1.309","(27th)","8.069","(1st)"
"T2","Emiliano Grillo","-7","64","0.431","(56th)","3.032","(11th)","0.938","(24th)","1.668","(17th)","6.069","(T2)"
"T2","Jackson Koivun","-7","64","0.298","(65th)","2.757","(14th)","0.511","(37th)","2.503","(10th)","6.069","(T2)"
"T2","Gary Woodland","-7","64","1.291","(18th)","1.188","(41st)","1.391","(8th)","2.199","(12th)","6.069","(T2)"
"T5","Scottie Scheffler","-6","65","1.131","(25th)","1.493","(34th)","-0.949","(125th)","3.394","(2nd)","5.069","(T5)"
"T5","Lucas Glover","-6","65","0.376","(60th)","3.083","(8th)","0.484","(40th)","1.126","(37th)","5.069","(T5)"
"T5","Michael Brennan","-6","65","1.683","(6th)","3.914","(2nd)","-1.025","(129th)","0.497","(57th)","5.069","(T5)"
"T5","Kevin Roy","-6","65","1.623","(9th)","1.398","(37th)","0.489","(39th)","1.559","(19th)","5.069","(T5)"
"T5","Jesper Svensson","-6","65","2.068","(1st)","0.888","(46th)","2.169","(2nd)","-0.056","(73rd)","5.069","(T5)"
"T10","Chandler Phillips","-5","66","-0.811","(114th)","0.896","(45th)","1.778","(5th)","2.206","(11th)","4.069","(T10)"
"T10","Denny McCarthy","-5","66","-1.309","(124th)","3.065","(9th)","0.330","(51st)","1.983","(14th)","4.069","(T10)"
"T10","Troy Merritt","-5","66","-0.321","(93rd)","3.133","(6th)","0.408","(T42)","0.849","(44th)","4.069","(T10)"
"T10","Rasmus Neergaard-Petersen","-5","66","1.629","(7th)","-0.606","(86th)","1.658","(7th)","1.388","(24th)","4.069","(T10)"
"T14","Vince Whaley","-4","67","-0.441","(98th)","1.044","(43rd)","1.232","(11th)","1.234","(30th)","3.069","(T14)"
"T14","Rico Hoey","-4","67","1.035","(29th)","2.685","(15th)","0.607","(32nd)","-1.258","(115th)","3.069","(T14)"
"T14","Jeffrey Kang","-4","67","0.223","(70th)","-1.639","(119th)","1.159","(13th)","3.326","(3rd)","3.069","(T14)"
"T14","Marcelo Rozo","-4","67","0.362","(61st)","0.868","(47th)","-0.723","(118th)","2.562","(7th)","3.069","(T14)"
"T14","John VanDerLaan","-4","67","0.701","(48th)","0.417","(63rd)","0.374","(46th)","1.577","(18th)","3.069","(T14)"
"T14","Trace Crowe","-4","67","1.369","(14th)","-0.883","(100th)","-1.045","(130th)","3.628","(1st)","3.069","(T14)"
"T14","Zecheng Dou","-4","67","0.746","(45th)","-0.831","(98th)","1.684","(6th)","1.470","(22nd)","3.069","(T14)"
"T14","Chandler Blanchet","-4","67","0.799","(42nd)","2.176","(18th)","0.559","(36th)","-0.465","(86th)","3.069","(T14)"
"T14","Matti Schmid","-4","67","0.978","(33rd)","0.501","(59th)","0.604","(33rd)","0.986","(40th)","3.069","(T14)"
"T14","Billy Horschel","-4","67","0.807","(41st)","2.044","(19th)","-0.145","(76th)","0.363","(60th)","3.069","(T14)"
"T14","Kevin Streelman","-4","67","1.042","(28th)","2.763","(13th)","-0.430","(97th)","-0.306","(81st)","3.069","(T14)"
"T14","Keita Nakajima","-4","67","0.867","(37th)","3.602","(3rd)","0.042","(65th)","-1.442","(118th)","3.069","(T14)"
"T26","Lee Hodges","-3","68","0.653","(50th)","0.513","(58th)","-0.180","(79th)","1.083","(39th)","2.069","(T26)"
"T26","Jake Knapp","-3","68","1.077","(26th)","1.151","(42nd)","0.040","(66th)","-0.199","(78th)","2.069","(T26)"
"T26","Keith Mitchell","-3","68","0.756","(44th)","3.110","(7th)","-0.715","(117th)","-1.082","(111th)","2.069","(T26)"
"T26","Tom Hoge","-3","68","1.624","(8th)","1.902","(21st)","-0.700","(115th)","-0.757","(96th)","2.069","(T26)"
"T26","Sam Stevens","-3","68","-0.261","(91st)","0.143","(69th)","-0.324","(87th)","2.511","(9th)","2.069","(T26)"
