event_name,course_name,player_name,dg_id,player_num,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
3M Open,TPC Twin Cities,"Bauchou, Zach",19846,48001,8:35 AM,early,10,1:50 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Bezuidenhout, Christiaan",18103,45522,12:22 PM,late,10,7:07 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Blair, Zac",17639,40058,12:22 PM,late,1,7:07 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Blanchet, Chandler",24956,54788,8:46 AM,early,10,2:01 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Brehm, Ryan",10423,28420,7:07 AM,early,1,12:22 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Brennan, Michael",29197,61522,7:51 AM,early,1,1:06 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Campbell, Brian",18628,46443,12:33 PM,late,10,7:18 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Campbell, Thomas",18359,46238,1:39 PM,late,10,8:24 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Campos, Rafael",12909,32070,6:56 AM,early,1,12:11 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Castillo, Ricky",27819,59440,12:33 PM,late,10,7:18 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Champ, Cameron",23542,52372,12:11 PM,late,10,6:56 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Chatfield, Davis",30620,59006,1:50 PM,late,10,8:35 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Clanton, Luke",32330,66743,1:28 PM,late,1,8:13 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Conners, Corey",17576,39997,7:18 AM,early,10,12:33 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Coody, Pierceson",28309,59836,12:11 PM,late,1,6:56 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Cowan, Ryder",35481,70695,8:35 AM,early,10,1:50 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Crowe, Trace",27780,52514,8:46 AM,early,1,2:01 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Dahmen, Joel",14509,34076,1:06 PM,late,10,7:51 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Davis, Cam",17786,45157,7:40 AM,early,1,12:55 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Donohue, Muzzy",33994,67287,2:01 PM,late,1,8:46 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Dou, Zecheng",16757,37338,8:46 AM,early,10,2:01 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Dumont De Chassart, Adrien",22002,50497,8:24 AM,early,10,1:39 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Duncan, Tyler",18187,45609,6:56 AM,early,1,12:11 PM,late,10,null,null,null,null,null,null,2
