position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Kim, Michael",AN,-14,18,-12,0.425,287.25,0.6785749999999999,1.705,0.75,24.2566,39.50111428571428,3.275,0.5700000000000001,0.8999980000000001,4.5,2,5.98,2.705,2.13
T2,"Kohles, Ben",AN,-11,18,-2,0.56,279.4,0.7857149999999999,3.25,0.805555,23.583242857142857,52.2363,1.35,-0.6799999999999999,0.7000029999999999,4.5,2,4.48,3.1300000000000003,3.81
T2,"Grillo, Emiliano",AN,-11,18,-4,0.23500000000000001,285.1,0.67857,1.15,0.805555,39.28705925925926,55.72545,1.93,1.17,1,3.5,2,4.48,2.5500000000000003,1.385
T2,"Phillips, Chandler",AN,-11,18,-6,-0.33999999999999997,282.75,0.642855,0.39499999999999996,0.6666700000000001,28.034489285714287,79.3786625,2.9050000000000002,1.51,0.9230776923076923,8.5,4,4.48,1.57,0.05499999999999999
T5,"Koivun, Jackson",AN,-10,18,-3,0.46499999999999997,288.65,0.75,2.085,0.805555,24.183762068965517,113.21656,1.595,-0.16499999999999998,0.8571442857142857,4,1.5,3.98,2.385,2.55
T5,"Merritt, Troy",AN,-10,18,-5,0.095,289.35,0.7142850000000001,3,0.805555,24.377125,46.539333333333325,0.41,0.475,0.875,3,3,3.9800000000000004,3.5700000000000003,3.1
T7,"Blair, Zac",AN,-9,18,-6,-0.255,278.65,0.7857149999999999,1.42,0.722225,27.531100000000002,62.292224999999995,2.23,0.08500000000000002,0.799998,4,2,3.4799999999999995,1.245,1.16
T7,"Horschel, Billy",AN,-9,18,-5,1.13,289.79999999999995,0.7857149999999999,1.475,0.75,28.907455555555554,30.58834,0.885,-0.015,0.9166675,5.5,2,3.48,2.595,2.605
T7,"Harman, Brian",AN,-9,18,-7,0.52,285.4,0.64286,1.04,0.7222200000000001,25.40439655172414,40.9829,0.5900000000000001,1.325,1,2.5,0.5,3.48,2.8850000000000002,1.56
T10,"Svensson, Jesper",AN,-8,18,-2,1.065,301.95,0.67857,0.385,0.722225,31.80847777777778,62.106899999999996,0.88,0.6449999999999999,0.5714299999999999,7.5,4,2.98,2.1,1.45
T10,"Brennan, Michael",AN,-8,18,-2,0.37499999999999994,303.65517241379314,0.57143,2.855,0.75,23.942454166666664,38.60291111111111,0.475,-0.725,0.6923076923076923,5.5,3,2.98,2.505,3.23
T10,"McCarthy, Denny",AN,-8,18,-3,-0.665,280.6,0.607145,1.9000000000000001,0.6666650000000001,31.285895652173913,44.52759999999999,1.0499999999999998,0.695,0.71429,3.5,2.5,2.98,1.9300000000000002,1.235
T13,"Bezuidenhout, Christiaan",AN,-7,18,-4,0.5499999999999999,284.7,0.6785749999999999,1.365,0.8333349999999999,28.274241379310347,24.554520000000004,0.7350000000000001,-0.16999999999999998,0.75000125,3,1.5,2.48,1.745,1.915
T13,"Yu, Kevin",AN,-7,18,-5,-0.19499999999999998,288.65,0.607145,0.62,0.6666650000000001,28.2399,53.8831,1.33,0.72,0.8333333333333333,1.5,1,2.48,1.15,0.42499999999999993
