position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Kim, Michael",AN,-14,18,-12,0.01,282.6,0.64286,4.25,0.77778,18.4337,27.4883,6.56,0.07,1,9,0,10.89,4.33,4.26
T2,"Kohles, Ben",AN,-11,18,-2,-0.18,275,0.71429,1.09,0.66667,25.1717,52.9806,1.36,-1.38,0.66667,4,3,0.89,-0.47,0.91
T2,"Grillo, Emiliano",AN,-11,18,-4,-0.04,279.8,0.5,-0.73,0.72222,54.2612,61.1151,2.19,1.47,1,3,2,2.89,0.7,-0.77
T2,"Phillips, Chandler",AN,-11,18,-6,0.07,280,0.78571,-0.65,0.55556,34.5025,111.6939,3.62,1.84,0.88889,7,4,4.89,1.27,-0.58
T5,"Koivun, Jackson",AN,-10,18,-3,-0.03,285.2,0.78571,2.14,0.83333,23.2979,42.2892,0.67,-0.89,0.66667,4,3,1.89,1.22,2.11
T5,"Merritt, Troy",AN,-10,18,-5,0.53,285.6,0.85714,2.87,0.88889,25.1204,22.7444,-0.03,0.52,1,4,3,3.89,3.92,3.41
T7,"Blair, Zac",AN,-9,18,-6,-0.34,278.1,0.64286,1.18,0.66667,24.2143,69.1734,3.26,0.79,0.83333,7,3,4.89,1.62,0.83
T7,"Horschel, Billy",AN,-9,18,-5,1.46,288.2,0.92857,0.93,0.88889,29.2819,45.6382,1.4,0.09,1,6,2,3.89,2.49,2.39
T7,"Harman, Brian",AN,-9,18,-7,0.62,289.8,0.64286,2.23,0.83333,29.834,21.5077,0.68,2.36,1,3,0,5.89,5.2,2.85
T10,"Svensson, Jesper",AN,-8,18,-2,0.11,300,0.57143,-0.1,0.66667,27.8142,52.7242,1.85,-0.97,0.5,9,7,0.89,-0.96,0.01
T10,"Brennan, Michael",AN,-8,18,-2,-0.88,305.2,0.5,1.74,0.66667,28.4157,48.8382,0.48,-0.45,0.75,4,4,0.89,0.41,0.86
T10,"McCarthy, Denny",AN,-8,18,-3,-0.08,281.9,0.71429,0.45,0.72222,31.211,58.8496,0.09,1.43,0.71429,1,2,1.89,1.8,0.37
T13,"Bezuidenhout, Christiaan",AN,-7,18,-4,0.15,283.4,0.64286,2.69,0.88889,24.101,27.8682,0.4,-0.35,0.66667,3,2,2.89,2.49,2.84
T13,"Yu, Kevin",AN,-7,18,-5,-0.41,286.3,0.64286,1.56,0.61111,29.9374,42.6294,2.31,0.42,0.75,2,1,3.89,1.58,1.15
T13,"Woodland, Gary",AN,-7,18,0,-0.18,297.2,0.85714,0.78,0.72222,21.2209,23.3962,-0.12,-1.59,0.4,3,5,-1.11,-1,0.6
T13,"Streelman, Kevin",AN,-7,18,-3,0.15,282,0.64286,0.43,0.77778,33.7943,38.9981,0.89,0.41,1,5,2,1.89,1,0.59
T13,"Smotherman, Austin",AN,-7,18,-4,-2.13,284,0.71429,4.59,0.83333,21.7204,48.0828,0.86,-0.42,0.5,6,5,2.89,2.03,2.45
T13,"Hodges, Lee",AN,-7,18,-4,0.36,279.6,0.71429,1.6,0.88889,26.3342,41.0051,1.28,-0.35,0.66667,4,1,2.89,1.61,1.96
T13,"Scheffler, Scottie",AN,-7,18,-1,1.43,295.8,0.78571,-1.03,0.66667,25.8641,29.653,0.54,-1.04,0.77778,2,3,-0.11,-0.65,0.4
T13,"Matsuyama, Hideki",AN,-7,18,-6,1.57,294,0.85714,1.33,0.77778,19.7321,165.3519,-0.05,2.04,0.8,5,2,4.89,4.93,2.9
T13,"Glover, Lucas",AN,-7,18,-1,-0.15,286.4,0.64286,1.02,0.61111,29.3518,51.2609,-1.2,0.21,0.77778,1,3,-0.11,1.08,0.88
T13,"Roy, Kevin",AN,-7,18,-1,1.28,293.4,0.71429,-0.41,0.61111,28.222,111.998,-0.44,-0.54,0.66667,2,2,-0.11,0.33,0.87
T13,"Blanchet, Chandler",AN,-7,18,-3,1.35,284.4,0.85714,0.59,0.94444,31.8035,24.1687,1.01,-1.07,0,5,1,1.89,0.88,1.95
T24,"Eckroat, Austin",AN,-6,18,-4,-0.13,286.3,0.71429,1.96,0.66667,26.6172,35.9581,1.14,-0.08,0.85714,2,2,2.89,1.75,1.83
T24,"Thompson, Davis",AN,-6,18,-3,0.52,290.8,0.57143,2.99,0.83333,18.7728,53.2145,-1.03,-0.6,0.33333,5,2,1.89,2.92,3.51
T24,"Power, Seamus",AN,-6,18,-3,-0.56,287,0.64286,1.82,0.66667,22.2251,47.7608,-0.77,1.39,0.66667,3,2,1.89,2.66,1.26
T24,"Li, Haotong",AN,-6,18,-3,0.26,295.4,0.64286,3,0.77778,22.1656,78.3011,-0.91,-0.47,0.57143,4,3,1.89,2.8,3.26
T24,"Donohue, Muzzy",AN,-6,18,-8,1.39,286.9,0.85714,1.62,0.77778,32.4556,32.4911,1.85,2.03,0.83333,8,1,6.89,5.04,3.01
T24,"Whaley, Vince",AN,-6,18,-2,-0.12,288,0.5,-0.04,0.66667,31.5411,64.0175,1.39,-0.34,0.5,5,4,0.89,-0.5,-0.16
T24,"Dou, Zecheng",AN,-6,18,-2,1.16,293.3,0.71429,-1.24,0.77778,32.1934,49.1085,0.45,0.52,0.83333,2,1,0.89,0.44,-0.08
T31,"Stevens, Sam",AN,-5,18,-2,1.2,288.9,0.71429,1.1,0.72222,29.6341,38.6414,0.28,-1.69,0.42857,5,3,0.89,0.61,2.3
T31,"Kitayama, Kurt",AN,-5,18,-2,1.09,294,0.71429,-0.04,0.61111,31.306,38.8877,-0.44,0.27,0.875,1,1,0.89,1.33,1.06
T31,"McNealy, Maverick",AN,-5,18,-5,0.79,291.1,0.71429,1.93,0.88889,23.975,20.6294,1.58,-0.41,0.5,7,3,3.89,2.31,2.72
T31,"Kim, Tom",AN,-5,18,-2,0.96,285.1,0.78571,2.24,0.72222,23.4876,95.4203,-2.23,-0.08,0.66667,1,3,0.89,3.12,3.2
T31,"Jarvis, Casey",AN,-5,18,-5,1.33,293.5,0.64286,2.58,0.72222,25.9184,33.2614,-0.45,0.43,1,4,1,3.89,4.34,3.91
T31,"Nyholm, Pontus",AN,-5,18,-2,-0.86,299.1,0.57143,1.3,0.66667,20.2518,72.6772,0.83,-0.38,0.71429,3,4,0.89,0.06,0.44
T31,"Chatfield, Davis",AN,-5,18,-3,0.34,270.7,0.92857,0.88,0.77778,25.6063,93.788,0.08,0.59,0.6,5,4,1.89,1.81,1.22
T31,"Mitchell, Keith",AN,-5,18,-2,1.96,310.6,0.78571,-1.07,0.66667,30.408,44.4104,0.7,-0.71,0.7,5,4,0.89,0.18,0.89
T31,"Hossler, Beau",AN,-5,18,-3,-1.3,275.2,0.57143,3.48,0.77778,21.7646,58.4842,0.24,-0.52,0.5,6,3,1.89,1.65,2.18
T31,"Kang, Jeffrey",AN,-5,18,-1,-0.97,283.7,0.5,2.52,0.77778,22.439,52.9838,-1.78,0.12,1,1,3,-0.11,1.67,1.55
T41,"Lebioda, Hank",AN,-4,18,-2,-0.85,288.6,0.5,0.4,0.61111,22.0336,40.9002,0.33,1.02,0.875,2,1,0.89,0.56,-0.46
T41,"Griffin, Lanto",AN,-4,18,-3,-0.57,273,0.64286,1.5,0.72222,26.5907,41.4851,-1.22,2.17,1,3,0,1.89,3.11,0.94
T41,"Gordon, Will",AN,-4,18,-1,-0.34,282,0.71429,1.59,0.77778,22.9219,110.019,-0.72,-0.65,0.66667,1,4,-0.11,0.61,1.26
T41,"Gomez, Fabian",AN,-4,18,-4,0.12,282.2,0.71429,2.08,0.72222,20.9509,75.5066,-0.97,1.65,0.8,5,1,2.89,3.85,2.2
T41,"Neergaard-Petersen, Rasmus",AN,-4,18,1,0.64,291.7,0.64286,-1.32,0.5,30.1746,89.3115,-2.79,1.37,0.7,4,3,-2.11,0.68,-0.69
T41,"Parry, John",AN,-4,18,-2,0.32,290.5,0.71429,0.22,0.66667,26.5263,55.3207,-0.57,0.93,0.75,3,4,0.89,1.46,0.53
T41,"Ventura, Kristoffer",AN,-4,18,-5,1.3,299,0.78571,3.04,0.88889,23.2866,35.5203,0.27,-0.72,0.5,4,3,3.89,3.62,4.34
T41,"Hughes, Mackenzie",AN,-4,18,-4,0.47,293.2,0.57143,-0.26,0.83333,20.4723,71.6142,2.18,0.49,0.66667,3,2,2.89,0.7,0.21
T41,"Knapp, Jake",AN,-4,18,-1,1.03,304.1,0.78571,1.25,0.66667,31.4219,32.0865,-0.2,-2.19,0.28571,5,6,-0.11,0.09,2.28
T41,"Villegas, Camilo",AN,-4,18,-2,-0.65,282.7,0.64286,-0.52,0.5,28.5217,55.6661,0.85,1.21,0.75,8,4,0.89,0.04,-1.17
T41,"Fishburn, Patrick",AN,-4,18,-3,0.59,294.7,0.78571,0.22,0.72222,30.3386,18.0464,1.48,-0.41,0.83333,5,3,1.89,0.41,0.81
T41,"Ewart, A.J.",AN,-4,18,-2,-0.71,286.9,0.64286,-0.97,0.66667,40.9598,60.1697,2.89,-0.31,0.85714,3,3,0.89,-2,-1.68
T41,"VanDerLaan, John",AN,-4,18,0,-0.88,289.2,0.57143,-0.02,0.72222,40.6024,61.2328,-1.77,1.56,0.75,3,2,-1.11,0.66,-0.9
T54,"Schmid, Matti",AN,-3,18,1,-0.74,287.6,0.42857,2.78,0.88889,22.2261,36.2081,-4.38,0.22,0.25,3,5,-2.11,2.27,2.04
T54,"Castillo, Ricky",AN,-3,18,-3,-1.06,300.5,0.35714,0.02,0.61111,21.4376,41.2081,-0.41,3.34,0.77778,5,2,1.89,2.3,-1.05
T54,"Dahmen, Joel",AN,-3,18,-2,-1.03,278.9,0.78571,2.52,0.72222,23.1468,10.6565,-0.45,-0.15,0.75,3,3,0.89,1.34,1.49
T54,"Stanger, Jimmy",AN,-3,18,-1,-0.06,296,0.64286,-1.5,0.72222,39.8219,23.807,1.09,0.36,0.83333,2,5,-0.11,-1.2,-1.56
T54,"Shipley, Neal",AN,-3,18,-2,0.63,292.8,0.57143,3.01,0.72222,21.6743,26.8001,-1.89,-0.86,0.66667,4,3,0.89,2.78,3.64
T54,"Greyserman, Max",AN,-3,18,-1,0.73,301.6,0.5,-0.46,0.44444,33.846,49.3493,-0.35,-0.03,0.61538,1,2,-0.11,0.23,0.27
T54,"Smith, Jordan",AN,-3,18,-3,1.5,301,0.71429,1.6,0.77778,20.7643,90.512,-0.77,-0.45,0.2,4,2,1.89,2.66,3.11
T54,"Hoey, Rico",AN,-3,18,1,-0.32,291.4,0.64286,-4.66,0.61111,37.1159,86.02,1.5,1.37,0.75,3,4,-2.11,-3.61,-4.98
T54,"Hubbard, Mark",AN,-3,18,-2,0.69,289,0.57143,-0.02,0.5,26.5948,89.3927,0.42,-0.2,0.72727,1,3,0.89,0.47,0.68
T54,"Conners, Corey",AN,-3,18,-2,2.24,297.4,0.92857,-0.28,0.66667,28.0923,30.4803,-1.28,0.22,0.71429,3,2,0.89,2.17,1.96
T54,"Kirk, Chris",AN,-3,18,-2,1.18,285.1,0.85714,0.36,0.83333,41.1693,42.6953,-0.18,-0.48,0.33333,4,3,0.89,1.07,1.54
T54,"Bauchou, Zach",AN,-3,18,-2,1.54,292.7,0.92857,-0.15,0.72222,27.5175,68.0495,-0.36,-0.14,0.66667,1,3,0.89,1.25,1.39
T54,"Crowe, Trace",AN,-3,18,1,-0.69,295.8,0.5,0.48,0.72222,23.3588,61.9015,-0.69,-1.2,0.42857,1,4,-2.11,-1.42,-0.22
T67,"Silverman, Ben",AN,-2,18,0,0.46,285.6,0.71429,-0.28,0.61111,45.2105,24.5007,-1.11,-0.19,0.7,2,1,-1.11,0,0.18
T67,"Campbell, Brian",AN,-2,18,0,-0.76,275.6,0.78571,-1.73,0.55556,29.8346,79.8811,-0.23,1.62,0.71429,3,2,-1.11,-0.88,-2.49
