"HOLE","YARDS","AVG","RANK","+/-","EAGLES","BIRDIES","PARS","BOGEYS","DBL+"
"1","416","3.850","14","-0.150","0","66","199","21","1"
"2","468","4.101","4","+0.101","0","59","166","43","19"
"3","501","4.084","7","+0.084","0","37","190","59","1"
"4","177","2.983","10","-0.017","0","47","202","34","4"
"5","424","3.808","15","-0.192","0","76","192","17","2"
"6","594","4.617","17","-0.383","3","123","146","11","4"
"7","381","3.990","9","-0.010","0","61","178","40","8"
"8","204","2.930","11","-0.070","0","44","219","24","0"
"9","502","4.230","1","+0.230","0","29","178","66","14"
"10","379","3.889","12","-0.111","0","62","200","20","5"
"11","467","4.108","3","+0.108","0","30","201","51","5"
"12","593","4.495","18","-0.505","5","148","122","11","1"
"13","228","3.171","2","+0.171","0","24","201","51","11"
"14","437","4.087","6","+0.087","0","38","200","37","12"
"15","451","3.868","13","-0.132","0","75","178","32","2"
"16","411","3.997","8","-0.003","0","48","198","36","5"
"17","202","3.094","5","+0.094","0","32","208","36","11"
"18","596","4.686","16","-0.314","18","114","112","27","16"
