position,player_name,course,score,thru,today (r3),sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Koivun, Jackson",AN,-25,18,-10,0.56,291.4,0.71429,3.75,0.94444,21.7781,29.0867,2.33,-0.2,1,9,1,6.44,4.1,4.31
2,"Scheffler, Scottie",AN,-22,18,-7,-0.25,299.4,0.71429,1.35,0.77778,24.0486,24.5634,0.05,2.3,0.85714,5,3,3.44,3.39,1.09
T3,"Matsuyama, Hideki",AN,-20,18,-6,1.14,296.3,0.85714,-1,0.72222,19.4435,57.3788,-0.5,2.8,0.85714,6,2,2.44,2.93,0.14
T3,"Harman, Brian",AN,-20,18,-5,0.03,298.1,0.71429,-1.32,0.61111,21.2557,61.4936,1.56,1.18,1,4,2,1.44,-0.12,-1.3
T3,"Phillips, Chandler",AN,-20,18,-5,0.88,290.4,0.78571,1.05,0.83333,24.3661,null,-0.73,0.23,1,2,2,1.44,2.17,1.93
T3,"McCarthy, Denny",AN,-20,18,-7,0.12,280.8,0.78571,0.08,0.83333,23.6792,55.8763,3.96,-0.72,0.6,3,1,3.44,-0.52,0.2
T7,"Thompson, Davis",AN,-19,18,-8,1.51,301.4,0.92857,1.42,0.88889,26.0159,25.6822,1.87,-0.37,0.25,4,2,4.44,2.57,2.93
T7,"Grillo, Emiliano",AN,-19,18,-6,1.56,290.1,1,2.53,0.94444,19.8827,null,-1.53,-0.12,1,3,2,2.44,3.97,4.09
9,"Kohles, Ben",AN,-18,18,-6,0.78,286.6,0.85714,2.47,0.83333,18.4103,277.3621,-1.09,0.28,1,7,3,2.44,3.53,3.25
T10,"Woodland, Gary",AN,-17,18,-4,1.34,295.7,0.85714,-1.52,0.77778,27.2639,58.9243,0.65,-0.03,0.83333,3,2,0.44,-0.21,-0.18
T10,"Power, Seamus",AN,-17,18,-8,0.08,292.1,0.71429,0.46,0.83333,22.3745,31.6311,4.04,-0.14,1,5,3,4.44,0.4,0.54
T10,"Kim, Michael",AN,-17,18,-1,0.5,292,0.78571,0.13,0.83333,22.0703,26.3386,-2.69,-0.5,0.6,1,2,-2.56,0.13,0.64
T13,"Knapp, Jake",AN,-16,18,-3,-0.25,301.1,0.42857,1.05,0.88889,34.9239,34.8627,-0.43,-0.93,0.4,2,4,-0.56,-0.13,0.8
T13,"Blair, Zac",AN,-16,18,-3,0.25,282.6,0.78571,-1.08,0.66667,32.1533,null,0.78,-0.51,0.71429,4,3,-0.56,-1.34,-0.83
T13,"Horschel, Billy",AN,-16,18,-6,0.81,295.6,0.78571,2.15,0.88889,20.6316,27.555,-0.89,0.36,1,4,1,2.44,3.33,2.96
T16,"Fishburn, Patrick",AN,-15,18,-5,-0.12,292.3,0.64286,1.7,0.77778,16.9383,100.7597,-0.82,0.67,0.8,4,3,1.44,2.26,1.59
T16,"Dou, Zecheng",AN,-15,18,-4,0.12,292.6,0.5,-2.61,0.72222,30.8664,37.5491,2.73,0.19,1,5,3,0.44,-2.29,-2.49
T16,"Chatfield, Davis",AN,-15,18,-7,-0.23,272.8,0.92857,0.47,0.83333,20.5917,93.5808,2.45,0.75,0.75,7,2,3.44,0.99,0.24
T16,"Yu, Kevin",AN,-15,18,-5,0.26,292.9,0.71429,-0.34,0.77778,30.5402,33.7213,-0.48,2,1,2,1,1.44,1.92,-0.08
T20,"Bezuidenhout, Christiaan",AN,-14,18,-2,-1.5,282.3,0.5,-1.01,0.61111,25.2344,63.6622,0.37,0.59,0.71429,5,3,-1.56,-1.93,-2.52
T20,"Kim, Tom",AN,-14,18,-4,-1.13,285.1,0.57143,1.48,0.72222,21.3007,54.9897,0.16,-0.08,0.66667,2,3,0.44,0.28,0.36
T20,"Neergaard-Petersen, Rasmus",AN,-14,18,-5,1.62,295.1,0.78571,0.13,0.88889,29.9633,29.1683,0.2,-0.52,0.33333,7,3,1.44,1.24,1.76
T20,"Hodges, Lee",AN,-14,18,-6,0.22,291.3,0.85714,2.22,1,17.4308,56.913,0.08,-0.08,0.5,3,2,2.44,2.36,2.44
T24,"Parry, John",AN,-13,18,-2,-1.76,297.5,0.64286,2.02,0.72222,22.0743,36.265,-1.04,-0.79,0.66667,4,7,-1.56,-0.52,0.26
T24,"Streelman, Kevin",AN,-13,18,-2,-0.36,284.9,0.64286,-0.98,0.61111,22.8837,47.9402,-1.05,0.83,0.875,1,3,-1.56,-0.51,-1.34
T24,"Smotherman, Austin",AN,-13,18,-3,0.23,288.2,0.64286,0.53,0.83333,20.471,57.2057,-0.35,-0.97,0.4,2,1,-0.56,-0.21,0.76
T24,"Kitayama, Kurt",AN,-13,18,-5,1.38,299.1,0.78571,0.2,0.83333,23.3033,148.9815,-0.3,0.16,0.83333,1,3,1.44,1.74,1.58
T24,"Lebioda, Hank",AN,-13,18,-6,-0.04,290.5,0.71429,2.49,0.83333,17.8435,17.4463,0.33,-0.35,0.8,5,3,2.44,2.1,2.45
T24,"Blanchet, Chandler",AN,-13,18,-4,0.74,291.5,0.78571,-0.53,0.88889,22.6938,57.79,0.8,-0.57,0.66667,2,3,0.44,-0.36,0.21
T24,"Brennan, Michael",AN,-13,18,-8,0.88,302.6,0.85714,2.03,0.88889,18.2074,43.0009,1.83,-0.3,1,6,2,4.44,2.61,2.91
T31,"Greyserman, Max",AN,-12,18,-2,-1.37,296.5,0.5,-1.88,0.55556,29.0397,37.8336,2.28,-0.59,0.63636,5,3,-1.56,-3.84,-3.25
T31,"Roy, Kevin",AN,-12,18,-3,1.03,292.3,0.85714,-1.78,0.77778,31.8856,44.5857,-0.36,0.55,0.83333,2,1,-0.56,-0.2,-0.75
T31,"Kirk, Chris",AN,-12,18,-7,-1.52,283.9,0.57143,2.32,0.83333,21.3637,38.4106,1.73,0.91,0.75,3,4,3.44,1.71,0.81
T34,"McNealy, Maverick",AN,-11,18,1,-2.77,297.3,0.57143,-1.51,0.72222,27.8209,17.9419,0.68,-0.96,0.5,3,7,-4.56,-5.24,-4.28
T34,"Donohue, Muzzy",AN,-11,18,2,-1.01,297.4,0.57143,-2.4,0.61111,29.4603,65.6957,-1.44,-0.72,0.3,3,7,-5.56,-4.12,-3.4
T34,"Dahmen, Joel",AN,-11,18,-5,1.56,293.3,1,1.04,0.77778,24.4165,37.5547,-0.44,-0.72,0.8,3,1,1.44,1.88,2.6
T34,"Whaley, Vince",AN,-11,18,-3,-1.49,291.4,0.35714,-0.11,0.72222,38.8905,24.7114,-0.15,1.19,0.71429,4,4,-0.56,-0.41,-1.6
T34,"Hubbard, Mark",AN,-11,18,-6,-0.25,291.7,0.85714,0.02,0.72222,22.6118,38.0358,1.4,1.26,1,4,3,2.44,1.04,-0.22
T39,"Nyholm, Pontus",AN,-10,18,0,0.61,306.2,0.64286,-2.55,0.55556,28.7039,67.687,-1.62,0,0.6,1,6,-3.56,-1.94,-1.94
T39,"Smith, Jordan",AN,-10,18,-4,1.7,297.2,0.92857,-0.09,0.83333,24.6156,162.4961,-1.04,-0.13,0,5,2,0.44,1.48,1.61
T39,"Conners, Corey",AN,-10,18,-5,0.56,296.9,0.71429,-2.1,0.61111,27.5697,51.0614,2.92,0.06,0.77778,4,2,1.44,-1.48,-1.54
T39,"VanDerLaan, John",AN,-10,18,-5,0.52,290.1,0.71429,0.75,0.88889,19.8335,56.5116,-0.37,0.54,0.4,5,2,1.44,1.81,1.27
T39,"Merritt, Troy",AN,-10,18,-2,-2.11,281,0.42857,-1.07,0.5,42.0878,43.6124,1.98,-0.37,0.81818,5,5,-1.56,-3.54,-3.17
T44,"Schmid, Matti",AN,-9,18,-2,0.13,293,0.78571,-0.86,0.72222,25.8924,65.7316,-0.69,-0.13,0.75,2,5,-1.56,-0.87,-0.73
T44,"Hughes, Mackenzie",AN,-9,18,-3,0.8,297.7,0.71429,-1.06,0.72222,28.9372,14.319,-1.22,0.91,0.85714,4,3,-0.56,0.66,-0.26
T44,"Shipley, Neal",AN,-9,18,-5,1.77,297.1,0.92857,1.76,0.83333,19.4777,39.1549,-1.72,-0.37,0.8,4,3,1.44,3.16,3.53
T44,"Bauchou, Zach",AN,-9,18,-5,-0.27,293.9,0.57143,-0.21,0.72222,24.9949,51.6413,2.23,-0.31,0.66667,3,2,1.44,-0.79,-0.48
T44,"Svensson, Jesper",AN,-9,18,-1,-0.28,309,0.85714,-2.07,0.72222,33.2174,36.1431,-0.27,0.06,0.66667,3,5,-2.56,-2.29,-2.35
T44,"Mitchell, Keith",AN,-9,18,-4,1.62,310.3,0.71429,2.46,0.83333,18.1167,9.813,-3.19,-0.46,0.5,4,4,0.44,3.63,4.08
T44,"Castillo, Ricky",AN,-9,18,-6,1.42,301.7,0.78571,-1.02,0.77778,30.3066,24.6168,2.9,-0.86,0.8,6,2,2.44,-0.46,0.4
T51,"Villegas, Camilo",AN,-8,18,-2,-1.56,283.7,0.5,-0.95,0.61111,22.7569,58.9153,0.85,0.1,0.57143,3,3,-1.56,-2.41,-2.51
T51,"Stanger, Jimmy",AN,-8,18,-4,0.3,293.2,0.71429,-1.95,0.83333,32.5973,24.0858,2.32,-0.24,0.75,4,2,0.44,-1.88,-1.65
T51,"Ventura, Kristoffer",AN,-8,18,-5,-0.57,296.7,0.64286,2.86,0.83333,24.3768,15.9159,-0.27,-0.58,0.4,3,3,1.44,1.71,2.29
T51,"Jarvis, Casey",AN,-8,18,-5,-1.1,295.6,0.5,0.41,0.72222,20.4371,68.6901,0.52,1.61,0.42857,5,4,1.44,0.92,-0.69
55,"Ewart, A.J.",AN,-7,18,-1,-1.85,286.4,0.28571,1.11,0.61111,19.736,59.069,-1.13,-0.69,0.75,4,3,-2.56,-1.43,-0.74
56,"Hossler, Beau",AN,-6,18,-4,1.63,297.7,0.92857,-0.83,0.88889,20.4845,20.8226,-0.35,-0.01,0.33333,5,2,0.44,0.79,0.8
T57,"Li, Haotong",AN,-5,18,1,-1.21,300.2,0.64286,-1.29,0.55556,30.4679,65.1159,0.93,-2.99,0.5,1,10,-4.56,-5.49,-2.5
T57,"Glover, Lucas",AN,-5,18,1,-1.14,280.2,0.71429,-0.14,0.77778,24.8716,60.4421,-2.63,-0.66,0.6,1,5,-4.56,-1.93,-1.27
T57,"Eckroat, Austin",AN,-5,18,0,-0.43,296.7,0.64286,-1.61,0.66667,30.1813,70.0254,-1.3,-0.22,0.42857,2,6,-3.56,-2.26,-2.04
T60,"Stevens, Sam",AN,-4,18,2,-1.42,291.3,0.35714,-0.89,0.77778,21.5564,71.9346,-3.53,0.28,0.6,0,4,-5.56,-2.03,-2.31
T60,"Gordon, Will",AN,-4,18,1,-0.51,289.2,0.64286,-1.35,0.61111,27.1863,57.2372,-1.53,-1.18,0.5,0,5,-4.56,-3.03,-1.85
T62,"Hoey, Rico",AN,-3,18,0,-1.17,299.2,0.71429,-0.31,0.72222,23.5621,41.3585,-2.42,0.34,0.66667,5,8,-3.56,-1.14,-1.48
T62,"Crowe, Trace",AN,-3,18,-3,-1.24,298.8,0.71429,0.47,0.66667,23.3824,54.8598,-0.34,0.55,0.77778,3,3,-0.56,-0.22,-0.77
T64,"Griffin, Lanto",AN,-2,18,0,0.07,279.9,0.85714,-0.67,0.66667,25.7456,53.1215,-2.31,-0.66,0.4,1,7,-3.56,-1.25,-0.59
T64,"Kang, Jeffrey",AN,-2,18,1,0.81,298.4,0.71429,-1.27,0.77778,26.6037,94.1328,-3.36,-0.75,0.5,1,3,-4.56,-1.2,-0.45
66,"Gomez, Fabian",AN,1,18,1,-0.68,284.2,0.64286,-2.59,0.72222,23.2494,31.8228,-1.36,0.07,0.71429,1,5,-4.56,-3.2,-3.27
CUT,"Silverman, Ben",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Campbell, Brian",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Schenk, Adam",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"McGreevy, Max",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Sargent, Gordon",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Clanton, Luke",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Nakajima, Keita",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Stout, Preston",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Hojgaard, Rasmus",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Higgs, Harry",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Duncan, Tyler",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Meissner, Mac",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Brehm, Ryan",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Mouw, William",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Jaeger, Stephan",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Dumont De Chassart, Adrien",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Rozo, Marcelo",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Springer, Hayden",AN,-2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Ghim, Doug",AN,-1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Moore, Taylor",AN,-1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Im, Sungjae",AN,-1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Fisk, Steven",AN,-1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Pavon, Matthieu",AN,-1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"List, Luke",AN,-1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"James, Ben",AN,-1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Cowan, Ryder",AN,-1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Svensson, Adam",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Kanaya, Takumi",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Potgieter, Aldrich",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Hoffman, Charley",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Keefer, Johnny",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Wood, Griffin",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Sandhu, Sihan",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Wu, Dylan",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Van Rooyen, Erik",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Highsmith, Joe",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Hadwin, Adam",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Ramey, Chad",AN,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Champ, Cameron",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Garnett, Brice",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Dunlap, Nick",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Finau, Tony",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Martin, Ben",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Lower, Justin",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Lipsky, David",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Suber, Jackson",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Lamprecht, Christo",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Yellamaraju, Sudarshan",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Higgo, Garrick",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Putnam, Andrew",AN,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Hoge, Tom",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Mazzoli, Stefano",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Peterson, Paul",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Olesen, Thorbjorn",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Riley, Davis",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Pendrith, Taylor",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Vilips, Karl",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Davis, Cam",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Hardy, Nick",AN,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Paul, Jeremy",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Skinns, David",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Campos, Rafael",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Walker, Danny",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CUT,"Tosti, Alejandro",AN,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
