POS,PLAYER,TOTAL,Round,R1,R2,R3,STROKES
1,Jackson Koivun,-20,-10,64,68,61,193
T2,Emiliano Grillo,-17,-6,64,67,65,196
T2,Ben Kohles,-17,-6,62,69,65,196
T4,Chandler Phillips,-16,-5,66,65,66,197
T4,Michael Brennan,-16,-8,65,69,63,197
T6,Denny McCarthy,-15,-7,66,68,64,198
T6,Michael Kim,-15,-1,69,59,70,198
T6,Billy Horschel,-15,-6,67,66,65,198
T9,Scottie Scheffler,-14,-7,65,70,64,199
T9,Brian Harman,-14,-5,69,64,66,199
T9,Davis Thompson,-14,-8,68,68,63,199
T9,Seamus Power,-14,-8,68,68,63,199
T13,Hideki Matsuyama,-13,-6,70,65,65,200
T13,Lee Hodges,-13,-6,68,67,65,200
T15,Zac Blair,-12,-3,68,65,68,201
T15,Davis Chatfield,-12,-7,69,68,64,201
T15,Kevin Yu,-12,-5,69,66,66,201
T15,Troy Merritt,-12,-2,66,66,69,201
T19,Gary Woodland,-11,-4,64,71,67,202
T19,Chandler Blanchet,-11,-4,67,68,67,202
T21,Zecheng Dou,-10,-4,67,69,67,203
T21,Austin Smotherman,-10,-3,68,67,68,203
T21,Kurt Kitayama,-10,-5,68,69,66,203
T21,Hank Lebioda,-10,-6,69,69,65,203
T21,Kevin Roy,-10,-3,65,70,68,203
T21,Chris Kirk,-10,-7,70,69,64,203
T21,Casey Jarvis,-10,-5,71,66,66,203
T28,Patrick Fishburn,-9,-5,70,68,66,204
T28,Christiaan Bezuidenhout,-9,-2,68,67,69,204
T28,Tom Kim,-9,-4,68,69,67,204
T28,Rasmus Neergaard-Petersen,-9,-5,66,72,66,204
T28,Kevin Streelman,-9,-2,67,68,69,204
T28,Vince Whaley,-9,-3,67,69,68,204
T28,Mark Hubbard,-9,-6,70,69,65,204
T28,John VanDerLaan,-9,-5,67,71,66,204
T28,Jesper Svensson,-9,-1,65,69,70,204
T28,Keith Mitchell,-9,-4,68,69,67,204
T28,Ricky Castillo,-9,-6,71,68,65,204
T28,Kristoffer Ventura,-9,-5,72,66,66,204
T28,Beau Hossler,-9,-4,69,68,67,204
T41,Joel Dahmen,-8,-5,70,69,66,205
T41,Corey Conners,-8,-5,70,69,66,205
T41,Neal Shipley,-8,-5,70,69,66,205
T41,Zach Bauchou,-8,-5,70,69,66,205
T45,Jake Knapp,-7,-3,68,70,68,206
T45,Jordan Smith,-7,-4,71,68,67,206
T45,Mackenzie Hughes,-7,-3,71,67,68,206
T45,Jimmy Stanger,-7,-4,69,70,67,206
T49,John Parry,-6,-2,69,69,69,207
T49,Camilo Villegas,-6,-2,69,69,69,207
T49,Lucas Glover,-6,1,65,70,72,207
T49,Austin Eckroat,-6,0,69,67,71,207
T49,Trace Crowe,-6,-3,67,72,68,207
T54,Max Greyserman,-5,-2,69,70,69,208
T54,Pontus Nyholm,-5,0,68,69,71,208
T54,Matti Schmid,-5,-2,67,72,69,208
T54,A.J. Ewart,-5,-1,69,69,70,208
T54,Haotong Li,-5,1,68,68,72,208
T59,Maverick McNealy,-4,1,71,66,72,209
T59,Muzzy Donohue,-4,2,73,63,73,209
T59,Lanto Griffin,-4,0,70,68,71,209
T59,Jeffrey Kang,-4,1,67,70,72,209
T63,Sam Stevens,-3,2,68,69,73,210
T63,Will Gordon,-3,1,68,70,72,210
T63,Rico Hoey,-3,0,67,72,71,210
T63,Fabián Gómez,-3,1,71,67,72,210
CUT,Ben Silverman,-2,-,69,71,-,140
CUT,Brian Campbell,-2,-,69,71,-,140
CUT,Adam Schenk,-2,-,70,70,-,140
CUT,Max McGreevy,-2,-,74,66,-,140
