POS,Player,TOT,THRU,R3,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG-Around the Green,SG-Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG Total,SG Total (Rank)
1,Jackson Koivun,-20,F,61,0.902,(31st),8.491,(2nd),-0.462,(42nd),5.481,(2nd),14.411,(1st)
T2,Emiliano Grillo,-17,F,65,2.261,(11th),4.313,(15th),2.449,(8th),2.389,(23rd),11.411,(2nd)
T2,Ben Kohles,-17,F,65,1.942,(18th),8.968,(1st),-1.086,(53rd),1.588,(28th),11.411,(3rd)
T4,Chandler Phillips,-16,F,66,0.105,(38th),1.306,(37th),3.878,(2nd),5.113,(5th),10.411,(4th)
T4,Michael Brennan,-16,F,63,1.643,(23rd),7.659,(3rd),-1.718,(62nd),2.828,(14th),10.411,(5th)
T6,Denny McCarthy,-15,F,64,-0.792,(48th),3.129,(23rd),1.046,(21st),6.029,(1st),9.411,(6th)
T6,Michael Kim,-15,F,70,1.329,(25th),3.615,(20th),0.658,(27th),3.810,(9th),9.411,(7th)
T6,Billy Horschel,-15,F,65,3.076,(9th),5.022,(11th),0.380,(34th),0.924,(34th),9.411,(8th)
T9,Scottie Scheffler,-14,F,64,2.217,(12th),1.943,(31st),0.321,(35th),3.941,(8th),8.411,(9th)
T9,Brian Harman,-14,F,66,1.377,(24th),0.503,(44th),3.784,(3rd),2.758,(16th),8.411,(10th)
T9,Davis Thompson,-14,F,63,3.523,(6th),5.991,(6th),-0.894,(48th),-0.218,(45th),8.411,(11th)
T9,Seamus Power,-14,F,63,-0.841,(50th),4.856,(12th),1.684,(13th),2.713,(18th),8.411,(12th)
T13,Hideki Matsuyama,-13,F,65,2.093,(15th),-1.340,(58th),5.067,(1st),1.592,(27th),7.411,(13th)
T13,Lee Hodges,-13,F,65,1.190,(26th),4.317,(14th),-0.528,(44th),2.433,(22nd),7.411,(14th)
T15,Zac Blair,-12,F,68,-0.290,(43rd),1.710,(33rd),-0.247,(40th),5.239,(3rd),6.411,(15th)
T15,Davis Chatfield,-12,F,64,-0.922,(52nd),2.117,(29th),1.464,(15th),3.753,(10th),6.411,(16th)
T15,Kevin Yu,-12,F,66,0.552,(34th),0.238,(46th),3.442,(4th),2.180,(25th),6.411,(17th)
T15,Troy Merritt,-12,F,69,-2.136,(63rd),5.173,(10th),0.557,(30th),2.808,(15th),6.411,(18th)
T19,Gary Woodland,-11,F,67,2.102,(14th),0.828,(40th),-0.245,(39th),2.727,(17th),5.411,(19th)
