player_id,dg_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P125,18417,SCHEFFLER,SCOTTIE,DP World Tour,FULL,False,0.8315999999999999,0.888,1.292,0.565,0.0,1.764,2.94,-0.26,NEUTRAL,MODERATE,14.0,3.0,-0.27,0.055,-0.13
P088,10091,MCILROY,RORY,DP World Tour,FULL,False,0.5214,0.963,0.514,0.263,0.0,1.67,2.45,0.26,NEUTRAL,STRONG,18.0,1.0,0.11,0.009,0.06
P030,12294,FLEETWOOD,TOMMY,DP World Tour,FULL,False,0.52695,0.579,0.759,0.438,0.0,1.02,2.18,0.16,NEUTRAL,STRONG,24.0,4.0,-0.29,0.024,-0.17
P124,19895,SCHAUFFELE,XANDER,DP World Tour,FULL,False,0.52145,0.761,0.773,0.113,0.0,1.394,1.23,-0.69,COOL,STRONG,20.0,1.0,-0.02,0.037,-0.01
P029,17646,FITZPATRICK,MATT,DP World Tour,FULL,False,0.39525,0.306,0.467,0.7,0.0,1.394,2.13,0.06,NEUTRAL,STRONG,26.0,2.0,-0.25,0.038,-0.11
P068,21891,KITAYAMA,KURT,DP World Tour,FULL,False,0.3897,0.577,0.72,-0.177,0.0,1.408,1.53,0.23,NEUTRAL,STRONG,19.0,2.0,0.0,0.05,-0.02
P049,23602,HOJGAARD,NICOLAI,DP World Tour,FULL,False,0.3095,0.403,0.468,0.124,0.0,0.796,0.93,-0.15,NEUTRAL,MODERATE,14.0,4.0,0.19,0.019,0.13
P043,14796,HATTON,TYRRELL,DP World Tour,FULL,False,0.3245,0.186,0.626,0.248,0.0,0.76,1.95,1.1,HOT,STRONG,16.0,6.0,-0.02,0.043,0.04
P001,23950,ABERG,LUDVIG,DP World Tour,FULL,False,0.41759999999999997,0.617,0.538,0.221,0.0,1.476,1.37,-0.45,COOL,MODERATE,10.0,4.0,-0.05,0.004,-0.04
P114,18554,RAI,AARON,DP World Tour,FULL,False,0.33149999999999996,0.233,0.612,0.237,0.0,0.813,1.87,0.91,HOT,STRONG,22.0,4.0,-0.38,0.044,-0.24
P134,17536,SPAUN,J.J.,DP World Tour,FULL,False,0.48174999999999996,0.48,0.849,0.203,0.0,1.31,1.95,0.49,WARM,THIN,6.0,59.0,-0.19,0.057,-0.11
P113,19195,RAHM,JON,DP World Tour,FULL,False,0.53175,0.824,0.605,0.364,0.0,1.56,1.97,-0.19,NEUTRAL,MODERATE,8.0,7.0,-0.05,0.045,-0.03
