player_name,2021 (abrdn Scottish Open),2022 (Genesis Scottish Open),2023 (Genesis Scottish Open),2024 (Genesis Scottish Open),2025 (Genesis Scottish Open),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Forrest, Grant",T73,CUT,11,T39,T22,26,0.545,1.019,0.095,0.104
"Fitzpatrick, Matt",T2,T6,CUT,T39,T4,26,1.491,0.414,0.038,0.104
"Perez, Victor",T59,CUT,T35,T10,T43,26,0.66,0.647,0.06,0.104
"Fox, Ryan",T44,T47,T12,T57,T65,24,0.227,-0.246,-0.021,0.093
"Fleetwood, Tommy",T26,T4,T6,T34,T34,24,1.668,0.632,0.054,0.093
"Syme, Connor",T35,T42,74,T15,T75,24,0.043,0.371,0.032,0.093
"MacIntyre, Robert",T18,CUT,2,1,T65,24,1.32,0.896,0.077,0.093
"Wallace, Matt",T26,CUT,T42,CUT,T50,24,0.35,0.015,0.001,0.093
"Olesen, Thorbjorn",T54,T30,T25,T39,T60,22,0.332,0.354,0.028,0.082
"Otaegui, Adrian",T26,T42,CUT,CUT,CUT,22,-0.337,-0.049,-0.004,0.082
"Thomas, Justin",T8,CUT,T60,T62,T22,22,0.696,-0.695,-0.055,0.082
"Harrington, Padraig",T18,CUT,T42,CUT,T71,22,-0.094,0.507,0.04,0.082
"Migliozzi, Guido",T35,72,T54,CUT,CUT,22,-0.375,0.034,0.003,0.082
"Smith, Jordan",CUT,T24,T12,CUT,T22,22,0.434,0.032,0.002,0.082
"Rai, Aaron",T35,CUT,CUT,T4,T47,22,0.764,0.471,0.037,0.082
"Van Rooyen, Erik",null,CUT,T68,T39,CUT,20,0.472,0.279,0.02,0.071
"Pavon, Matthieu",T12,T36,CUT,CUT,CUT,20,-0.645,-0.169,-0.012,0.071
"Wu, Ashun",null,T55,T65,T65,CUT,20,-0.678,0.309,0.022,0.071
"Schauffele, Xander",T10,1,T42,T15,T8,20,2.008,0.338,0.024,0.071
"Li, Haotong",CUT,T55,CUT,T21,CUT,20,-0.25,0.325,0.023,0.071
"Kitayama, Kurt",CUT,2,T54,T34,null,19,0.741,0.677,0.046,0.066
"Hill, Calum",CUT,null,T25,CUT,CUT,19,-0.475,-0.053,-0.004,0.066
"Lee, Min Woo",1,CUT,T35,73,null,18,0.138,-0.311,-0.02,0.061
"McIlroy, Rory",CUT,null,1,T4,T2,18,2.115,0.051,0.003,0.061
"Rozner, Antoine",T65,CUT,T68,T26,T22,18,0.094,-0.048,-0.003,0.061
"Conners, Corey",CUT,T61,T19,T10,T47,18,0.795,-0.14,-0.009,0.061
