player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Scheffler, Scottie",41,164,162,10,26,32,40,0.582,6,-2.144,-0.394,0.488,1.717,3.256,1.596,0.430,5,-1.169,-0.177,0.445,0.959,2.187,0.992,1.292,1,-1.042,0.341,1.175,2.247,3.636,1.498,0.879,4,-0.705,0.393,0.989,1.449,1.841,0.789,2.172,1,-0.665,1.038,2.128,3.277,4.827,1.702,2.602,1,-0.295,1.406,2.668,3.824,5.387,1.812,3.195,1,-0.905,1.769,3.412,4.850,7.043,2.365,3.195,1,-0.905,1.769,3.412,4.850,7.043,2.365,6.545,34,-10.918,1.812,6.212,12.511,23.422,9.999,0.058,15,-0.125,-0.025,0.056,0.149,0.231,0.122
"Rahm, Jon",42,144,141,4,20,33,37,0.250,27,-2.648,-0.573,0.450,1.318,3.106,1.682,0.416,6,-1.303,-0.252,0.304,1.041,2.342,1.093,0.605,16,-1.526,-0.370,0.575,1.645,3.136,1.535,0.955,1,-0.504,0.289,0.972,1.589,2.379,0.917,1.560,2,-0.804,0.485,1.456,2.704,4.445,1.690,1.976,2,-1.193,0.822,2.249,3.322,4.647,1.900,2.220,2,-1.302,0.958,2.259,3.712,5.687,2.279,2.220,2,-1.302,0.958,2.259,3.712,5.687,2.279,13.142,13,-6.201,4.115,11.252,20.809,31.609,12.011,0.021,53,-0.214,-0.069,0.015,0.110,0.233,0.126
"McIlroy, Rory",45,174,168,6,18,23,36,0.503,8,-2.162,-0.830,0.415,1.829,2.802,1.630,0.201,22,-1.222,-0.370,0.256,0.814,2.224,1.035,0.514,21,-1.693,-0.703,0.584,1.510,3.130,1.634,0.911,3,-1.077,0.265,1.135,1.445,2.103,0.979,1.425,3,-1.700,0.403,1.569,2.644,4.071,1.808,1.626,3,-1.700,0.353,1.795,2.937,4.804,2.054,2.086,3,-1.556,0.651,1.936,3.807,5.904,2.555,2.086,3,-1.556,0.651,1.936,3.807,5.904,2.555,20.911,2,-0.504,13.689,21.256,27.144,42.487,11.424,-0.029,123,-0.278,-0.148,-0.033,0.025,0.163,0.119
"Fleetwood, Tommy",52,201,196,2,17,22,40,0.300,22,-1.971,-0.666,0.486,1.565,2.514,1.572,0.343,11,-1.085,-0.166,0.408,0.873,2.066,0.987,0.759,6,-1.894,-0.234,0.861,1.651,2.830,1.405,0.486,18,-1.048,0.130,0.612,1.106,1.709,0.783,1.245,5,-1.729,0.219,1.428,2.184,3.685,1.611,1.588,4,-1.848,0.489,1.809,2.887,4.392,1.847,1.894,4,-2.260,0.126,2.264,3.638,5.471,2.430,1.894,4,-2.260,0.126,2.264,3.638,5.471,2.430,-0.071,81,-17.073,-6.760,-0.309,5.492,14.770,9.055,0.072,10,-0.129,-0.016,0.068,0.169,0.295,0.116
"Schauffele, Xander",37,146,141,2,7,14,25,0.223,36,-1.990,-0.814,0.284,1.335,2.549,1.466,0.157,33,-1.525,-0.487,0.172,0.854,1.646,0.976,0.773,5,-1.612,-0.145,0.619,1.775,3.236,1.570,0.542,14,-1.369,-0.026,0.758,1.264,2.053,1.134,1.315,4,-1.461,0.229,1.098,2.524,4.220,1.812,1.471,5,-2.072,0.015,1.433,2.914,4.806,2.114,1.745,5,-2.374,0.036,1.776,3.879,5.814,2.654,1.745,5,-2.374,0.036,1.776,3.879,5.814,2.654,11.946,17,-8.493,5.667,13.215,18.765,28.811,11.597,-0.016,110,-0.245,-0.098,-0.020,0.074,0.189,0.135
"Cantlay, Patrick",39,144,139,0,4,8,23,0.134,51,-2.728,-0.841,0.048,1.074,3.064,1.635,0.220,19,-1.424,-0.458,0.143,0.863,2.102,1.054,0.738,7,-1.807,-0.288,0.721,1.668,3.293,1.512,0.456,23,-1.057,-0.083,0.522,1.100,1.753,0.879,1.194,8,-1.569,-0.008,1.288,2.388,3.719,1.724,1.414,7,-1.250,0.131,1.418,2.664,4.665,1.808,1.548,6,-2.320,-0.039,1.431,3.181,5.468,2.318,1.548,6,-2.320,-0.039,1.431,3.181,5.468,2.318,3.950,51,-12.282,-2.891,5.334,10.186,20.470,10.502,-0.001,85,-0.182,-0.097,0.000,0.100,0.202,0.129
"Aberg, Ludvig",46,167,162,1,10,16,30,0.231,33,-2.277,-0.801,0.176,1.338,2.555,1.506,0.067,53,-1.577,-0.410,0.083,0.727,1.632,0.971,0.538,20,-1.964,-0.569,0.395,1.702,3.504,1.686,0.637,6,-0.884,-0.013,0.873,1.373,2.037,1.017,1.174,9,-2.117,-0.099,1.228,2.702,4.270,1.968,1.241,10,-2.807,0.178,1.315,2.758,4.925,2.281,1.493,7,-3.147,-0.196,1.491,3.182,6.455,2.860,1.493,7,-3.147,-0.196,1.491,3.182,6.455,2.860,12.425,15,-0.614,6.872,13.349,17.294,27.906,8.774,0.013,65,-0.228,-0.070,0.021,0.104,0.220,0.129
"Thomas, Justin",40,154,152,1,7,12,20,0.242,29,-2.232,-0.929,0.240,1.160,3.245,1.688,0.486,2,-1.341,-0.088,0.454,1.051,2.398,1.068,0.547,19,-2.238,-0.577,0.581,1.820,3.377,1.777,0.194,64,-1.655,-0.349,0.309,0.907,1.900,1.162,0.742,23,-3.366,-0.748,0.826,2.388,4.185,2.335,1.227,11,-2.943,-0.303,1.436,2.977,4.892,2.412,1.480,8,-3.811,-0.538,1.555,3.679,6.245,3.054,1.480,8,-3.811,-0.538,1.555,3.679,6.245,3.054,5.331,40,-14.428,-0.359,5.019,13.050,21.177,10.722,-0.029,125,-0.248,-0.137,-0.029,0.064,0.188,0.140
"Fitzpatrick, Matt",51,193,186,4,11,16,28,0.358,17,-2.351,-0.819,0.408,1.328,3.518,1.680,0.409,7,-1.192,-0.246,0.289,0.964,2.292,1.018,0.467,23,-2.330,-0.324,0.756,1.468,2.848,1.584,0.244,50,-1.436,-0.238,0.444,0.879,1.622,0.984,0.710,27,-2.621,-0.610,1.019,2.140,3.566,1.960,1.118,14,-2.472,-0.188,1.541,2.637,4.507,2.214,1.454,9,-2.686,-0.320,1.649,3.186,5.552,2.586,1.454,9,-2.686,-0.320,1.649,3.186,5.552,2.586,0.344,77,-19.289,-7.575,0.853,6.013,16.338,10.581,0.035,32,-0.149,-0.046,0.034,0.128,0.242,0.112
"MacIntyre, Robert",58,215,205,2,8,19,33,0.429,11,-1.824,-0.478,0.428,1.320,2.750,1.433,0.200,23,-1.455,-0.492,0.210,0.700,1.845,1.010,0.218,54,-2.387,-0.862,0.256,1.308,2.775,1.645,0.473,20,-1.155,0.005,0.595,1.092,1.657,0.877,0.691,28,-2.189,-0.358,0.671,1.931,3.230,1.709,0.890,20,-2.060,-0.613,0.909,2.256,3.924,1.883,1.365,10,-2.244,-0.419,1.391,3.024,5.165,2.359,1.365,10,-2.244,-0.419,1.391,3.024,5.165,2.359,1.708,68,-15.162,-3.415,1.880,8.198,16.974,10.136,0.012,67,-0.192,-0.078,0.004,0.103,0.216,0.118
