"HOLE","PAR","YARDS","AVG","RANK","+/-","EAGLES","BIRDIES","PARS","BOGEYS","DBL+"
"1","5","594","4.756","16","-0.244","4","152","256","37","3"
"2","4","511","4.174","2","+0.174","0","45","291","112","6"
"3","3","204","3.022","10","+0.022","0","60","326","66","2"
"4","4","418","3.901","13","-0.099","0","103","302","41","7"
"5","3","161","2.848","14","-0.152","0","101","322","30","1"
"6","4","488","4.053","9","+0.053","1","61","309","79","4"
"7","5","576","4.599","18","-0.401","14","191","215","32","1"
"8","4","448","4.172","4","+0.172","1","51","289","98","12"
"9","3","218","3.152","6","+0.152","0","47","295","108","4"
"10","4","464","4.159","5","+0.159","0","52","288","105","8"
"11","4","493","4.115","7","+0.115","0","61","284","105","4"
"12","5","600","4.786","15","-0.214","3","154","239","53","5"
"13","4","422","4.057","8","+0.057","0","66","306","73","8"
"14","4","347","3.601","17","-0.399","3","201","226","22","2"
"15","3","147","2.971","12","-0.029","0","66","337","49","2"
"16","4","505","4.207","1","+0.207","0","46","280","118","8"
"17","3","203","3.000","11","0.000","0","66","324","62","2"
"18","4","483","4.174","2","+0.174","0","43","302","96","13"
