"POS","Player","R1","THRU","STROKES"
"T1","Tom Kim","-5","F*","65"
"T1","Bernd Wiesberger","-5","F*","65"
"T1","Patrick Cantlay","-5","F*","65"
"T1","Rory McIlroy","-5","F*","65"
"T1","Rasmus Højgaard","-5","F","65"
"T6","Brooks Koepka","-4","F*","66"
"T6","Min Woo Lee","-4","F*","66"
"T6","Michael Thorbjornsen","-4","F","66"
"T6","Kurt Kitayama","-4","F","66"
"T6","Angel Ayora","-4","F","66"
"T6","Oliver Lindell","-4","F","66"
"T6","Andrew Novak","-4","F","66"
"T13","Joost Luiten","-3","F*","67"
"T13","Matt McCarty","-3","F","67"
"T13","Robert MacIntyre","-3","F*","67"
"T13","Wyndham Clark","-3","F*","67"
"T13","Keita Nakajima","-3","F*","67"
"T13","Michael Brennan","-3","F*","67"
"T13","Danny Willett","-3","F","67"
"T13","Tom McKibbin","-3","F*","67"
"T13","Corey Conners","-3","F*","67"
"T13","Calum Hill","-3","F","67"
"T13","Matt Fitzpatrick","-3","F","67"
"T13","Tommy Fleetwood","-3","F","67"
"T13","Kevin Roy","-3","F","67"
"T13","Zach Bauchou","-3","F*","67"
"T27","Marcus Armitage","-2","F","68"
"T27","Michael Kim","-2","F","68"
"T27","Angel Hidalgo","-2","F","68"
"T27","Shaun Norris","-2","F","68"
"T27","Nicolai Højgaard","-2","F*","68"
"T27","Rasmus Neergaard-Petersen","-2","F","68"
"T27","J.J. Spaun","-2","F*","68"
"T27","Chris Gotterup","-2","F*","68"
"T27","Francesco Molinari","-2","F","68"
"T27","Viktor Hovland","-2","F*","68"
"T27","Haotong Li","-2","F","68"
"T27","Casey Jarvis","-2","F*","68"
"T27","Sudarshan Yellamaraju","-2","F*","68"
"T27","Johnny Keefer","-2","F","68"
"T27","Matti Schmid","-2","F*","68"
"T27","Sam Stevens","-2","F*","68"
"T27","Jordan Smith","-2","F","68"
"T27","Andy Sullivan","-2","F*","68"
"T27","Ryan Gerard","-2","F","68"
"T27","Guido Migliozzi","-2","F*","68"
"T27","Jayden Schaper","-2","F","68"
"T27","Scottie Scheffler","-2","F","68"
