position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
T1,"Smith, Jordan",AN,-9,18,-7,0.585,295.25,0.76923,1.905,0.777775,31.21586896551724,20.5365,1.905,-0.1,0.7500008333333334,5,2,4.29,2.385,2.4850000000000003
T1,"Kim, Tom",AN,-9,18,-4,0.845,297.75,0.615385,1.87,0.777775,35.66665333333333,21.735,1.0599999999999998,0.525,0.699998,5.5,4.5,4.29,3.23,2.71
T1,"McIlroy, Rory",AN,-9,18,-4,1.68,316.4,0.653845,-0.04500000000000001,0.63889,31.651183999999997,89.25323999999999,1.605,1.05,0.875,7,2.5,4.29,2.685,1.635
T4,"Fitzpatrick, Matt",AN,-8,18,-5,0.05,293.45000000000005,0.53846,3.5300000000000002,0.88889,25.8462,49.33308571428571,0.99,-0.785,0.5,6.5,3,3.79,2.8,3.585
T4,"Lee, Min Woo",AN,-8,18,-4,1.015,304.7,0.5769200000000001,2.055,0.7777799999999999,27.337691999999997,81.01140000000001,1.3099999999999998,-0.5800000000000001,0.5833333333333333,5.5,1,3.79,2.48,3.06
T6,"Von Dellingshausen, Nicolai",AN,-7,18,-6,0.4049999999999999,304,0.46154000000000006,1.175,0.805555,30.17621304347826,40.33242,1.2650000000000001,0.44000000000000006,0.6666666666666666,6.5,2.5,3.29,2.025,1.58
T6,"Luiten, Joost",AN,-7,18,-4,0.09500000000000003,295.75,0.5,1.23,0.805555,35.29658518518519,70.547,1.8050000000000002,0.16,0.5,6,4,3.29,1.4849999999999999,1.325
T6,"MacIntyre, Robert",AN,-7,18,-4,0.36,297.5,0.5,1.935,0.805555,27.244506896551723,67.7517,0.8250000000000001,0.165,0.7777777777777778,3,1,3.29,2.465,2.3
T6,"Gotterup, Chris",AN,-7,18,-5,1.1800000000000002,315.45,0.538465,0.69,0.75,27.98935,114.81533333333333,0.38500000000000006,1.0350000000000001,0.66667,5,3,3.29,2.9050000000000002,1.8699999999999999
T6,"Perez, Victor",AN,-7,18,-6,0.49,296.65,0.53846,0.995,0.805555,30.164450000000002,38.17484285714285,1,0.8049999999999999,0.6666666666666666,3,1.5,3.29,2.29,1.485
T6,"Nakajima, Keita",AN,-7,18,-4,0.615,303.25,0.5769200000000001,-0.020000000000000018,0.805555,37.58857857142857,27.26208,2.54,0.15499999999999997,0.75,4,2,3.29,0.745,0.595
T6,"Yellamaraju, Sudarshan",AN,-7,18,-5,0.61,304.9,0.5769200000000001,-0.17499999999999996,0.777775,29.158737037037035,46.67145714285714,3.12,-0.27,0.75,5.5,2.5,3.29,0.16999999999999998,0.435
T13,"Willett, Danny",AN,-6,18,-3,-0.325,286.65,0.53846,0.13,0.583335,35.5658,71.34620000000001,1.27,1.705,0.8666653333333334,3.5,3.5,2.79,1.52,-0.19
