player_id,last_name,first_name,tier,rank,neutral_skill_index,venue_fit_score,venue_history_normalized,form_score,penalties_applied,vts_final,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,miss_cut_prob,best_betting_lane,anti_pattern_flags,conviction_level
P125,SCHEFFLER,SCOTTIE,1,1,100.0,77.5434045699442,50.00374676410347,48.666666666666664,0.0,92.03501207635837,3.58,16.18,27.15,46.28,91.6,8.4,Winner,none,HIGH
P030,FLEETWOOD,TOMMY,1,2,85.26339702971725,68.89213443841155,60.490040266328535,54.166666666666664,0.0,83.54279387920502,2.92,12.01,19.82,33.01,87.6,12.4,Winner,none,HIGH
P088,MCILROY,RORY,1,3,84.82648331134169,71.81443223040249,55.62629084833328,54.333333333333336,0.0,83.53911578327006,3.47,14.94,23.59,37.76,87.0,13.0,Winner,none,HIGH
P124,SCHAUFFELE,XANDER,2,4,81.9292185831065,70.76610362660283,58.57439471550687,37.2,0.0,78.51914052559393,2.41,8.95,16.77,31.56,78.2,21.8,Top 10,none,HIGH
P113,RAHM,JON,2,5,83.72025496056096,71.79110620576216,40.30112644175999,46.833333333333336,0.0,78.13987429184496,1.32,6.69,12.02,21.54,80.0,20.0,Top 10,none,HIGH
P029,FITZPATRICK,MATT,2,6,75.07494095866136,68.04081844560288,59.644170802329356,52.5,0.0,76.98042639162296,1.99,10.37,18.05,31.64,80.5,19.5,Top 10,none,HIGH
P001,ABERG,LUDVIG,2,7,76.6924513203071,69.13244283614503,62.81618129232626,42.0,0.0,76.80658772448736,1.87,8.75,16.51,31.3,77.4,22.6,Top 10,none,HIGH
P009,CANTLAY,PATRICK,2,8,77.34627255844359,69.04878799238097,51.55865386704313,48.833333333333336,0.0,76.2110847408834,1.65,8.73,15.85,28.91,78.6,21.4,Top 10,none,HIGH
P068,KITAYAMA,KURT,2,9,71.50526291916732,68.99047293078013,61.04980682338681,53.833333333333336,0.0,75.95985459712875,1.91,9.26,15.66,26.61,79.0,21.0,Top 10,none,HIGH
P134,SPAUN,J.J.,2,10,75.31353923039836,70.09334080082519,44.219492341167935,57.3,0.0,75.7502334798321,1.35,6.67,11.92,21.27,79.6,20.4,Top 10,none,HIGH
P081,LOWRY,SHANE,2,11,71.31314483023621,67.47453304884891,61.42298452809233,54.1,0.0,75.35256487714115,1.66,6.6,13.49,27.56,78.9,21.1,Top 10,none,HIGH
P043,HATTON,TYRRELL,2,12,67.22288874331596,64.71887369187846,57.45486160139032,74.0,0.0,75.25077849985168,1.88,7.39,14.42,28.15,83.9,16.1,Top 10,none,HIGH
P065,KIM,SI WOO,2,13,74.24139634700867,70.24084853937808,48.43640040434029,50.166666666666664,0.0,74.60428855234267,1.26,6.15,11.32,20.77,76.2,23.8,Top 10,none,HIGH
P054,HOVLAND,VIKTOR,2,14,75.8805974606305,67.47377788977782,48.8717743931634,50.5,0.0,74.5218561961664,1.3,6.0,12.08,24.25,77.3,22.7,Top 10,none,HIGH
P036,GOTTERUP,CHRIS,2,15,69.16885906345681,65.08277645758034,66.946014557734,54.333333333333336,0.0,74.3603503254005,3.09,10.24,17.72,30.87,78.3,21.7,Top 10,none,HIGH
P014,CLARK,WYNDHAM,2,16,61.775411318463085,61.08034947424047,63.51277967444324,84.5,0.0,74.15391285876218,2.16,7.61,14.88,29.14,85.5,14.5,Top 10,none,HIGH
