"POS","PLAYER","TOTAL","R1","R2","R3","R4","Total Strokes"
"1","Viktor Hovland","-21","65","61","64","69","259"
"2","Scottie Scheffler","-21","64","60","67","68","259"
"3","Collin Morikawa","-20","69","66","64","61","260"
"4","Matt Fitzpatrick","-19","64","66","67","64","261"
"T5","Wyndham Clark","-18","68","64","65","65","262"
"T5","Akshay Bhatia","-18","66","62","67","67","262"
"T7","Corey Conners","-17","65","68","67","63","263"
"T7","J.J. Spaun","-17","66","65","68","64","263"
"T7","Alex Fitzpatrick","-17","69","66","64","64","263"
"T10","Robert MacIntyre","-16","67","65","67","65","264"
"T10","Ben Griffin","-16","64","66","67","67","264"
"T12","Russell Henley","-15","66","70","65","64","265"
"T12","Sam Burns","-15","66","66","66","67","265"
"T14","Nicolai Højgaard","-14","71","66","67","62","266"
"T14","Keegan Bradley","-14","67","65","70","64","266"
"T14","Tommy Fleetwood","-14","67","64","70","65","266"
"T14","Denny McCarthy","-14","67","68","66","65","266"
"T14","Bud Cauley","-14","64","66","70","66","266"
"T14","Hideki Matsuyama","-14","67","67","66","66","266"
"T14","Justin Thomas","-14","68","66","65","67","266"
"T14","Patrick Cantlay","-14","65","66","64","71","266"
"T22","Kristoffer Reitan","-13","64","68","68","67","267"
"T22","Keith Mitchell","-13","68","67","63","69","267"
"T22","Shane Lowry","-13","68","65","64","70","267"
"T25","Nick Taylor","-12","68","71","64","65","268"
"T25","Daniel Berger","-12","70","67","65","66","268"
"T25","Kurt Kitayama","-12","69","63","69","67","268"
"T25","Justin Rose","-12","65","66","67","70","268"
"T25","Brian Harman","-12","66","70","63","69","268"
"T30","Andrew Novak","-11","67","72","67","63","269"
"T30","Michael Kim","-11","68","67","68","66","269"
"T30","Matt McCarty","-11","69","70","63","67","269"
"T30","Nico Echavarria","-11","64","69","68","68","269"
"T30","Sungjae Im","-11","68","66","66","69","269"
"T30","Aaron Rai","-11","65","68","67","69","269"
"T30","Jackson Suber","-11","68","67","64","70","269"
"T30","Chris Gotterup","-11","71","65","63","70","269"
"T38","Brandt Snedeker","-10","65","69","70","66","270"
"T38","Rickie Fowler","-10","69","66","68","67","270"
"T38","Harris English","-10","66","66","70","68","270"
"T38","Tom Hoge","-10","67","70","65","68","270"
"T38","Ryo Hisatsune","-10","68","70","64","68","270"
"T38","Eric Cole","-10","63","65","69","73","270"
"T44","Ryan Gerard","-9","68","68","70","65","271"
"T44","Mac Meissner","-9","70","66","67","68","271"
"T44","Si Woo Kim","-9","69","64","65","73","271"
"T47","Cameron Young","-8","72","71","66","63","272"
"T47","Alex Smalley","-8","71","66","71","64","272"
"T47","Jacob Bridgeman","-8","70","70","66","66","272"
"T47","Brian Campbell","-8","68","63","72","69","272"
"T51","Sahith Theegala","-7","74","67","67","65","273"
"T51","Jhonattan Vegas","-7","69","65","72","67","273"
"T51","Harry Hall","-7","67","70","68","68","273"
"T51","Xander Schauffele","-7","67","69","68","69","273"
"T55","Ludvig Åberg","-6","70","67","69","68","274"
"T55","Alex Noren","-6","69","66","70","69","274"
"T55","Jason Day","-6","70","68","67","69","274"
"T55","Jake Knapp","-6","74","67","64","69","274"
"T55","Tony Finau","-6","70","66","68","70","274"
"T55","Maverick McNealy","-6","67","64","71","72","274"
"61","Taylor Pendrith","-5","67","67","72","69","275"
"T62","Min Woo Lee","-4","68","73","69","66","276"
"T62","Sam Stevens","-4","68","71","69","68","276"
"T62","Ben James","-4","68","64","71","73","276"
"65","Adam Scott","-3","71","71","64","71","277"
"T66","Ryan Fox","E","71","71","71","67","280"
"T66","Jordan Spieth","E","71","69","73","67","280"
"T66","Lucas Glover","E","75","69","68","68","280"
"69","J.T. Poston","+1","67","67","71","76","281"
"70","Mark Hubbard","+2","69","71","72","70","282"
"71","Gary Woodland","+5","69","70","74","72","285"
"72","Sepp Straka","+10","73","72","73","72","290"
