Hole,Par,Yards,Avg,Rank,Plus - Minus,Eagles,Birdies,Pars,Bogeys,DBL+
1,4,434,3.941,6,-0.059,0,62,183,41,2
2,4,341,3.698,15,-0.302,0,100,175,13,0
3,4,440,3.889,10,-0.111,0,66,188,34,0
4,4,481,4.08,1,0.08,0,44,178,65,1
5,3,223,2.997,4,-0.003,0,38,217,29,4
6,5,574,4.5,18,-0.5,5,147,127,6,3
7,4,443,3.913,8,-0.087,0,59,197,30,2
8,3,202,2.885,11,-0.115,0,55,212,20,1
9,4,389,3.809,14,-0.191,0,76,192,19,1
10,4,462,3.979,5,-0.021,1,48,199,36,4
11,3,158,2.858,12,-0.142,0,71,190,25,2
12,4,411,4.021,3,0.021,1,50,189,40,8
13,5,523,4.552,17,-0.448,18,151,76,34,9
14,4,421,3.851,13,-0.149,1,68,193,25,1
15,4,296,3.674,16,-0.326,2,128,126,26,6
16,3,171,2.927,7,-0.073,0,54,204,28,2
17,4,431,3.906,9,-0.094,1,61,194,28,4
18,4,444,4.038,2,0.038,0,39,202,46,2
