POS,PLAYER,THRU,R4,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
1,Viktor Hovland,-21,69,3.962,(1st),0.776,(31st),2.009,(10th),4.335,(9th),11.083,(T1)
2,Scottie Scheffler,-21,68,1.941,(12th),5.23,(6th),-0.228,(41st),4.139,(12th),11.083,(T1)
3,Collin Morikawa,-20,61,3.593,(2nd),6.907,(2nd),-3.296,(67th),2.878,(15th),10.083,(3rd)
4,Matt Fitzpatrick,-19,64,2.722,(5th),2.551,(17th),4.114,(4th),-0.305,(37th),9.083,(4th)
T5,Wyndham Clark,-18,65,-1.566,(56th),-2.957,(57th),3.893,(5th),8.712,(1st),8.083,(T5)
T5,Akshay Bhatia,-18,67,0.94,(28th),0.665,(33rd),1.375,(20th),5.102,(4th),8.083,(T5)
T7,Corey Conners,-17,63,0.775,(30th),2.916,(12th),3.492,(7th),-0.101,(36th),7.083,(T7)
T7,J.J. Spaun,-17,64,0.122,(37th),2.9,(13th),-0.947,(46th),5.007,(5th),7.083,(T7)
T7,Alex Fitzpatrick,-17,64,1.73,(16th),5.518,(5th),0.254,(33rd),-0.42,(39th),7.083,(T7)
T10,Robert MacIntyre,-16,65,-0.474,(43rd),3.598,(10th),0.19,(34th),2.768,(17th),6.083,(T10)
T10,Ben Griffin,-16,67,-0.868,(50th),2.722,(T14),0.816,(28th),3.412,(14th),6.083,(T10)
T12,Russell Henley,-15,64,3.259,(3rd),0.697,(32nd),-2.898,(64th),4.024,(13th),5.083,(T12)
T12,Sam Burns,-15,67,2.38,(10th),4.379,(7th),-3.12,(66th),1.443,(25th),5.083,(T12)
T14,Nicolai Højgaard,-14,62,0.164,(36th),2.72,(16th),1.604,(13th),-0.406,(38th),4.083,(T14)
T14,Keegan Bradley,-14,64,-1.764,(60th),3.829,(9th),4.136,(3rd),-2.119,(56th),4.083,(T14)
T14,Tommy Fleetwood,-14,65,1.153,(24th),-0.26,(38th),1.442,(18th),1.747,(24th),4.083,(T14)
T14,Denny McCarthy,-14,65,0.22,(T34),-0.75,(42nd),0.374,(31st),4.238,(10th),4.083,(T14)
T14,Bud Cauley,-14,66,2.042,(11th),1.388,(24th),3.869,(6th),-3.217,(60th),4.083,(T14)
T14,Hideki Matsuyama,-14,66,2.403,(9th),-0.3,(39th),1.503,(14th),0.476,(32nd),4.083,(T14)
T14,Justin Thomas,-14,67,1.175,(23rd),-2.616,(56th),6.257,(1st),-0.734,(41st),4.083,(T14)
T14,Patrick Cantlay,-14,71,-0.059,(39th),4.314,(8th),-1.189,(53rd),1.016,(28th),4.083,(T14)
T22,Kristoffer Reitan,-13,67,1.754,(15th),-4.113,(65th),-1.07,(50th),6.511,(2nd),3.083,(T22)
T22,Keith Mitchell,-13,69,1.585,(18th),1.197,(26th),-0.751,(44th),1.051,(27th),3.083,(T22)
T22,Shane Lowry,-13,70,2.448,(8th),3.515,(11th),-0.552,(43rd),-2.329,(57th),3.083,(T22)
T25,Nick Taylor,-12,65,0.004,(38th),-1.494,(47th),-1.217,(54th),4.789,(7th),2.083,(T25)
T25,Daniel Berger,-12,66,-0.613,(45th),1.08,(27th),5.07,(2nd),-3.455,(63rd),2.083,(T25)
T25,Kurt Kitayama,-12,67,0.743,(T31),6.856,(3rd),-2.112,(60th),-3.405,(62nd),2.083,(T25)
T25,Justin Rose,-12,70,-1.248,(55th),-0.139,(37th),0.837,(27th),2.632,(18th),2.083,(T25)
T25,Brian Harman,-12,69,-2.785,(67th),6.361,(4th),0.464,(30th),-1.958,(52nd),2.083,(T25)
T30,Andrew Novak,-11,63,1.528,(19th),0.854,(30th),0.184,(35th),-1.484,(47th),1.083,(T30)
T30,Michael Kim,-11,66,-1.084,(51st),1.858,(22nd),-0.131,(38th),0.439,(33rd),1.083,(T30)
T30,Matt McCarty,-11,67,-2.52,(65th),7.465,(1st),-0.867,(45th),-2.996,(59th),1.083,(T30)
T30,Nico Echavarria,-11,68,-2.101,(63rd),2.393,(19th),2.558,(8th),-1.768,(50th),1.083,(T30)
T30,Sungjae Im,-11,69,1.668,(17th),-3.777,(63rd),-1.019,(48th),4.21,(11th),1.083,(T30)
T30,Aaron Rai,-11,69,1.336,(T21),-0.913,(43rd),1.129,(22nd),-0.47,(40th),1.083,(T30)
T30,Jackson Suber,-11,70,1.49,(20th),-0.963,(45th),-0.14,(39th),0.695,(30th),1.083,(T30)
T30,Chris Gotterup,-11,70,0.745,(T31),1.939,(21st),-3.403,(68th),1.801,(T22),1.083,(T30)
T38,Brandt Snedeker,-10,66,-1.157,(54th),-1.986,(53rd),-1.587,(57th),4.812,(6th),0.083,(T38)
T38,Rickie Fowler,-10,67,1.105,(26th),-0.933,(44th),1.388,(19th),-1.478,(46th),0.083,(T38)
T38,Harris English,-10,68,-0.182,(40th),0.624,(34th),1.477,(16th),-1.837,(51st),0.083,(T38)
T38,Tom Hoge,-10,68,-5.416,(71st),1.534,(23rd),1.12,(23rd),2.844,(16th),0.083,(T38)
T38,Ryo Hisatsune,-10,68,0.874,(29th),1.058,(28th),0.261,(32nd),-2.111,(55th),0.083,(T38)
T38,Eric Cole,-10,73,-2.32,(64th),1.371,(25th),2.242,(9th),-1.211,(44th),0.083,(T38)
T44,Ryan Gerard,-9,65,1.135,(25th),-3.262,(60th),0.882,(25th),0.327,(34th),-0.917,(T44)
T44,Mac Meissner,-9,68,1.334,(T21),-3.83,(64th),-0.986,(47th),2.564,(19th),-0.917,(T44)
T44,Si Woo Kim,-9,73,0.56,(33rd),2.5,(18th),-2.006,(59th),-1.972,(53rd),-0.917,(T44)
T47,Cameron Young,-8,63,2.807,(4th),-0.664,(41st),0.018,(37th),-4.079,(65th),-1.917,(T47)
T47,Alex Smalley,-8,64,0.22,(T34),-1.85,(52nd),-2.786,(63rd),2.498,(20th),-1.917,(T47)
T47,Jacob Bridgeman,-8,66,1.871,(13th),-0.617,(40th),-1.066,(49th),-2.106,(54th),-1.917,(T47)
T47,Brian Campbell,-8,69,-3.269,(68th),0.569,(35th),-1.117,(51st),1.899,(21st),-1.917,(T47)
T51,Sahith Theegala,-7,65,-1.845,(61st),-1.727,(51st),1.492,(15th),-0.838,(43rd),-2.917,(T51)
T51,Jhonattan Vegas,-7,67,-0.404,(42nd),-4.773,(66th),1.779,(11th),0.48,(31st),-2.917,(T51)
T51,Harry Hall,-7,68,-3.432,(69th),-6.206,(71st),0.691,(29th),6.029,(3rd),-2.917,(T51)
T51,Xander Schauffele,-7,69,2.46,(7th),-3.633,(61st),1.091,(24th),-2.836,(58th),-2.917,(T51)
T55,Ludvig Åberg,-6,68,-1.627,(57th),2.725,(T14),-0.402,(42nd),-4.614,(67th),-3.917,(T55)
T55,Alex Noren,-6,69,-0.694,(46th),-5.474,(68th),-2.128,(61st),4.378,(8th),-3.917,(T55)
T55,Jason Day,-6,69,-0.191,(41st),-3.678,(62nd),1.448,(17th),-1.497,(48th),-3.917,(T55)
T55,Jake Knapp,-6,69,-2.564,(66th),-1.987,(54th),-1.165,(52nd),1.798,(T22),-3.917,(T55)
