"HOLE","PAR","YARDS","AVG","RANK","+/-","EAGLES","BIRDIES","PARS","BOGEYS","DBL+"
"1","5","601","4.712","15","-0.288","4","62","71","15","4"
"2","4","516","4.224","3","+0.224","0","10","104","39","3"
"3","3","201","2.929","12","-0.071","0","28","112","15","1"
"4","4","426","3.782","14","-0.218","0","47","97","11","1"
"5","3","152","2.859","13","-0.141","0","39","100","17","0"
"6","4","488","4.051","9","+0.051","0","25","99","31","1"
"7","5","575","4.712","15","-0.288","2","56","86","10","2"
"8","4","429","4.147","5","+0.147","1","17","100","34","4"
"9","3","210","3.154","4","+0.154","0","14","106","34","2"
"10","4","472","4.051","9","+0.051","0","24","103","27","2"
"11","4","474","4.276","2","+0.276","0","10","95","49","2"
"12","5","586","4.654","18","-0.346","0","66","79","10","1"
"13","4","406","4.096","7","+0.096","0","22","101","29","4"
"14","4","324","3.710","17","-0.290","0","53","94","8","0"
"15","3","154","3.006","11","+0.006","0","17","121","18","0"
"16","4","508","4.090","8","+0.090","0","21","102","31","2"
"17","3","190","3.103","6","+0.103","0","12","116","28","0"
"18","4","466","4.288","1","+0.288","0","13","90","48","5"
