POS,Player,TOT,THRU,R2,sg-ott,sg-ott (rank),sg-app to green,sg-app to green (rank),sg-around green,sg-around green (rank),sg-putting,sg-putting (Rank),sg-total,sg-total (rank)
T1,Jordan Smith,-9,F*,63,1.57,(16th),3.101,(12th),0.109,(44th),3.803,(11th),8.583,(T1)
T1,Tom Kim,-9,F,66,1.907,(10th),3.417,(9th),1.13,(23rd),2.129,(32nd),8.583,(T1)
T1,Rory McIlroy,-9,F,66,3.197,(1st),0.143,(44th),2.044,(11th),3.199,(18th),8.583,(T1)
T4,Matt Fitzpatrick,-8,F*,65,-0.09,(53rd),7.156,(1st),-1.483,(65th),2,(35th),7.583,(T4)
T4,Min Woo Lee,-8,F,66,2.238,(6th),3.939,(5th),-1.17,(62nd),2.576,(24th),7.583,(T4)
T6,Nicolai Von Dellingshausen,-7,F,64,0.051,(50th),3.093,(13th),0.925,(28th),2.514,(27th),6.583,(T6)
T6,Joost Luiten,-7,F,66,0.955,(29th),0.967,(37th),1.018,(26th),3.643,(13th),6.583,(T6)
T6,Robert MacIntyre,-7,F,66,0.644,(38th),4.196,(4th),0.069,(46th),1.674,(37th),6.583,(T6)
T6,Chris Gotterup,-7,F,65,1.873,(12th),1.726,(27th),2.23,(9th),0.754,(46th),6.583,(T6)
T6,Victor Perez,-7,F*,64,0.777,(35th),2.27,(21st),1.529,(17th),2.007,(34th),6.583,(T6)
T6,Keita Nakajima,-7,F,66,1.309,(19th),-0.131,(47th),0.331,(35th),5.074,(3rd),6.583,(T6)
T6,Sudarshan Yellamaraju,-7,F,65,0.933,(31st),-0.204,(50th),-0.372,(49th),6.226,(2nd),6.583,(T6)
T13,Danny Willett,-6,F*,67,-0.674,(61st),-0.233,(52nd),3.96,(3rd),2.53,(26th),5.583,(T13)
T13,Karl Vilips,-6,F,64,1.9,(11th),2.031,(23rd),-0.82,(59th),2.472,(28th),5.583,(T13)
T13,Nicolai Højgaard,-6,F,66,2.286,(4th),3.912,(6th),1.364,(19th),-1.979,(67th),5.583,(T13)
T13,Michael Thorbjornsen,-6,F*,68,1.586,(15th),-0.604,(57th),5.101,(1st),-0.5,(61st),5.583,(T13)
T13,Wyndham Clark,-6,F,67,1.176,(23rd),3.229,(10th),0.266,(37th),0.912,(45th),5.583,(T13)
T18,Darius Van Driel,-5,F*,65,-1.36,(67th),3.768,(7th),-0.403,(50th),2.578,(23rd),4.583,(T18)
T18,Guido Migliozzi,-5,F,67,0.272,(43rd),-0.53,(55th),0.285,(36th),4.556,(5th),4.583,(T18)
T18,Ryan Gerard,-5,F*,67,2.737,(2nd),-1.002,(61st),2.72,(5th),0.128,(49th),4.583,(T18)
T18,Patrick Reed,-5,F*,67,-1.55,(68th),1.767,(25th),0.504,(34th),3.862,(9th),4.583,(T18)
T18,Kevin Roy,-5,F*,68,0.542,(39th),-1.133,(63rd),4.484,(2nd),0.69,(47th),4.583,(T18)
T18,Marcus Armitage,-5,F*,67,0.078,(48th),1.149,(35th),-0.752,(56th),4.108,(8th),4.583,(T18)
T18,Oliver Lindell,-5,F*,69,0.06,(49th),3.745,(8th),1.089,(25th),-0.311,(55th),4.583,(T18)
T25,Cam Davis,-4,F,66,-0.566,(60th),-0.722,(58th),1.468,(18th),3.403,(16th),3.583,(T25)
T25,Ricky Castillo,-4,F*,66,1.799,(13th),-4.429,(71st),2.059,(10th),4.154,(7th),3.583,(T25)
T25,Hennie Du Plessis,-4,F*,66,0.908,(32nd),2.386,(19th),1.763,(13th),-1.474,(64th),3.583,(T25)
T25,Andy Sullivan,-4,F,68,-0.011,(51st),0.019,(45th),-0.885,(60th),4.46,(6th),3.583,(T25)
T25,Calum Hill,-4,F*,69,-0.788,(62nd),1.097,(36th),0.644,(31st),2.63,(22nd),3.583,(T25)
T25,Justin Thomas,-4,F*,67,0.971,(27th),-0.585,(56th),-0.079,(47th),3.276,(17th),3.583,(T25)
T25,Andrew Putnam,-4,F,65,0.18,(44th),0.355,(42nd),1.167,(21st),1.881,(36th),3.583,(T25)
T25,Ryan Fox,-4,F,65,1.257,(20th),3.07,(14th),-0.663,(55th),-0.081,(53rd),3.583,(T25)
T25,Rasmus Neergaard-Petersen,-4,F*,68,1.216,(21st),-1.165,(64th),0.07,(45th),3.462,(14th),3.583,(T25)
T25,Tyrrell Hatton,-4,F,66,-0.281,(58th),-2.038,(68th),-1.144,(61st),7.046,(1st),3.583,(T25)
T25,Casey Jarvis,-4,F,68,0.529,(40th),0.849,(39th),-0.786,(57th),2.991,(20th),3.583,(T25)
T25,Austin Eckroat,-4,F*,66,-3.447,(71st),1.476,(29th),0.606,(33rd),4.948,(4th),3.583,(T25)
T25,Johnny Keefer,-4,F*,68,1.125,(25th),3.146,(11th),-0.811,(58th),0.123,(50th),3.583,(T25)
T38,Chris Kirk,-3,F,67,-0.455,(59th),2.328,(20th),1.138,(22nd),-0.428,(58th),2.583,(T38)
T38,Andrew Novak,-3,F*,71,1.161,(24th),1.491,(28th),2.809,(4th),-2.878,(70th),2.583,(T38)
T38,Sahith Theegala,-3,F,67,0.507,(41st),0.302,(43rd),-0.543,(53rd),2.317,(29th),2.583,(T38)
T38,Nick Taylor,-3,F*,67,-1.109,(64th),-0.219,(51st),1.713,(15th),2.198,(31st),2.583,(T38)
T38,Corey Conners,-3,F,70,-1.236,(65th),5.173,(3rd),-1.383,(64th),0.029,(52nd),2.583,(T38)
T38,Si Woo Kim,-3,F*,67,0.169,(45th),0.484,(41st),0.988,(27th),0.942,(43rd),2.583,(T38)
T38,Tommy Fleetwood,-3,F*,70,-0.133,(54th),0.924,(38th),2.291,(8th),-0.499,(60th),2.583,(T38)
T38,Mikael Lindberg,-3,F,68,2.27,(5th),-0.172,(49th),-0.452,(51st),0.937,(44th),2.583,(T38)
T38,Laurie Canter,-3,F*,68,1.339,(18th),-1.069,(62nd),2.685,(6th),-0.372,(57th),2.583,(T38)
T38,Francesco Molinari,-3,F*,69,0.856,(34th),5.259,(2nd),-1.956,(69th),-1.576,(65th),2.583,(T38)
T38,Matti Schmid,-3,F,69,-1.866,(69th),2.683,(15th),0.794,(29th),0.972,(42nd),2.583,(T38)
T49,Alejandro Del Rey,-2,F*,66,1.189,(22nd),-0.162,(48th),-2.363,(70th),2.919,(21st),1.583,(T49)
T49,Michael Brennan,-2,F,71,0.668,(T36),1.166,(33rd),1.992,(12th),-2.243,(68th),1.583,(T49)
T49,Nacho Elvira,-2,F,69,0.867,(33rd),1.376,(32nd),0.135,(42nd),-0.795,(62nd),1.583,(T49)
T49,Tom McKibbin,-2,F,71,1.998,(8th),1.99,(24th),0.172,(T40),-2.577,(69th),1.583,(T49)
T49,Brian Harman,-2,F*,68,-2.495,(70th),1.154,(34th),-0.507,(52nd),3.431,(15th),1.583,(T49)
T49,Eric Cole,-2,F,67,0.084,(47th),-3.445,(70th),1.754,(14th),3.19,(19th),1.583,(T49)
