rank_model,player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_fit_conf_band,comp_course_adjustment,comp_course_trace,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,pre_penalty_vts,blend_class,blend_weights_used,tier_eligibility_gate_status,debut_flag,debut_class,debut_penalty_applied,anti_pattern_flags,anti_pattern_penalty_total,ap_pen_bomb_spray,ap_pen_wedge_liab,ap_pen_poor_birdie,ap_pen_rough_approach,anti_pattern_trigger_trace,anti_pattern_modifier_trace,primary_risk_trait,risk_stressor_active,risk_secondary_discount_applied,risk_discount_trace,form_score_adjusted,recent_form_index,form_vs_baseline,recent_form_gate_applied,recent_form_gate_reason,form_delta_vts,injury_flag,health_gate_status,health_gate_reason,health_delta_vts,player_variance_band,volatility_index,venue_variance_class,variance_adjustment_trace,probability_compression_class,probability_compression_coefficients,probability_compression_trace,vts_final_raw,vts_final,tier,tier_reason,tier_gate_check,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,primary_trait_driver,trait_summary_label,trace_notes
1,3,"Koivun, Jackson",KOIVUN_JACKSON,confirmed,TBD,TBD,medium,medium,0.9275,90.9211691762622,85.60536859181347,-5.3158005844487235,medium,0.0,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",4,1.87,0.024,low,82.92606359526582,Blended,"{""neutral"": 0.5, ""venuefit"": 0.35, ""venuehistory"": 0.15}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,ARG_Rough,False,0.0,,1.7915,54.32,0.864,True,l5_form_applied,2.16,False,ok,,0.0,medium,50.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",85.08606359526581,85.08606359526581,1,Tier1 — Course Architect: NeutralSG=0.93+VFD=-5.3; 4CH-rds → elite birdie-fest fit at TPC Deere Run,ok,0.03150962777639687,0.6244797158264199,0.7127148961712183,0.823136780777128,0.889621928596489,0.930605281449292,0.069394718550708,PUTT_BirdieConv,PUTT_BirdieConv+PUTT_Lag; weak ARG_Rough,NeutralSG=0.93; VFD=-5.3; VHD=0.0(4rds); FormΔ=2.2; →Tier1 VTS=85.1
2,2,"Griffin, Ben",GRIFFIN_BEN,confirmed,TBD,TBD,deep,high,1.41,99.46855624446414,74.80987901703467,-24.658677227429465,high,-1.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",6,1.931,3.1336,medium,78.17046620289605,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,2.466,55.28,1.056,True,l5_form_applied,2.64,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",80.81046620289605,80.81046620289605,1,Tier1 — Course Architect: NeutralSG=1.41+VFD=-24.7; 6CH-rds → elite birdie-fest fit at TPC Deere Run,ok,0.023134537867533878,0.46822551438319876,0.5561954895902034,0.6840430805766643,0.7661704052247511,0.8177454678704905,0.18225453212950948,PAR5_Scoring,PAR5_Scoring+APP_100-150; weak OTT_Accuracy,NeutralSG=1.41; VFD=-24.7; VHD=3.1(6rds); FormΔ=2.6; →Tier1 VTS=80.8
3,17,"Wallace, Matt",WALLACE_MATT,confirmed,TBD,TBD,deep,high,0.44,82.28520814880427,71.5769066264611,-10.708301522343177,high,-0.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",2,-1.266,-0.027200000000000002,low,78.001887539867,Neutral+Venue,"{""neutral"": 0.6, ""venuefit"": 0.4, ""venuehistory"": 0.0}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,1.074,53.17,0.634,True,l5_form_applied,1.585,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",79.58688753986699,79.58688753986699,2,"Tier2 — Contention Window: NeutralSG=0.44, VFD=-10.7; 2CH-rds",ok,0.021599486020824343,0.44070629134443146,0.5298506832205584,0.6654543632836093,0.7546306894941969,0.8111162562926612,0.18888374370733885,APP_100-150,APP_100-150+APP_150-200; weak OTT_Accuracy,NeutralSG=0.44; VFD=-10.7; VHD=-0.0(2rds); FormΔ=1.6; →Tier2 VTS=79.6
4,31,"Kim, Tom",KIM_TOM,confirmed,TBD,TBD,deep,high,0.28,79.45084145261293,71.29106738160755,-8.159774071005387,high,0.0,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",2,0.159,-0.022400000000000003,low,76.18693182421077,Neutral+Venue,"{""neutral"": 0.6, ""venuefit"": 0.4, ""venuehistory"": 0.0}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,1.438,55.79,1.158,True,l5_form_applied,2.8949999999999996,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",79.08193182421077,79.08193182421077,2,"Tier2 — Contention Window: NeutralSG=0.28, VFD=-8.2; 2CH-rds",ok,0.020989606044252256,0.42935796244542784,0.5187997586717827,0.6574877422126804,0.7496392326963386,0.808244339036137,0.19175566096386298,APP_100-150,APP_100-150+APP_150-200; weak OTT_Accuracy,NeutralSG=0.28; VFD=-8.2; VHD=-0.0(2rds); FormΔ=2.9; →Tier2 VTS=79.1
5,4,"Fowler, Rickie",FOWLER_RICKIE,confirmed,TBD,TBD,deep,high,1.18,95.39415411868912,77.4081909008021,-17.98596321788702,high,0.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",6,0.762,0.39840000000000003,medium,76.49963891771627,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,ARG_Rough,False,0.0,,0.9679999999999999,48.94,-0.21200000000000005,True,l5_form_applied,-0.5300000000000001,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",75.96963891771627,75.96963891771627,2,"Tier2 — Contention Window: NeutralSG=1.18, VFD=-18.0; 6CH-rds",ok,0.017520110999163525,0.36052479118778397,0.4493168761733662,0.6048045170577478,0.7158281907745191,0.7886724882613945,0.21132751173860553,PAR5_Scoring,PAR5_Scoring+APP_100-150; weak ARG_Rough,NeutralSG=1.18; VFD=-18.0; VHD=0.4(6rds); FormΔ=-0.5; →Tier2 VTS=76.0
6,1,"Gotterup, Chris",GOTTERUP_CHRIS,confirmed,TBD,TBD,deep,high,1.44,100.0,75.24528993119566,-24.754710068804343,high,-2.6,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",10,1.23,2.6912000000000003,medium,78.3809469793587,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,bomb_and_spray;rough_approach_liab,-2.6740815638692284,-1.558139534883721,0.0,0.0,-1.1159420289855073,bomb_and_spray;rough_approach_liab,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,ARG_Rough,False,0.0,,2.42,54.9,0.98,True,l5_form_applied,2.45,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",75.48278385162024,75.48278385162024,2,"Tier2 — Contention Window: NeutralSG=1.44, VFD=-24.8; 10CH-rds",ok,0.017020494090052997,0.3500563632768413,0.4383652302515346,0.5960478269048081,0.7100572228024373,0.7853049122777983,0.2146950877222017,PAR5_Scoring,PAR5_Scoring+OTT_Distance; weak ARG_Rough,NeutralSG=1.44; VFD=-24.8; VHD=2.7(10rds); AP=-2.7SG(bomb_and_spray;rough_approach_liab); FormΔ=2.5; →Tier2 VTS=75.5
7,5,"Bridgeman, Jacob",BRIDGEMAN_JACOB,confirmed,TBD,TBD,deep,high,0.97,91.674047829938,75.3670881869283,-16.306959643009705,high,-0.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",6,0.873,2.0143999999999997,medium,74.88406558805369,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,1.032,50.31,0.062,True,l5_form_applied,0.155,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",75.03906558805369,75.03906558805369,2,"Tier2 — Contention Window: NeutralSG=0.97, VFD=-16.3; 6CH-rds",ok,0.01657486316553549,0.3406132465684269,0.42839559766984203,0.5879576290453561,0.7046831636969649,0.7821603113408941,0.21783968865910586,PAR5_Scoring,PAR5_Scoring+APP_100-150; weak OTT_Accuracy,NeutralSG=0.97; VFD=-16.3; VHD=2.0(6rds); FormΔ=0.2; →Tier2 VTS=75.0
8,6,"Bradley, Keegan",BRADLEY_KEEGAN,confirmed,TBD,TBD,deep,high,0.91,90.61116031886627,72.17425471253082,-18.436905606335444,high,-1.0,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",8,0.204,-1.82,medium,72.35074054130575,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,1.682,53.86,0.7719999999999999,True,l5_form_applied,1.9299999999999997,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",74.28074054130576,74.28074054130576,2,"Tier2 — Contention Window: NeutralSG=0.91, VFD=-18.4; 8CH-rds",ok,0.015834326104216853,0.32471328758851636,0.4114116665897499,0.573903236918218,0.6952464368845274,0.776616773132412,0.22338322686758805,PAR5_Scoring,PAR5_Scoring+APP_100-150; weak OTT_Accuracy,NeutralSG=0.91; VFD=-18.4; VHD=-1.8(8rds); FormΔ=1.9; →Tier2 VTS=74.3
9,35,"Bauchou, Zach",BAUCHOU_ZACH,confirmed,TBD,TBD,deep,high,0.18,77.67936226749336,72.97608525510582,-4.703277012387545,high,0.2,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",0,,0.0,none,75.79805146253834,Neutral+Venue,"{""neutral"": 0.6, ""venuefit"": 0.4, ""venuehistory"": 0.0}",clear,True,B,-1.75,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,1.2379999999999998,55.29,1.0579999999999998,True,l5_form_applied,2.6449999999999996,False,ok,,0.0,high,75.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",74.06805146253834,74.06805146253834,2,"Tier2 — Contention Window: NeutralSG=0.18, VFD=-4.7; 0CH-rds (debut); debut-B",ok,0.017976020393624025,0.3914923570038878,0.4970360494837724,0.6965596103722455,0.84644103008367,0.9472504144158588,0.05274958558414122,APP_100-150,APP_100-150+APP_150-200; weak OTT_Accuracy,NeutralSG=0.18; VFD=-4.7; VHD=0.0(0rds); debut-B pen=-1.8SG; FormΔ=2.6; →Tier2 VTS=74.1
10,13,"Cole, Eric",COLE_ERIC,confirmed,TBD,TBD,deep,high,0.59,84.94242692648362,69.32664773384232,-15.615779192641298,high,-2.2,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",14,0.117,0.5824,medium,69.94968509074614,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,2.114,57.62,1.524,True,l5_form_applied,3.81,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",73.75968509074615,73.75968509074615,2,"Tier2 — Contention Window: NeutralSG=0.59, VFD=-15.6; 14CH-rds",ok,0.015340598932001459,0.313978597145302,0.3998026898326756,0.5640902340903484,0.6885783788142636,0.7726818109493533,0.2273181890506467,APP_100-150,APP_100-150+APP_150-200; weak OTT_Accuracy,NeutralSG=0.59; VFD=-15.6; VHD=0.6(14rds); FormΔ=3.8; →Tier2 VTS=73.8
