Last Name,First Name,main-tour-inner,main-tour-hover,L5 Tournament-Type 1,L5 Tournament-Type 1,L5 Place-Type 1,L5 Tournament-Type 2,L5 Tournament-Type 2,L5 Place-Type 2,L5 Tournament-Type 3,L5 Tournament-Type 3,L5 Place-Type 3,L5 Tournament-Type 4,L5 Tournament-Type 4,L5 Place-Type 4,L5 Tournament-Type 5,L5 Tournament-Type 5,L5 Place-Type 5,SG-PUTT,SG-ARG
CLARK,WYNDHAM,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,1,the Memorial Tournament presented by Workday,PGA Tour,3,RBC Canadian Open,PGA Tour,T11,U.S. Open,Major,1,Travelers Championship,PGA Tour,T5,3.53,2.28
SCHEFFLER,SCOTTIE,PGA,PGA Tour,PGA Championship,Major,T14,THE CJ CUP Byron Nelson,PGA Tour,3,the Memorial Tournament presented by Workday,PGA Tour,T12,U.S. Open,Major,T4,Travelers Championship,PGA Tour,2,2.92,-0.27
BURNS,SAM,PGA,PGA Tour,PGA Championship,Major,T26,the Memorial Tournament presented by Workday,PGA Tour,T4,RBC Canadian Open,PGA Tour,T20,U.S. Open,Major,2,Travelers Championship,PGA Tour,T12,2.56,0.94
MCILROY,RORY,PGA,PGA Tour,Masters Tournament,Major,1,Truist Championship,PGA Tour,T19,PGA Championship,Major,T7,the Memorial Tournament presented by Workday,PGA Tour,T12,U.S. Open,Major,T32,2.43,0.25
THOMAS,JUSTIN,PGA,PGA Tour,PGA Championship,Major,T4,Charles Schwab Challenge,PGA Tour,T13,the Memorial Tournament presented by Workday,PGA Tour,T19,U.S. Open,Major,T17,Travelers Championship,PGA Tour,T14,2.19,1.08
FLEETWOOD,TOMMY,PGA,PGA Tour,PGA Championship,Major,CUT,the Memorial Tournament presented by Workday,PGA Tour,T4,RBC Canadian Open,PGA Tour,T11,U.S. Open,Major,T11,Travelers Championship,PGA Tour,T14,2.15,0.14
FITZPATRICK,MATT,PGA,PGA Tour,PGA Championship,Major,T14,the Memorial Tournament presented by Workday,PGA Tour,T36,RBC Canadian Open,PGA Tour,2,U.S. Open,Major,22,Travelers Championship,PGA Tour,4,2.11,0.05
RAHM,JON,LIV,LIV Golf,Virginia,LIV Golf,2,PGA Championship,Major,T8,Korea,LIV Golf,T2,Andalucia,LIV Golf,CUT,U.S. Open,Major,T16,1.96,-0.18
HATTON,TYRRELL,LIV,LIV Golf,Mexico City,LIV Golf,T7,Virginia,LIV Golf,T5,PGA Championship,Major,17,Andalucia,LIV Golf,1,U.S. Open,Major,CUT,1.93,1.04
SPAUN,J.J.,PGA,PGA Tour,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T6,the Memorial Tournament presented by Workday,PGA Tour,T12,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T7,1.93,0.48
RAI,AARON,PGA,PGA Tour,PGA Championship,Major,1,the Memorial Tournament presented by Workday,PGA Tour,T19,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,T11,Travelers Championship,PGA Tour,T30,1.84,0.9
CAULEY,BUD,PGA,PGA Tour,PGA Championship,Major,T26,the Memorial Tournament presented by Workday,PGA Tour,T22,RBC Canadian Open,PGA Tour,1,U.S. Open,Major,T56,Travelers Championship,PGA Tour,T14,1.81,1.14
CHACARRA,EUGENIO,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,1,Soudal Open,DP World Tour,T10,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T22,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T12,1.78,1.61
NIEMANN,JOAQUIN,LIV,LIV Golf,PGA Championship,Major,3,Korea,LIV Golf,T18,Andalucia,LIV Golf,T24,U.S. Open,Major,1,DS Automobiles 83° Open d’Italia,DP World Tour,T7,1.77,1.11
COLE,ERIC,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T31,the Memorial Tournament presented by Workday,PGA Tour,2,RBC Canadian Open,PGA Tour,T38,Travelers Championship,PGA Tour,8,1.76,1.17
FITZPATRICK,ALEX,PGA,PGA Tour,PGA Championship,Major,T75,the Memorial Tournament presented by Workday,PGA Tour,T6,RBC Canadian Open,PGA Tour,T20,U.S. Open,Major,T23,Travelers Championship,PGA Tour,T7,1.76,1.24
GRIFFIN,BEN,PGA,PGA Tour,PGA Championship,Major,T17,Charles Schwab Challenge,PGA Tour,T14,the Memorial Tournament presented by Workday,PGA Tour,T3,U.S. Open,Major,T10,Travelers Championship,PGA Tour,CUT,1.62,0.21
CANTLAY,PATRICK,PGA,PGA Tour,Truist Championship,PGA Tour,T10,PGA Championship,Major,T35,the Memorial Tournament presented by Workday,PGA Tour,T17,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T14,1.58,0.05
GOTTERUP,CHRIS,PGA,PGA Tour,Truist Championship,PGA Tour,T43,PGA Championship,Major,T14,the Memorial Tournament presented by Workday,PGA Tour,T10,U.S. Open,Major,T30,Travelers Championship,PGA Tour,T27,1.56,0.11
KIM,SI WOO,PGA,PGA Tour,PGA Championship,Major,T35,THE CJ CUP Byron Nelson,PGA Tour,2,the Memorial Tournament presented by Workday,PGA Tour,T10,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T44,1.56,0.11
REITAN,KRISTOFFER,PGA,PGA Tour,PGA Championship,Major,T44,the Memorial Tournament presented by Workday,PGA Tour,T6,RBC Canadian Open,PGA Tour,T60,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T22,1.54,0.64
ROSE,JUSTIN,PGA,PGA Tour,PGA Championship,Major,T10,the Memorial Tournament presented by Workday,PGA Tour,T12,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,T11,Travelers Championship,PGA Tour,T25,1.52,-0.03
HOVLAND,VIKTOR,PGA,PGA Tour,Truist Championship,PGA Tour,T31,PGA Championship,Major,CUT,RBC Canadian Open,PGA Tour,3,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,1,1.51,0.11
KITAYAMA,KURT,PGA,PGA Tour,Truist Championship,PGA Tour,T19,PGA Championship,Major,T10,the Memorial Tournament presented by Workday,PGA Tour,T22,U.S. Open,Major,T53,Travelers Championship,PGA Tour,T25,1.51,0.28
LOWRY,SHANE,PGA,PGA Tour,PGA Championship,Major,T44,the Memorial Tournament presented by Workday,PGA Tour,T22,RBC Canadian Open,PGA Tour,T29,U.S. Open,Major,CUT,Travelers Championship,PGA Tour,T22,1.47,0.32
MITCHELL,KEITH,PGA,PGA Tour,THE CJ CUP Byron Nelson,PGA Tour,T4,Charles Schwab Challenge,PGA Tour,5,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,T22,Travelers Championship,PGA Tour,T29,1.46,0.81
POSTON,J.T.,PGA,PGA Tour,PGA Championship,Major,T4,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,T35,U.S. Open,Major,69,Travelers Championship,PGA Tour,1,1.39,0.71
