Last Name,First Name,Events Last 12 Months,Rounds,Rounds-shotlink,Wins,Win %,sg-putt,sg-arg,sg-app,sg-ott,sg-t2g,sg-total,Driving-Distance,Driving-Accuracy
GOTTERUP,CHRIS,26,102,97,3,12%,0.42,0.02,0.35,0.71,1.08,1.44,16.6,-4.90%
GRIFFIN,BEN,29,104,98,1,3%,0.53,0.44,0.27,0.08,0.79,1.41,-0.1,0.40%
KOIVUN,JACKSON,19,62,20,0,0%,1.05,0.01,0.5,0.59,1.11,1.29,5.9,7.60%
FOWLER,RICKIE,23,80,78,0,0%,0.36,0.07,0.29,0.42,0.79,1.18,1.1,4.60%
BRIDGEMAN,JACOB,28,104,97,1,4%,0.48,0.12,0.3,0.16,0.58,0.97,1.9,1.40%
BRADLEY,KEEGAN,23,82,81,0,0%,0.07,0.42,0.16,0.28,0.86,0.91,5.7,-0.10%
SPIETH,JORDAN,21,80,80,0,0%,0.12,0.15,0.23,0.27,0.65,0.77,6.6,-1.60%
MEISSNER,MAC,27,92,82,0,0%,0.14,0.25,0.3,0.07,0.62,0.72,2.2,-1.30%
THORBJORNSEN,MICHAEL,27,97,85,0,0%,-0.13,0.1,0.08,0.47,0.65,0.71,10.2,2.60%
BEZUIDENHOUT,CHRISTIAAN,26,95,81,0,0%,0.29,0.32,0.39,-0.32,0.39,0.69,-14,5.20%
POSTON,J.T.,23,80,77,1,4%,0.13,-0.05,0.27,0.27,0.49,0.68,-5.2,4.70%
MITCHELL,KEITH,28,100,88,0,0%,-0.11,-0.08,0.22,0.63,0.76,0.66,8.8,-1.70%
COLE,ERIC,26,90,74,0,0%,0.47,0.35,0.38,-0.58,0.14,0.59,-3.5,-5.50%
KIM,MICHAEL,31,111,105,1,3%,0.4,0.07,0.36,-0.2,0.22,0.55,-4,-3.10%
MCCARTHY,DENNY,24,86,82,0,0%,0.61,0.07,0.2,-0.33,-0.06,0.51,-8.4,-1.10%
HOMA,MAX,24,84,73,0,0%,0.3,-0.08,0.19,0.17,0.28,0.49,3.1,-0.40%
WALLACE,MATT,31,111,95,0,0%,0.09,0.19,0.36,-0.11,0.44,0.44,-1.7,-0.40%
COODY,PIERCESON,34,117,77,0,0%,0.12,-0.28,0.17,0.6,0.49,0.43,12.5,-1.10%
BERGER,DANIEL,21,75,72,0,0%,-0.17,-0.29,0.7,0.2,0.61,0.42,2.2,2.90%
BRENNAN,MICHAEL,31,109,55,4,13%,-0.22,-0.37,0.01,0.93,0.56,0.4,17.9,1.60%
THOMPSON,DAVIS,24,81,73,0,0%,-0.17,0.05,0.1,0.28,0.43,0.39,3.3,3.50%
GHIM,DOUG,25,91,67,0,0%,-0.41,0.21,0.23,0.49,0.94,0.38,1.5,4.40%
OLESEN,THORBJORN,28,94,84,0,0%,-0.04,0.04,0.14,0.21,0.38,0.38,0.4,-0.30%
PENDRITH,TAYLOR,23,81,78,0,0%,-0.13,0.03,0.03,0.47,0.54,0.36,9.9,-2.10%
MCGREEVY,MAX,32,102,78,0,0%,-0.35,0.09,0.11,0.31,0.5,0.35,-4.7,6.20%
HOEY,RICO,30,107,89,0,0%,-0.55,-0.16,0.35,0.48,0.67,0.34,5.7,3.40%
MOUW,WILLIAM,24,81,69,1,4%,-0.03,-0.1,0.15,0.26,0.31,0.34,4.8,2.70%
GREYSERMAN,MAX,26,78,67,0,0%,0.15,0.09,0,-0.11,-0.03,0.33,7.5,-5.40%
NOVAK,ANDREW,27,95,91,0,0%,-0.15,0.1,0.22,0.08,0.4,0.3,-0.7,-0.90%
PUTNAM,ANDREW,30,97,73,0,0%,0.31,0.49,0.22,-0.58,0.13,0.28,-21.6,10.50%
KIM,TOM,24,83,76,0,0%,-0.03,0.21,0.36,-0.23,0.34,0.28,-5.1,3.10%
IM,SUNGJAE,26,90,78,0,0%,0.13,0.47,-0.56,0.28,0.18,0.22,-1.5,2.50%
KUCHAR,MATT,19,62,50,0,0%,0.53,0.18,-0.1,-0.47,-0.4,0.19,-19.7,6.60%
YELLAMARAJU,SUDARSHAN,31,107,58,0,0%,0.27,-0.05,0.21,0.48,0.63,0.18,9.1,1.80%
BAUCHOU,ZACH,27,96,47,1,4%,0.06,0.18,0.41,-0.1,0.49,0.18,-4,-0.80%
BLANCHET,CHANDLER,27,91,44,2,7%,-0.37,-0.52,0.1,0.14,-0.28,0.16,-7.4,8.80%
