player_name,2021 (John Deere Classic),2022 (John Deere Classic),2023 (John Deere Classic),2024 (John Deere Classic),2025 (John Deere Classic),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Johnson, Zach",T34,T60,T35,T26,T44,82,1.211,0.653,0.108,0.085
"Byrd, Jonathan",CUT,T43,CUT,null,null,52,0.051,0.184,0.019,0.085
"Glover, Lucas",1,CUT,T6,T23,T5,48,0.769,0.399,0.038,0.085
"Villegas, Camilo",T41,CUT,null,CUT,T33,42,-0.381,0.011,0.001,0.085
"Streelman, Kevin",CUT,T41,T51,T46,null,40,0.292,-0.054,-0.004,0.085
"Rodgers, Patrick",T23,T30,CUT,T34,CUT,38,0.445,0.327,0.025,0.085
"Merritt, Troy",CUT,null,T17,CUT,null,34,-0.409,-0.089,-0.006,0.082
"Malnati, Peter",T58,T30,CUT,CUT,CUT,30,-0.696,-0.124,-0.007,0.07
"Streb, Robert",CUT,CUT,T42,null,null,29,-0.477,-0.502,-0.029,0.067
"Todd, Brendon",null,T43,T2,T12,null,28,-0.999,-0.256,-0.014,0.064
"Power, Seamus",T8,null,T13,17,T44,28,1.008,1.061,0.06,0.064
"Hubbard, Mark",T41,T13,T6,T32,T33,28,0.687,0.649,0.037,0.064
"Garnett, Brice",CUT,CUT,CUT,T34,CUT,26,-0.898,-0.63,-0.033,0.058
"Poston, J.T.",CUT,1,T6,T30,CUT,26,0.212,-0.006,0,0.058
"Kizzire, Patton",T11,T16,CUT,CUT,T54,24,0.331,0.786,0.038,0.052
"McCarthy, Denny",CUT,T6,T6,T7,T11,24,1.211,0.73,0.035,0.052
"Kim, Michael",CUT,null,CUT,CUT,CUT,22,-0.302,0.218,0.01,0.046
"Laird, Martin",T28,T30,CUT,CUT,CUT,22,0.071,0.21,0.009,0.046
"Kuchar, Matt",null,null,67,CUT,T5,22,-0.178,-0.121,-0.005,0.046
"Martin, Ben",CUT,CUT,CUT,null,CUT,22,0.279,0.505,0.022,0.046
"Noh, S.Y.",null,T43,T63,CUT,null,21,-0.226,0.083,0.004,0.043
"Spieth, Jordan",null,null,null,T26,null,20,1.82,0.753,0.03,0.04
"Hardy, Nick",null,T30,T21,CUT,CUT,20,-0.085,0.214,0.009,0.04
"List, Luke",T4,null,null,CUT,CUT,20,-0.521,-0.312,-0.013,0.04
"Blair, Zac",null,null,CUT,T46,T33,20,-0.398,-0.04,-0.002,0.04
"Svensson, Adam",null,T24,T21,T34,T44,20,0.69,0.556,0.022,0.04
"Ghim, Doug",T18,CUT,T26,T34,T31,19,0.266,-0.149,-0.006,0.037
"Schenk, Adam",T4,WD,T4,CUT,CUT,19,0.677,0.701,0.027,0.037
"Frittelli, Dylan",CUT,T30,CUT,T52,CUT,18,0.333,0.777,0.028,0.034
"Hossler, Beau",CUT,null,T26,T61,T11,18,0.46,0.392,0.014,0.034
"Mitchell, Keith",CUT,null,T42,T18,T44,18,0.657,0.313,0.011,0.034
"Champ, Cameron",T11,CUT,T51,CUT,T27,18,-0.173,0.152,0.005,0.034
"Dahmen, Joel",null,null,CUT,T46,T57,18,-0.638,-0.588,-0.021,0.034
"Duncan, Tyler",CUT,WD,T61,CUT,null,17,-0.132,0.047,0.002,0.031
"Gomez, Fabian",WD,T43,null,null,null,17,-0.478,0.109,0.004,0.031
"Im, Sungjae",T47,null,null,T12,CUT,14,0.565,-0.375,-0.011,0.022
"Lipsky, David",null,T24,CUT,T61,T3,14,0.568,0.955,0.027,0.022
