Last Name,First Name,Short Game,Approach,Driving-Distance,Driving-Accuracy,Total SG Adjustment,Putting 2-5ft,Putting 5-30ft,Putting 30+ ft,Course-Fairway,Course-Rough,Course-Bunker,Approach 50-100yds,Approach 100-150 yds,Approach 150-200 yds,Approach 200+ yds
GLOVER,LUCAS,0.05,0,0.03,0.11,0.19,6.9,11.9,3.6,3,2,1.3,1.6,6,6.2,3.7
DAHMEN,JOEL,0.06,0,0.02,0.09,0.17,6.9,12,3.6,3,2,1.3,1.6,6,6.2,3.7
KOHLES,BEN,0.03,0,0.02,0.11,0.16,6.9,11.9,3.5,2.9,1.8,1.2,1.6,6,6.2,3.7
ROZO,MARCELO,0.07,0,0.02,0.06,0.15,6.9,11.9,3.6,3.1,2.1,1.4,1.7,6,6.1,3.6
CHATFIELD,DAVIS,0.02,0,0.04,0.09,0.14,6.9,11.8,3.6,3.2,2.2,1.4,1.6,6,6.4,3.7
FISHER,DARIN,0.14,0.01,0.04,-0.04,0.14,7.1,12,4,3.6,2.8,1.8,1.8,6,6.2,3.6
BLANCHET,CHANDLER,0.04,0,0.01,0.09,0.14,7,12,3.6,3.1,2,1.3,1.7,6,6.1,3.6
DUNCAN,TYLER,0.03,0,0.02,0.08,0.14,6.9,11.9,3.6,3.2,2.2,1.4,1.7,6,6.2,3.6
PETERSON,PAUL,-0.01,0,0.05,0.09,0.13,6.9,11.7,3.6,3,2.1,1.5,1.5,5.9,6.5,3.8
BLAIR,ZAC,0.01,0,0.04,0.08,0.12,6.9,11.8,3.5,2.9,1.9,1.3,1.6,6,6.3,3.7
GOMEZ,FABIAN,0.02,0,0.03,0.07,0.12,6.9,11.7,3.6,3.1,2.1,1.4,1.6,6,6.2,3.7
GRILLO,EMILIANO,0.02,0,0.01,0.09,0.12,6.9,11.9,3.6,3,2,1.3,1.7,6,6.1,3.6
JOHNSON,ZACH,-0.02,0,0.04,0.09,0.12,6.9,11.7,3.6,3.1,2.1,1.4,1.6,6,6.4,3.7
HIRATA,KENSEI,0.01,0,0.02,0.08,0.11,6.9,11.8,3.6,3.2,2.2,1.4,1.7,6,6.2,3.6
SMOTHERMAN,AUSTIN,0.05,0,0,0.07,0.11,7,12,3.6,3,1.9,1.2,1.8,6.1,6,3.5
LINDHEIM,NICHOLAS,0.05,0,0.02,0.04,0.11,7,11.9,3.7,3.3,2.4,1.5,1.7,6,6.1,3.6
GARNETT,BRICE,0,0,0.03,0.08,0.11,6.9,11.8,3.6,3.1,2.1,1.4,1.6,6,6.2,3.7
PUTNAM,ANDREW,-0.06,0,0.05,0.11,0.1,6.8,11.5,3.5,2.9,2,1.4,1.5,5.9,6.4,3.8
CAMPBELL,BRIAN,-0.01,0,0.05,0.06,0.1,6.9,11.7,3.6,3.1,2.2,1.5,1.6,5.9,6.4,3.7
HODGES,LEE,0.02,0,0.01,0.06,0.09,7,11.9,3.6,3,2,1.3,1.7,6.1,6.1,3.6
MCGREEVY,MAX,0.01,0,0.01,0.07,0.09,6.9,11.8,3.5,3,1.9,1.3,1.7,6.1,6.1,3.6
LOWER,JUSTIN,0.03,0,0.02,0.03,0.08,6.9,11.8,3.6,3.2,2.2,1.4,1.7,6,6.1,3.6
YOUNG,CARSON,0.01,0,0.01,0.05,0.08,7,11.9,3.6,3.1,2.1,1.3,1.7,6.1,6.1,3.6
SHIPLEY,NEAL,0.05,0,-0.01,0.04,0.07,7,12,3.6,3.2,2.1,1.3,1.9,6.1,5.8,3.5
STREELMAN,KEVIN,0.03,0,0.02,0.02,0.07,6.9,11.8,3.6,3.1,2.2,1.4,1.8,6,6.1,3.6
SVENSSON,ADAM,0.01,0,0.02,0.04,0.07,6.8,11.7,3.5,3,2,1.3,1.7,6,6.1,3.6
KUCHAR,MATT,-0.04,0,0.04,0.06,0.06,6.9,11.6,3.5,3.1,2.1,1.4,1.6,6,6.3,3.7
KIM,CHAN,0.01,0,0.01,0.05,0.06,6.8,11.7,3.5,3.1,2.1,1.3,1.8,6.1,6,3.5
MARTIN,BEN,0.04,0,0.02,0,0.06,6.9,11.8,3.7,3.2,2.3,1.5,1.8,6,6.1,3.5
GHIM,DOUG,0.01,0,0,0.05,0.06,6.8,11.8,3.5,3,1.9,1.2,1.8,6.1,5.9,3.5
LAIRD,MARTIN,0.02,0,0.02,0.02,0.06,6.9,11.7,3.6,3.2,2.2,1.5,1.8,6,6.1,3.6
GOODWIN,NOAH,0.02,0,0.01,0.03,0.06,6.9,11.8,3.6,3.2,2.2,1.4,1.8,6.1,6,3.5
BERGER,DANIEL,0.02,0,0,0.04,0.06,6.9,11.9,3.6,2.9,1.8,1.2,1.8,6.1,5.9,3.5
FEAGLES,MICHAEL,0.05,0,0.02,-0.01,0.05,7,11.9,3.7,3.3,2.3,1.5,1.8,6.1,6.1,3.5
LIPSKY,DAVID,0,0,0.02,0.02,0.05,6.8,11.7,3.5,3,2.1,1.4,1.7,6,6.1,3.6
HOEY,RICO,0.02,0,-0.01,0.04,0.05,6.9,11.9,3.5,3,2,1.2,1.9,6.1,5.8,3.5
HISATSUNE,RYO,0.01,0,0,0.04,0.04,6.9,11.9,3.5,2.9,1.9,1.2,1.8,6.1,5.9,3.5
KANAYA,TAKUMI,-0.04,0,0.02,0.06,0.04,6.9,11.6,3.5,3.2,2.3,1.4,1.7,6,6.2,3.6
HUBBARD,MARK,0.03,0,0.01,0,0.04,6.9,11.8,3.6,3,2,1.3,1.8,6.1,6,3.5
POSTON,J.T.,-0.02,0,0.01,0.05,0.04,6.9,11.8,3.5,3,1.9,1.3,1.8,6.1,6,3.6
SILVERMAN,BEN,0,0,0.02,0.02,0.04,7,11.8,3.6,3.2,2.2,1.5,1.8,6,6.1,3.6
HOWELL,MASON,0.08,0,-0.02,-0.03,0.03,7.1,12.1,3.8,3.4,2.4,1.4,2,6.2,5.7,3.3
BEZUIDENHOUT,CHRISTIAAN,-0.05,0,0.03,0.05,0.03,6.9,11.6,3.5,2.9,1.9,1.3,1.7,6,6.2,3.6
ECKROAT,AUSTIN,0.02,0,0,0.01,0.03,7,12,3.6,3,2,1.3,1.8,6.1,5.9,3.5
STOUT,PRESTON,0.05,0,-0.02,0,0.03,7,12,3.6,3.2,2.1,1.3,1.9,6.2,5.7,3.4
WU,DYLAN,0.02,0,0.01,0,0.03,6.9,11.8,3.6,3,2.1,1.4,1.8,6.1,6,3.5
MERRITT,TROY,0.01,0,0.02,0,0.03,6.9,11.8,3.6,3.2,2.3,1.5,1.8,6,6.1,3.5
FOWLER,RICKIE,-0.02,0,0,0.04,0.02,6.9,11.8,3.5,3,2,1.3,1.8,6.1,5.9,3.5
HOGE,TOM,0.02,0,0.02,-0.01,0.02,6.9,11.8,3.6,2.9,1.9,1.4,1.8,6.1,6.1,3.5
VOOIS,RYAN,0.03,0,0.01,-0.01,0.02,6.9,11.8,3.7,3.2,2.3,1.5,1.9,6.1,6,3.5
TODD,BRENDON,-0.04,0.01,0.05,0.01,0.02,6.9,11.4,3.6,3.5,2.6,1.7,1.7,5.9,6.4,3.7
MOUW,WILLIAM,0.02,0,-0.01,0.02,0.02,6.9,11.9,3.6,3.1,2,1.3,1.9,6.1,5.8,3.4
PAVON,MATTHIEU,0.01,0,0,0.01,0.02,7,11.9,3.6,3.1,2.1,1.3,1.9,6.1,5.9,3.5
BYRD,JONATHAN,-0.01,0,0.03,-0.01,0.02,6.8,11.5,3.6,3.2,2.3,1.6,1.7,6,6.2,3.6
POWER,SEAMUS,-0.02,0,0.01,0.03,0.02,6.9,11.7,3.5,3.1,2.1,1.4,1.8,6.1,6,3.5
HADWIN,ADAM,0.01,0,0,0,0.01,7,11.8,3.6,3.2,2.2,1.4,1.9,6.1,5.9,3.5
STREB,ROBERT,0.05,0,0.02,-0.05,0.01,6.9,11.8,3.7,3.3,2.3,1.6,1.9,6.1,6,3.5
LI,HAOTONG,0.03,0,-0.01,-0.01,0.01,7,12,3.6,3,2,1.3,1.9,6.2,5.8,3.4
KEEFER,JOHNNY,0.05,0,-0.03,-0.01,0.01,7,12.1,3.6,3,1.9,1.2,2,6.2,5.6,3.3
THOMPSON,DAVIS,0,0,-0.01,0.02,0.01,6.9,11.8,3.5,3,2,1.3,1.9,6.1,5.8,3.5
NAKAJIMA,KEITA,0,0,0,0.01,0.01,7,11.9,3.6,3.1,2.1,1.3,1.9,6.1,5.9,3.5
LEBIODA,HANK,0.02,0,0.01,-0.02,0.01,6.9,11.8,3.6,3,2.1,1.4,1.9,6.1,6,3.5
BAUCHOU,ZACH,0,0,0.01,0,0.01,6.9,11.8,3.5,2.9,1.9,1.3,1.8,6.1,6,3.5
NOVAK,ANDREW,0,0,0,0.01,0,6.9,11.8,3.5,2.9,1.9,1.2,1.9,6.1,5.9,3.5
KIM,TOM,-0.03,0,0.01,0.03,0,6.8,11.7,3.5,2.9,1.9,1.3,1.8,6.1,6,3.5
CAMPOS,RAFAEL,0.07,0,0,-0.07,0,7,12,3.7,3.2,2.2,1.5,2,6.1,5.9,3.4
LIST,LUKE,0.04,0,-0.01,-0.03,0,6.9,11.9,3.7,3.3,2.3,1.4,2,6.1,5.8,3.4
CLANTON,LUKE,0.03,0,-0.01,-0.02,0,7,11.9,3.6,3,2,1.4,1.9,6.1,5.8,3.4
GRIFFIN,LANTO,0,0,0.01,0,0,6.9,11.8,3.6,3.1,2.1,1.4,1.8,6.1,6,3.5
HIGGS,HARRY,0.03,0,-0.01,-0.03,0,7,11.9,3.7,3.2,2.2,1.4,1.9,6.1,5.8,3.4
OLESEN,THORBJORN,0,0,0,0,0,6.9,11.8,3.5,3,2,1.3,1.9,6.1,5.9,3.5
SCHENK,ADAM,0.04,0,0,-0.04,0,6.9,11.9,3.6,3.2,2.2,1.4,1.9,6.1,5.9,3.4
GORDON,WILL,0.05,0,-0.01,-0.04,0,7,11.9,3.7,3.3,2.3,1.4,2,6.2,5.7,3.4
KOIVUN,JACKSON,-0.03,0,-0.01,0.03,0,7,11.9,3.5,3,2,1.2,1.9,6.1,5.8,3.5
BREHM,RYAN,0.08,0,-0.02,-0.07,0,7,12,3.8,3.4,2.4,1.5,2,6.2,5.7,3.3
BRENNAN,MICHAEL,0.03,0,-0.04,0,-0.01,7,12,3.6,3.1,2,1.2,2,6.2,5.5,3.3
HIGHSMITH,JOE,0.03,0,0,-0.03,-0.01,6.9,11.8,3.6,3.2,2.2,1.4,1.9,6.1,5.9,3.4
BROWN,BLADES,0,0,-0.01,0,-0.01,7,11.9,3.6,3.1,2,1.3,1.9,6.1,5.8,3.4
YU,KEVIN,0.01,0,-0.02,0,-0.01,6.9,11.9,3.5,3.1,2,1.3,1.9,6.2,5.7,3.4
RAMEY,CHAD,-0.02,0,0,0,-0.01,6.9,11.8,3.6,3.2,2.2,1.4,1.8,6.1,6,3.5
PHILLIPS,CHANDLER,-0.03,0,0.01,0,-0.01,6.9,11.6,3.6,3.2,2.3,1.5,1.8,6.1,6,3.5
SKINNS,DAVID,0.02,0,0,-0.04,-0.01,6.9,11.9,3.6,3.1,2.1,1.4,1.9,6.1,5.9,3.4
VANDERLAAN,JOHN,0.01,0,0,-0.02,-0.01,6.9,11.8,3.6,3.2,2.3,1.4,1.9,6.1,5.9,3.4
