player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,venue_history_rounds,venue_history_sg,versus_expected,ch_adjustment,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,sg_rounds_12m,wins_12m,win_rate_12m,dd_delta,da_delta,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,data_depth_class,baseline_confidence_band,debut_flag,debut_class,injury_flag
3,"Koivun, Jackson",KOIVUN_JACKSON,confirmed,TBD,TBD,4,1.87,1.747,0.014,1.29,0.59,0.5,0.01,1.05,1.11,62,0.0,0.0,5.9,7.6,0.0,-0.03,0.0,-0.01,0.03,7.0,11.9,2.0,1.2,1.9,6.1,5.8,3.5,medium,medium,False,,False
2,"Griffin, Ben",GRIFFIN_BEN,confirmed,TBD,TBD,6,1.931,1.282,0.015,1.41,0.08,0.27,0.44,0.53,0.79,104,1.0,0.03,-0.1,0.4,-0.07,-0.08,0.0,0.0,0.01,6.8,11.6,1.9,1.3,1.9,6.1,5.9,3.5,deep,high,False,,False
17,"Wallace, Matt",WALLACE_MATT,confirmed,TBD,TBD,2,-1.266,-0.831,-0.003,0.44,-0.11,0.36,0.19,0.09,0.44,111,0.0,0.0,-1.7,-0.4,-0.02,-0.02,0.0,0.0,0.0,6.8,11.7,1.9,1.3,1.9,6.1,5.9,3.5,deep,high,False,,False
31,"Kim, Tom",KIM_TOM,confirmed,TBD,TBD,2,0.159,-0.068,0.0,0.28,-0.23,0.36,0.21,-0.03,0.34,83,0.0,0.0,-5.1,3.1,0.0,-0.03,0.0,0.01,0.03,6.8,11.7,1.9,1.3,1.8,6.1,6.0,3.5,deep,high,False,,False
4,"Fowler, Rickie",FOWLER_RICKIE,confirmed,TBD,TBD,6,0.762,0.164,0.002,1.18,0.42,0.29,0.07,0.36,0.79,80,0.0,0.0,1.1,4.6,0.02,-0.02,0.0,0.0,0.04,6.9,11.8,2.0,1.3,1.8,6.1,5.9,3.5,deep,high,False,,False
1,"Gotterup, Chris",GOTTERUP_CHRIS,confirmed,TBD,TBD,10,1.23,1.078,0.022,1.44,0.71,0.35,0.02,0.42,1.08,102,3.0,0.12,16.6,-4.9,-0.13,-0.03,0.0,-0.04,-0.06,7.0,11.9,1.9,1.2,2.1,6.2,5.5,3.2,deep,high,False,,False
5,"Bridgeman, Jacob",BRIDGEMAN_JACOB,confirmed,TBD,TBD,6,0.873,0.824,0.01,0.97,0.16,0.3,0.12,0.48,0.58,104,1.0,0.04,1.9,1.4,-0.02,-0.04,0.0,0.0,0.02,6.9,11.8,1.9,1.3,1.9,6.1,5.9,3.5,deep,high,False,,False
6,"Bradley, Keegan",BRADLEY_KEEGAN,confirmed,TBD,TBD,8,0.204,-0.741,-0.012,0.91,0.28,0.16,0.42,0.07,0.86,82,0.0,0.0,5.7,-0.1,-0.05,-0.04,0.0,-0.01,0.0,6.8,11.7,1.9,1.2,1.9,6.1,5.8,3.4,deep,high,False,,False
35,"Bauchou, Zach",BAUCHOU_ZACH,confirmed,TBD,TBD,0,,,,0.18,-0.1,0.41,0.18,0.06,0.49,96,1.0,0.04,-4.0,-0.8,0.01,0.0,0.0,0.01,0.0,6.9,11.8,1.9,1.3,1.8,6.1,6.0,3.5,deep,high,True,B,False
13,"Cole, Eric",COLE_ERIC,confirmed,TBD,TBD,14,0.117,0.218,0.006,0.59,-0.58,0.38,0.35,0.47,0.14,90,0.0,0.0,-3.5,-5.5,-0.11,-0.07,0.0,0.01,-0.05,6.8,11.6,1.9,1.3,1.9,6.1,5.9,3.4,deep,high,False,,False
