#,Player,Masters,Valero,Houston,Valspar,PLAYERS
1,Matt Fitzpatrick,T18,-,-,1,2
2,Cameron Young,T3,-,-,-,1
3,Gary Woodland,T33,-,1,T14,CUT
4,J.J. Spaun,CUT,1,-,CUT,T24
5,Xander Schauffele,T9,-,-,T4,3
6,Ludvig Aberg,T21,T5,-,-,T5
7,Sudarshan Yellamaraju,-,T14,T6,-,T5
8,Tommy Fleetwood,T33,T10,-,-,T8
9,Robert MacIntyre,CUT,T2,-,-,4
10,Sam Burns,T7,-,T21,-,T13
11,Ryo Hisatsune,-,T8,-,T30,T13
12,Marco Penge,T49,T21,CUT,T4,CUT
13,Stephan Jaeger,-,T59,T28,T7,T62
14,Andrew Putnam,-,T5,T44,T30,T32
15,Nicolai Hojgaard,CUT,-,2,T55,T27
16,Michael Kim,CUT,T2,-,T30,CUT
17,Jacob Bridgeman,T41,-,-,T14,T5
18,Patrick Cantlay,T12,-,-,T7,T32
19,Jason Day,T12,-,T6,-,T59
20,Chris Gotterup,T24,-,T6,-,T56
21,Sam Stevens,T24,-,5,-,58
22,Justin Thomas,T41,-,-,T30,T8
23,Russell Henley,T3,CUT,-,-,T13
24,Jake Knapp,11,-,T6,-,CUT
25,Justin Rose,T3,-,-,-,T13
26,Scottie Scheffler,2,-,-,-,T22
27,Johnny Keefer,CUT,CUT,T3,CUT,CUT
28,Sungjae Im,46,-,T60,T4,CUT
29,Max Homa,T9,CUT,-,CUT,T32
30,Jordan Smith,-,CUT,T44,3,CUT
31,Si Woo Kim,47,T10,-,-,T50
32,Matt Wallace,-,T2,T51,T40,-
33,Min Woo Lee,CUT,-,T3,-,T32
34,Sepp Straka,T41,CUT,-,-,T8
35,Sahith Theegala,-,-,T10,CUT,T32
36,David Lipsky,-,-,CUT,2,-
37,Collin Morikawa,T7,-,-,-,WD
38,Alex Smalley,-,T14,T21,T46,T24
39,Brooks Koepka,T12,-,CUT,T18,T13
40,Jordan Spieth,T12,T63,-,T11,T32
41,Michael Brennan,T24,-,T28,CUT,69
42,A.J. Ewart,-,T30,CUT,T11,CUT
43,Denny McCarthy,-,CUT,T12,T26,CUT
44,Corey Conners,T49,-,-,T14,T13
45,Adrien Dumont de Chassart,-,T49,T12,T26,-
46,Maverick McNealy,T18,T21,-,-,T32
47,Alex Noren,T30,T30,-,-,T32
48,Harris English,T30,-,T21,-,CUT
49,Viktor Hovland,T18,-,-,CUT,T13
50,Shane Lowry,T30,-,T28,-,CUT
51,Michael Thorbjornsen,-,CUT,T14,-,T22
52,Tony Finau,-,T49,T39,T18,T70
53,Nick Taylor,T41,T28,-,CUT,T42
54,Wyndham Clark,T21,-,CUT,CUT,T42
55,Ben Griffin,T33,-,T28,CUT,CUT
56,Matt McCarty,T24,T39,-,CUT,CUT
57,Andrew Novak,CUT,T14,-,T55,CUT
58,Patrick Rodgers,-,CUT,CUT,T40,T11
59,Karl Vilips,-,CUT,T19,T64,CUT
60,Keegan Bradley,T21,-,-,T55,T50
61,Bud Cauley,-,T21,-,74,T32
62,Brian Harman,T33,T39,-,-,T11
63,John Parry,-,T14,T48,T55,-
64,Ryan Gerard,T38,-,CUT,-,T27
65,Keith Mitchell,-,CUT,T14,-,T46
66,William Mouw,-,CUT,T44,-,T24
67,J.T. Poston,-,T21,CUT,-,T50
68,Austin Smotherman,-,T36,-,CUT,T13
69,Chandler Blanchet,-,CUT,CUT,T18,-
70,Brian Campbell,T24,-,CUT,WD,CUT
71,Harry Hall,CUT,-,T28,-,CUT
72,Aldrich Potgieter,CUT,-,T21,-,CUT
73,Sami Valimaki,CUT,T14,-,-,CUT
74,Jhonattan Vegas,-,CUT,T14,-,CUT
75,Akshay Bhatia,CUT,-,-,-,T13
76,Steven Fisk,-,T54,T48,CUT,T62
77,Joe Highsmith,-,T67,CUT,CUT,T42
78,Taylor Moore,-,T39,CUT,CUT,T50
79,Garrick Higgo,-,CUT,T69,CUT,CUT
80,Adam Schenk,-,T39,CUT,CUT,CUT
81,Ricky Castillo,-,-,T44,T46,T70
82,Matti Schmid,-,-,74,T40,T46
83,Billy Horschel,-,T36,CUT,T68,-
84,Kurt Kitayama,51,-,T60,-,CUT
85,Nico Echavarria,CUT,-,CUT,-,T66
86,Rickie Fowler,-,CUT,CUT,-,T42
87,Tom Hoge,-,CUT,T71,-,CUT
88,Taylor Pendrith,-,-,CUT,CUT,T46
89,Lucas Glover,-,WD,CUT,CUT,CUT
90,Daniel Berger,CUT,-,-,-,T66
91,Pierceson Coody,-,-,WD,T55,CUT
92,Ryan Fox,CUT,-,CUT,-,-
