RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,47420,Jake Knapp,69.120,2049,24.587,30
2,1,46046,Scottie Scheffler,69.493,1917,28.792,28
3,4,28237,Rory McIlroy,69.599,1242,10.782,18
4,2,50525,Collin Morikawa,69.692,1515,18.227,22
5,-3,60004,Jacob Bridgeman,69.767,2480,31.603,36
6,-2,52453,Nicolai Højgaard,69.919,2090,7.582,30
7,4,57366,Cameron Young,69.928,1939,18.984,28
8,4,48081,Xander Schauffele,70.037,2085,16.119,30
9,-1,59095,Chris Gotterup,70.057,2359,22.932,34
10,-1,40098,Matt Fitzpatrick,70.107,2216,27.422,32
11,-6,37378,Min Woo Lee,70.110,2073,30.310,30
12,9,34098,Russell Henley,70.136,1937,26.813,28
13,1,60386,Sudarshan Yellamaraju,70.179,2423,33.275,35
14,0,32839,Hideki Matsuyama,70.181,2499,27.513,36
15,2,51634,Sahith Theegala,70.226,2630,38.576,38
16,0,24502,Adam Scott,70.284,2223,26.085,32
17,-7,52215,Robert MacIntyre,70.334,2079,31.011,30
18,4,51287,Ryo Hisatsune,70.362,2636,37.747,38
19,-6,37455,Si Woo Kim,70.381,2775,40.240,40
20,-2,59018,Ryan Gerard,70.394,2501,33.182,36
21,-2,33204,Shane Lowry,70.412,1672,17.880,24
22,1,46442,Maverick McNealy,70.436,2371,23.809,34
23,1,59440,Ricky Castillo,70.440,2226,28.078,32
24,-4,56630,Akshay Bhatia,70.512,1877,26.829,27
25,24,47504,Sam Burns,70.587,1811,24.258,26
26,3,46340,Alex Smalley,70.595,2644,38.620,38
27,0,55893,Sam Stevens,70.596,2646,36.639,38
28,0,52955,Ludvig Åberg,70.606,1950,26.976,28
29,1,50497,Adrien Dumont de Chassart,70.614,2229,30.663,32
30,8,36689,Brooks Koepka,70.618,1691,3.831,24
31,-6,30911,Tommy Fleetwood,70.621,1679,15.909,24
32,-1,46464,Jordan Smith,70.624,2092,26.711,30
