RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,47420,Jake Knapp,2.002,50.042,17.915,32.126,25
2,0,60004,Jacob Bridgeman,1.933,57.994,17.820,40.174,30
3,0,46046,Scottie Scheffler,1.868,41.098,29.068,12.029,22
4,0,28237,Rory McIlroy,1.785,24.984,27.055,-2.071,14
5,0,37378,Min Woo Lee,1.693,44.012,32.123,11.889,26
6,0,56630,Akshay Bhatia,1.646,36.207,20.154,16.053,22
7,0,40098,Matt Fitzpatrick,1.584,41.173,43.342,-2.170,26
8,0,57366,Cameron Young,1.574,36.209,29.002,7.205,23
9,0,52453,Nicolai Højgaard,1.568,42.345,29.165,13.180,27
10,0,52955,Ludvig Åberg,1.540,32.338,27.568,4.768,21
11,0,50525,Collin Morikawa,1.530,27.542,29.626,-2.085,18
12,0,48081,Xander Schauffele,1.443,36.071,27.352,8.718,25
13,0,52215,Robert MacIntyre,1.397,36.311,13.730,22.581,26
14,0,30911,Tommy Fleetwood,1.343,26.858,32.113,-5.256,20
15,0,60386,Sudarshan Yellamaraju,1.340,37.522,20.275,17.248,28
16,0,59095,Chris Gotterup,1.335,38.702,38.021,.680,29
17,0,51287,Ryo Hisatsune,1.238,43.341,44.303,-.963,35
18,0,37455,Si Woo Kim,1.236,40.788,53.668,-12.882,33
19,0,32839,Hideki Matsuyama,1.197,37.119,28.719,8.399,31
20,0,34098,Russell Henley,1.186,26.083,14.261,11.821,22
21,0,24502,Adam Scott,1.095,27.385,28.110,-.725,25
22,0,46442,Maverick McNealy,0.994,28.826,20.517,8.308,29
23,0,33204,Shane Lowry,0.944,18.881,11.910,6.970,20
24,0,59018,Ryan Gerard,0.940,27.246,21.329,5.917,29
25,0,51634,Sahith Theegala,0.929,32.515,16.989,15.526,35
26,0,49960,Sepp Straka,0.906,20.830,19.905,.925,23
27,0,36326,David Lipsky,0.890,11.574,5.272,6.302,13
28,0,52686,Rasmus Højgaard,0.823,18.923,5.355,13.568,23
29,0,46340,Alex Smalley,0.810,28.355,22.891,5.465,35
30,0,27349,Alex Noren,0.774,17.030,5.710,11.318,22
31,0,35450,Patrick Cantlay,0.772,16.210,17.445,-1.238,21
32,0,28089,Jason Day,0.740,15.549,5.437,10.112,21
33,0,34046,Jordan Spieth,0.704,21.116,14.618,6.496,30
34,0,34099,Harris English,0.700,18.894,1.962,16.931,27
35,0,31323,Gary Woodland,0.682,14.316,5.251,9.065,21
36,0,32102,Rickie Fowler,0.679,17.665,2.352,15.313,26
37,0,29936,Ryan Fox,0.677,12.189,7.227,4.962,18
38,0,55893,Sam Stevens,0.649,20.116,26.873,-6.757,31
39,0,50095,Austin Smotherman,0.606,13.931,25.299,-11.367,23
40,0,57975,Harry Hall,0.600,14.410,3.494,10.916,24
41,0,48887,Matt Wallace,0.565,10.166,10.400,-.235,18
42,0,39546,Keith Mitchell,0.553,19.338,30.787,-11.447,35
43,0,22405,Justin Rose,0.552,8.835,6.109,2.725,16
43,0,25493,Nick Taylor,0.552,17.650,21.032,-3.383,32
45,0,36689,Brooks Koepka,0.546,10.370,20.423,-10.053,19
46,0,46717,Viktor Hovland,0.536,11.784,11.610,.173,22
47,0,47504,Sam Burns,0.532,10.634,-1.867,12.500,20
48,0,50497,Adrien Dumont de Chassart,0.519,12.974,14.785,-1.810,25
49,0,35461,Beau Hossler,0.479,8.620,-4.600,13.221,18
49,0,34256,Andrew Putnam,0.479,11.984,10.337,1.647,25
51,0,48117,Kurt Kitayama,0.474,12.805,18.925,-6.120,27
52,0,46464,Jordan Smith,0.465,12.545,19.967,-7.421,27
53,0,45522,Christiaan Bezuidenhout,0.463,11.577,-.830,12.406,25
54,0,40026,Daniel Berger,0.456,12.757,15.639,-2.881,28
55,0,37275,Sam Ryder,0.439,8.336,-.863,9.199,19
56,0,59440,Ricky Castillo,0.366,9.151,1.694,7.459,25
57,0,59836,Pierceson Coody,0.351,10.525,11.436,-.913,30
58,0,39335,Kevin Roy,0.326,9.778,5.680,4.099,30
59,0,28723,John Parry,0.323,9.367,6.630,2.737,29
60,0,52375,Doug Ghim,0.308,6.164,9.654,-3.490,20
61,0,35296,Haotong Li,0.298,6.844,12.527,-5.682,23
61,0,59143,Mac Meissner,0.298,8.054,7.660,.395,27
63,0,37338,Zecheng Dou,0.279,7.534,9.958,-2.423,27
64,0,47983,Chad Ramey,0.276,9.106,-15.236,24.342,33
65,0,36799,Stephan Jaeger,0.274,8.206,-.723,8.929,30
66,0,36699,Patrick Rodgers,0.266,9.838,6.117,3.720,37
67,1,51950,Max McGreevy,0.249,8.230,23.694,-15.464,33
68,1,54591,Ben Griffin,0.230,6.453,2.093,4.359,28
69,1,33968,Thorbjørn Olesen,0.205,3.886,10.941,-7.055,19
70,1,39324,J.J. Spaun,0.201,4.622,17.357,-12.737,23
71,1,39997,Corey Conners,0.188,4.891,18.117,-13.228,26
72,1,50286,A.J. Ewart,0.178,4.808,-9.039,13.847,27
73,0,39971,Sungjae Im,0.162,1.949,-.419,2.367,12
74,1,65256,David Ford,0.149,3.438,4.708,-1.269,23
75,1,29725,Tony Finau,0.140,4.479,2.610,1.867,32
76,1,49947,Taylor Moore,0.138,3.458,-4.595,8.054,25
77,1,54628,Lee Hodges,0.126,3.012,1.891,1.123,24
78,1,57364,Michael Thorbjornsen,0.094,2.631,9.760,-7.129,28
79,1,28252,Seamus Power,0.089,2.233,-1.274,3.508,25
80,1,52689,Rasmus Neergaard-Petersen,0.073,1.238,3.579,-2.341,17
81,1,50188,S.H. Kim,0.072,1.932,-7.485,9.417,27
82,1,47591,Eric Cole,0.029,0.774,-8.445,9.220,27
83,1,35506,Mackenzie Hughes,0.024,0.618,-6.192,6.809,26
84,1,48153,Matthieu Pavon,0.011,0.290,-21.041,21.331,27
85,1,51003,Marco Penge,0.008,0.186,2.964,-2.779,23
86,1,48001,Zach Bauchou,-0.011,-0.324,-3.044,2.721,29
87,1,57362,Austin Eckroat,-0.015,-0.335,4.026,-4.360,22
88,1,58168,Davis Thompson,-0.019,-0.465,17.152,-17.617,24
89,1,47993,Denny McCarthy,-0.035,-1.070,-12.005,10.934,31
90,1,39977,Max Homa,-0.039,-0.904,.136,-1.039,23
91,1,39975,Michael Kim,-0.040,-1.152,-10.214,9.060,29
92,1,57259,Dan Brown,-0.043,-0.854,-1.904,1.050,20
93,1,55182,Tom Kim,-0.049,-1.525,5.314,-6.838,31
94,1,27214,Kevin Streelman,-0.050,-0.698,-6.589,5.891,14
95,1,34021,Bud Cauley,-0.074,-2.307,11.283,-13.591,31
96,1,27649,Brandt Snedeker,-0.087,-1.044,-3.465,2.421,12
97,1,51600,Jimmy Stanger,-0.127,-1.906,-8.564,6.659,15
98,1,34076,Joel Dahmen,-0.138,-2.900,9.110,-12.011,21
99,1,40250,Taylor Pendrith,-0.179,-4.644,11.732,-16.377,26
100,1,30926,Chris Kirk,-0.186,-5.021,5.340,-10.361,27
101,1,54304,Karl Vilips,-0.188,-3.945,-17.551,13.607,21
102,1,63454,Johnny Keefer,-0.209,-5.224,13.058,-18.281,25
103,1,51766,Wyndham Clark,-0.212,-5.290,12.830,-18.119,25
104,1,33141,Keegan Bradley,-0.216,-4.534,-.633,-3.903,21
105,1,59141,Matt McCarty,-0.231,-7.176,-13.109,5.932,31
106,1,63121,William Mouw,-0.238,-5.235,-5.887,.654,22
107,1,51997,Andrew Novak,-0.240,-6.710,-.440,-6.272,28
108,1,47917,Takumi Kanaya,-0.254,-7.616,-22.209,14.593,30
109,1,49766,Hank Lebioda,-0.269,-5.910,-4.041,-1.870,22
110,1,49771,J.T. Poston,-0.290,-6.965,-7.614,.648,24
111,1,34371,Adrien Saddier,-0.314,-6.594,-6.676,.083,21
112,1,61522,Michael Brennan,-0.329,-7.232,4.738,-11.968,22
112,1,54783,Dylan Wu,-0.329,-6.252,-.724,-5.528,19
114,1,52666,Sami Valimaki,-0.335,-7.365,-12.916,5.550,22
115,1,51894,Vince Whaley,-0.371,-8.912,-34.025,25.114,24
116,1,29420,Billy Horschel,-0.378,-11.727,-15.608,3.880,31
117,1,57123,Steven Fisk,-0.407,-10.572,-12.132,1.560,26
118,1,35658,Kris Ventura,-0.421,-5.056,-7.909,2.854,12
119,1,49855,Kristoffer Reitan,-0.438,-10.960,-5.637,-5.322,25
120,2,46414,Aaron Rai,-0.448,-8.960,-.217,-8.743,20
121,2,51696,Rico Hoey,-0.485,-17.467,-5.652,-11.815,36
122,2,51349,Nico Echavarria,-0.509,-12.722,-11.644,-1.077,25
123,2,57900,Chandler Phillips,-0.591,-15.970,-29.027,13.057,27
124,2,40115,Adam Svensson,-0.592,-9.465,5.877,-15.341,16
125,2,27644,Brian Harman,-0.609,-16.456,-5.997,-10.460,27
126,2,55573,John VanDerLaan,-0.639,-12.788,-9.952,-2.835,20
127,2,49120,Kensei Hirata,-0.646,-14.214,-12.289,-1.925,22
128,2,45242,Kevin Yu,-0.657,-14.450,-.464,-13.987,22
129,2,55851,Pontus Nyholm,-0.677,-12.193,-15.126,2.934,18
130,2,63343,Aldrich Potgieter,-0.690,-13.807,-1.514,-12.294,20
131,2,54607,Danny Walker,-0.694,-19.445,-11.541,-7.903,28
132,2,48867,Matti Schmid,-0.747,-23.901,-22.899,-1.003,32
133,2,32757,Patton Kizzire,-0.770,-16.169,-14.460,-1.708,21
134,2,56781,Isaiah Salinda,-0.790,-11.065,-4.743,-6.321,14
135,2,51977,Max Greyserman,-0.795,-16.702,-21.339,4.637,21
136,2,23108,Matt Kuchar,-0.826,-10.743,-21.639,10.898,13
137,2,35532,Tom Hoge,-0.848,-22.885,-19.895,-2.992,27
138,2,54576,Patrick Fishburn,-0.885,-12.391,-12.515,.125,14
139,2,59006,Davis Chatfield,-0.923,-15.685,-6.043,-9.642,17
140,2,40006,Erik van Rooyen,-1.022,-20.449,-25.749,5.300,20
141,2,27064,Jhonattan Vegas,-1.028,-22.607,-18.089,-4.519,22
142,2,31646,Emiliano Grillo,-1.162,-32.549,-16.367,-16.183,28
143,2,34466,Peter Malnati,-1.165,-20.965,-25.207,4.242,18
144,2,57586,Jesper Svensson,-1.185,-14.215,-5.882,-8.332,12
145,2,60067,Joe Highsmith,-1.236,-37.067,-24.771,-12.295,30
146,2,54788,Chandler Blanchet,-1.242,-19.867,-7.146,-12.720,16
147,2,60019,Jackson Suber,-1.326,-21.209,-8.022,-13.186,16
148,2,29535,Brice Garnett,-1.332,-23.983,-18.254,-5.728,18
149,2,36801,Mark Hubbard,-1.348,-32.352,-13.694,-18.658,24
150,3,54422,Christo Lamprecht,-1.411,-22.574,-14.177,-8.396,16
151,3,64442,Gordon Sargent,-1.415,-19.811,-15.782,-4.028,14
152,3,59866,Nick Dunlap,-1.456,-18.931,-20.661,1.731,13
153,3,47347,Adam Schenk,-1.458,-37.907,-21.737,-16.171,26
154,3,63807,Neal Shipley,-1.488,-23.811,-8.424,-15.386,16
155,3,25900,Lucas Glover,-1.591,-27.046,-13.362,-13.685,17
156,3,47393,Jeffrey Kang,-1.598,-28.759,-23.098,-5.660,18
157,3,47995,Davis Riley,-1.599,-30.388,-38.675,8.287,19
158,3,40162,Justin Lower,-1.841,-25.779,-17.993,-7.786,14
159,3,12716,Charley Hoffman,-1.853,-22.235,-15.051,-7.183,12
160,3,46443,Brian Campbell,-2.001,-40.017,-38.148,-1.869,20
161,3,54421,Garrick Higgo,-2.018,-46.403,-30.460,-15.943,23
162,3,66743,Luke Clanton,-2.103,-31.538,-15.582,-15.956,15
163,3,32070,Rafael Campos,-2.229,-33.442,-26.285,-7.156,15
164,3,37076,Marcelo Rozo,-2.252,-31.531,-8.621,-22.909,14
165,3,38991,Alejandro Tosti,-2.291,-36.661,-21.257,-15.403,16
166,3,45157,Cam Davis,-2.738,-43.803,-32.830,-10.973,16
