"Last Name","First Name","Short Game","Approach","Driving-Distance","Driving-Accuracy","Total SG Adjustment","Putting 2-5ft","Putting 5-30ft","Putting 30+ ft","Course-Fairway","Course-Rough","Course-Bunker","Approach 50-100yds","Approach 100-150 yds","Approach 150-200 yds","Approach 200+ yds"
"GLOVER","LUCAS","+0.08","+0.00","+0.07","+0.22","+0.36","6.9","12.2","3.4","4.1","1.7","1.1","1.6","5.5","6.7","3.4"
"RAI","AARON","-0.02","+0.00","+0.06","+0.30","+0.33","7.0","12.1","3.2","4.0","1.6","1.0","1.6","5.6","6.5","3.4"
"HENLEY","RUSSELL","-0.05","+0.00","+0.05","+0.28","+0.28","7.0","12.1","3.2","4.0","1.6","1.0","1.6","5.6","6.5","3.4"
"SNEDEKER","BRANDT","-0.03","+0.00","+0.11","+0.18","+0.26","7.0","12.0","3.4","4.1","1.6","1.2","1.4","5.3","7.1","3.3"
"CAMPBELL","BRIAN","-0.01","-0.00","+0.11","+0.13","+0.24","7.0","12.0","3.5","4.2","1.8","1.3","1.5","5.2","7.2","3.3"
"KIM","SI WOO","-0.05","+0.00","+0.02","+0.23","+0.20","6.9","12.1","3.1","4.0","1.6","1.0","1.7","5.7","6.2","3.4"
"CONNERS","COREY","+0.02","+0.00","+0.01","+0.16","+0.19","7.0","12.2","3.3","4.0","1.6","1.1","1.8","5.7","6.2","3.4"
"MORIKAWA","COLLIN","-0.04","+0.00","+0.00","+0.18","+0.15","7.0","12.1","3.2","4.0","1.6","1.0","1.8","5.7","6.1","3.4"
"SPAUN","J.J.","+0.00","+0.00","-0.00","+0.13","+0.14","6.9","12.1","3.2","3.9","1.5","1.0","1.9","5.7","6.0","3.4"
"BERGER","DANIEL","+0.05","+0.00","-0.01","+0.09","+0.13","7.1","12.3","3.4","4.1","1.6","1.1","1.9","5.7","6.0","3.4"
"FLEETWOOD","TOMMY","-0.09","+0.00","+0.00","+0.21","+0.12","7.0","12.0","3.1","4.0","1.6","1.0","1.8","5.7","6.0","3.4"
"FITZPATRICK","ALEX","-0.03","+0.00","+0.00","+0.14","+0.11","7.0","12.1","3.2","4.0","1.6","1.0","1.8","5.7","6.1","3.4"
"NOREN","ALEX","-0.08","+0.00","+0.05","+0.14","+0.10","7.0","12.0","3.3","4.1","1.7","1.1","1.7","5.5","6.5","3.4"
"POSTON","J.T.","-0.05","+0.00","+0.02","+0.13","+0.10","7.0","12.1","3.3","4.1","1.6","1.1","1.8","5.6","6.3","3.4"
"HARMAN","BRIAN","-0.05","+0.00","+0.03","+0.11","+0.09","7.0","12.0","3.3","4.1","1.7","1.1","1.7","5.5","6.4","3.4"
"HISATSUNE","RYO","+0.01","+0.00","-0.01","+0.08","+0.09","7.0","12.2","3.3","4.1","1.7","1.0","1.9","5.7","6.0","3.4"
"LOWRY","SHANE","-0.01","+0.00","+0.01","+0.08","+0.08","7.0","12.2","3.3","4.0","1.5","1.0","1.9","5.6","6.1","3.4"
