Last Name,First Name,Fairway 50-100 (shots),Fairway 50-100 (value),Fairway 100-150 (shots),Fairway 100-150 (value),Fairway 150-200 (shots),Fairway 150-200 (value),Fairway over 200 (shots),Fairway over 200 (value),Rough-Under 150 (shots),Rough-Under 150 (value),Rough-Over 150 (shots),Rough-Over 150 (value)
SCHEFFLER,SCOTTIE,107,0.094,309,0.04,408,0.057,225,0.044,106,0.015,131,0.06
CANTLAY,PATRICK,82,0.032,224,0.08,341,0.031,187,0.014,125,0.011,115,0.047
BRAMLETT,JOSEPH,24,-0.123,72,0.078,95,0.014,45,-0.004,47,0.041,30,-0.197
RAI,AARON,61,-0.083,249,0.073,398,0.048,195,0.041,54,0.041,73,-0.047
HENLEY,RUSSELL,85,0.054,268,0.072,434,0.033,198,0.044,85,0.048,86,-0.028
BLANCHET,CHANDLER,53,0.003,157,0.069,244,-0.038,118,0.059,69,-0.029,69,-0.048
MERRITT,TROY,28,-0.068,91,0.068,121,-0.019,60,0.014,56,-0.033,41,-0.182
REED,PATRICK,47,0.07,110,0.065,123,0.033,63,-0.009,54,0.072,52,0.004
ABERG,LUDVIG,72,0.064,276,0.064,393,0.003,190,0.023,121,0.055,104,0.047
FITZPATRICK,ALEX,35,0.01,82,0.06,142,0.005,85,0.056,36,0.103,39,-0.015
KIRK,CHRIS,86,0.073,254,0.059,361,-0.003,175,0.05,133,0.04,110,-0.045
CONNERS,COREY,72,0.021,312,0.059,475,0.043,238,0.054,102,-0.014,115,-0.047
SMOTHERMAN,AUSTIN,49,0.034,144,0.057,270,0.014,106,0.077,55,0.071,75,0.062
BRIDGEMAN,JACOB,117,-0.005,365,0.056,517,0.024,279,-0.013,143,0.05,171,-0.008
MORIKAWA,COLLIN,79,0.077,262,0.055,384,0.041,192,0.077,99,0.011,94,0.015
HOVLAND,VIKTOR,74,0.071,215,0.055,384,0.05,217,0.018,87,-0.04,119,0.018
KIM,TOM,89,0.005,260,0.053,449,0.015,182,-0.016,128,0.037,143,0.029
BURNS,SAM,135,0.035,337,0.052,456,0.02,224,0.014,140,0.039,136,-0.015
KEEFER,JOHNNY,89,0.05,241,0.049,310,0.026,128,-0.046,131,0.053,91,0.013
SIMPSON,WEBB,48,0.03,128,0.048,179,-0.033,78,0.071,73,-0.055,68,-0.046
EWART,A.J.,54,0.015,143,0.046,242,0.016,94,-0.026,98,0.019,77,0.001
SIGG,GREYSON,28,0.023,133,0.045,149,0.006,58,0.04,40,0.004,40,0.002
MUNOZ,SEBASTIAN,73,-0.009,237,0.044,258,0.035,138,0.065,79,-0.016,62,0.004
MATSUYAMA,HIDEKI,92,0.088,305,0.042,475,0.042,251,0.065,151,0.034,185,-0.015
BHATIA,AKSHAY,100,0.01,291,0.042,436,0.034,229,0.04,151,0.046,162,0.023
THEEGALA,SAHITH,89,0.02,310,0.041,425,0.002,185,0.05,161,-0.019,179,-0.016
LOWRY,SHANE,81,0.054,247,0.041,339,0.027,170,0.062,91,0.034,122,0.026
MCILROY,RORY,55,-0.008,200,0.041,234,0.009,137,0.088,128,0.011,86,0.101
SNEDEKER,BRANDT,66,0.064,210,0.041,309,0.013,127,-0.041,78,0.084,83,-0.036
SCHEFFLER,SCOTTIE,107,0.094,309,0.04,408,0.057,225,0.044,106,0.015,131,0.06
THOMAS,JUSTIN,74,0.008,230,0.039,360,-0.021,173,0.015,141,0.018,113,0.036
KITAYAMA,KURT,107,-0.021,337,0.039,446,0.052,206,0.033,143,0.016,152,0.095
KOHLES,BEN,59,0.06,217,0.039,270,0.043,141,0.115,49,0.113,54,0.04
HORSCHEL,BILLY,74,0.019,236,0.038,352,0.028,155,0.017,113,0.04,128,-0.071
KUCHAR,MATT,84,-0.008,190,0.037,285,-0.032,111,-0.006,82,0.024,73,0.039
ROSE,JUSTIN,69,0.093,236,0.037,362,0.019,205,0.034,88,0.124,117,0.024
HOJGAARD,NICOLAI,91,0.101,242,0.037,345,0.017,174,0.05,146,-0.046,151,0.076
CASEY,PAUL,54,0.035,176,0.037,226,0.072,116,0.078,79,-0.112,63,0.092
HUBBARD,MARK,77,-0.018,279,0.037,407,0.022,169,0.044,145,-0.021,113,-0.056
KIZZIRE,PATTON,76,-0.014,199,0.036,286,-0.031,126,-0.054,114,0.051,121,-0.028
ECKROAT,AUSTIN,73,-0.041,233,0.036,314,0.046,146,0.039,117,0.052,106,-0.058
KIM,MICHAEL,112,0.045,302,0.036,442,-0.01,224,-0.02,153,0.054,157,0.014
MOLINARI,FRANCESCO,11,-0.12,58,0.036,91,0.018,39,0.01,15,-0.107,—,—
GHIM,DOUG,98,0.06,258,0.035,356,-0.018,153,0.003,116,-0.007,77,-0.027
HARMAN,BRIAN,95,0.062,287,0.035,459,0.004,256,0.03,143,-0.021,132,0.008
GERARD,RYAN,89,0.058,328,0.035,472,0.026,215,0.06,106,0.092,146,-0.001
LIPSKY,DAVID,62,0.015,238,0.035,325,0.024,170,-0.012,97,-0.023,104,-0.046
COLE,ERIC,58,0.066,232,0.035,338,0.011,158,-0.013,167,0.021,149,0.031
HALL,HARRY,107,0.094,287,0.033,424,-0.023,228,-0.008,141,0.006,151,-0.004
PETERSON,PAUL,72,0.079,160,0.033,235,-0.03,118,0.033,62,0.076,44,-0.062
BAUCHOU,ZACH,51,0.081,140,0.033,238,0.01,104,0.038,93,-0.013,93,0.041
FITZPATRICK,MATT,81,0.077,310,0.033,440,0.033,231,0.09,94,0.046,132,0.025
YOUNG,CAMERON,94,0.057,354,0.032,395,0.043,234,-0.019,141,0.081,132,0.033
WARING,PAUL,28,-0.056,69,0.032,92,-0.04,47,-0.032,30,0.004,36,0.032
WU,DYLAN,42,0.052,195,0.031,249,-0.002,103,0.015,75,-0.018,78,-0.037
KIM,SI WOO,118,-0.015,316,0.031,523,0.085,293,0.096,124,-0.015,133,0.014
MEISSNER,MAC,83,-0.043,316,0.031,398,0.029,177,0.039,127,0.005,142,-0.002
TAYLOR,NICK,88,0.033,304,0.03,440,0.014,231,0.016,129,0.034,152,-0.009
BLAND,RICHARD,71,0.012,231,0.03,253,-0.026,119,0.056,79,-0.011,88,0.011
SCHAUFFELE,XANDER,61,0.03,229,0.03,364,0.048,182,0.062,116,0.041,124,0.002
BERGER,DANIEL,79,0.055,220,0.029,409,0.05,203,0.045,96,0.052,130,0.018
HATTON,TYRRELL,74,0.004,247,0.029,288,0.031,163,0.036,128,0.055,100,-0.031
