Last Name,First Name,Events Last 12 Months,Rounds,Rounds-shotlink,Wins,Win %,True SG-PUTT,True SG-ARG,True SG-APP,True SG-OTT,True SG-T2G,True SG--TOTAL,Driving-Distance,Driving-Accuracy
SCHEFFLER,SCOTTIE,21,84,82,4,19%,0.67,0.49,1.09,0.9,2.48,3.17,9.3,5.30%
FLEETWOOD,TOMMY,26,101,98,2,8%,0.53,0.36,0.63,0.59,1.59,2.09,0.8,9.10%
YOUNG,CAMERON,22,86,85,3,14%,0.43,0.25,0.63,0.71,1.59,2.02,9.8,0.90%
FITZPATRICK,MATT,28,111,106,4,14%,0.28,0.65,0.82,0.32,1.79,2.02,1.8,4.40%
SCHAUFFELE,XANDER,19,74,69,1,5%,0.25,0.09,0.71,0.72,1.52,1.86,12.6,0.20%
HENLEY,RUSSELL,20,74,72,1,5%,0.38,0.29,0.71,0.47,1.47,1.86,-9.3,12.50%
ABERG,LUDVIG,23,88,85,0,0%,0.39,0.2,0.69,0.65,1.54,1.84,12.9,2.30%
KNAPP,JAKE,16,58,57,0,0%,0.77,-0.05,0.18,0.72,0.85,1.64,17.3,-0.10%
BURNS,SAM,24,90,88,0,0%,0.79,-0.05,0.46,0.4,0.81,1.6,8.3,-0.20%
ROSE,JUSTIN,21,77,74,2,10%,0.22,0.13,0.87,0.31,1.32,1.57,4.1,1.60%
CANTLAY,PATRICK,20,72,69,0,0%,0.06,0.34,0.73,0.44,1.51,1.55,2.9,-0.10%
MCNEALY,MAVERICK,24,90,89,0,0%,0.59,0.34,0.22,0.31,0.88,1.5,6.4,-1.30%
GOTTERUP,CHRIS,25,98,93,3,12%,0.42,0.05,0.34,0.73,1.12,1.47,16.8,-5.10%
KIM,SI WOO,31,113,101,0,0%,-0.32,0.34,0.76,0.62,1.72,1.46,-3.8,10.10%
ENGLISH,HARRIS,24,92,88,0,0%,0.79,0.17,0.1,0.42,0.69,1.46,1.6,3.80%
SPAUN,J.J.,25,84,79,1,4%,-0.29,0.26,0.94,0.5,1.7,1.42,0.4,4.80%
GRIFFIN,BEN,29,104,98,1,3%,0.51,0.41,0.29,0.09,0.8,1.4,0.1,0.20%
MACINTYRE,ROBERT,27,100,95,1,4%,0.65,0.23,-0.11,0.5,0.62,1.38,2.6,0.50%
HOVLAND,VIKTOR,23,85,85,0,0%,0.15,0.13,0.91,0.15,1.19,1.33,-0.7,5.70%
MORIKAWA,COLLIN,20,74,70,1,5%,-0.03,0.06,0.81,0.47,1.34,1.32,0.8,7.50%
NOREN,ALEX,28,97,90,2,7%,0.77,0.19,0.33,0.09,0.6,1.27,-7.9,5.10%
KITAYAMA,KURT,24,93,83,1,4%,-0.01,-0.09,0.85,0.58,1.35,1.24,11.1,0.10%
MATSUYAMA,HIDEKI,27,108,99,1,4%,0.14,0.48,0.71,-0.11,1.08,1.24,-1.4,-0.20%
