POS,First Name,Last Name,Score,SG-APP,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T1,Viktor,Hovland,-21,-1,1.02,288.8,76.80%,0.17,75.00%,"23' 5""","61' 6""",1.08,0.49,76.90%,3.25,1.5,2.77,1.69,1.19
T1,Scottie,Scheffler,-21,-2,0.42,281.7,76.80%,1.37,83.30%,"21' 4""","36' 11""",1.05,-0.07,64.70%,3.5,2.5,2.77,1.72,1.79
3,Collin,Morikawa,-20,-9,1,281.9,89.30%,1.63,88.90%,"21' 8""","32' 0""",0.71,-0.83,61.10%,3.25,2,2.52,1.8,2.64
4,Matt,Fitzpatrick,-19,-6,0.78,279.9,92.90%,0.55,75.00%,"25' 8""","67' 4""",-0.07,1,66.70%,4.5,3.5,2.27,2.33,1.33
T5,Wyndham,Clark,-18,-5,-0.47,289.9,67.90%,-0.66,62.50%,"26' 0""","54' 2""",2.17,0.99,80.60%,4,3.25,2.02,-0.14,-1.14
T5,Akshay,Bhatia,-18,-3,0.23,285,71.40%,0.17,76.40%,"25' 2""","39' 10""",1.29,0.33,70.80%,3.25,2,2.02,0.73,0.4
T7,Corey,Conners,-17,-7,0.09,284,73.20%,0.83,83.30%,"22' 10""","57' 2""",-0.01,0.85,71.40%,4,3,1.77,1.77,0.93
T7,J.J.,Spaun,-17,-6,0,280.9,75.00%,0.73,77.80%,"25' 0""","40' 0""",1.25,-0.21,53.80%,3.75,3.25,1.77,0.52,0.73
T7,Alex,Fitzpatrick,-17,-6,0.69,285.6,82.10%,1.13,81.90%,"22' 2""","72' 1""",-0.08,0.03,63.60%,2,2.75,1.77,1.85,1.83
T10,Robert,MacIntyre,-16,-5,-0.09,286.7,67.90%,0.85,81.90%,"23' 8""","48' 8""",0.7,0.06,29.20%,3.25,3.75,1.52,0.82,0.76
T10,Ben,Griffin,-16,-3,-0.16,274.3,75.00%,0.75,80.60%,"27' 5""","32' 1""",0.85,0.07,52.40%,2.75,1.5,1.52,0.67,0.59
T12,Russell,Henley,-15,-6,0.85,279.9,87.50%,0.15,84.70%,"24' 8""","88' 9""",1,-0.73,60.00%,4.25,2.25,1.27,0.27,1
T12,Sam,Burns,-15,-3,0.45,285.2,64.30%,1.24,76.40%,"22' 10""","72' 7""",0.37,-0.79,47.80%,3.5,2.75,1.27,0.9,1.69
T14,Nicolai,Hojgaard,-14,-8,0.08,291.1,66.10%,0.64,69.40%,"20' 8""","60' 1""",-0.12,0.42,76.70%,4.25,3.25,1.02,1.14,0.72
T14,Keegan,Bradley,-14,-6,-0.57,288.3,55.40%,1.1,81.90%,"23' 5""","43' 6""",-0.53,1.02,64.70%,3,3,1.02,1.55,0.53
T14,Tommy,Fleetwood,-14,-5,0.31,282.1,71.40%,-0.11,81.90%,"22' 6""","52' 6""",0.45,0.38,60.00%,3.75,1.75,1.02,0.57,0.19
T14,Denny,McCarthy,-14,-5,-0.22,281.5,66.10%,0.11,81.90%,"24' 3""","76' 9""",1.06,0.07,76.50%,3.25,1.5,1.02,-0.04,-0.11
T14,Bud,Cauley,-14,-4,0.55,281.9,75.00%,0.32,81.90%,"24' 2""","57' 7""",-0.8,0.96,63.60%,4.5,2,1.02,1.82,0.87
T14,Hideki,Matsuyama,-14,-4,0.55,286.3,75.00%,-0.01,75.00%,"29' 9""","71' 1""",0.13,0.35,69.60%,3.25,3.75,1.02,0.89,0.54
T14,Justin,Thomas,-14,-3,0.38,287.2,76.80%,-0.71,72.20%,"25' 2""","55' 3""",-0.2,1.56,73.30%,3.75,1.75,1.02,1.22,-0.34
T14,Patrick,Cantlay,-14,1,0.02,281.7,75.00%,1.06,77.80%,"23' 2""","36' 5""",0.26,-0.32,70.00%,3.5,3,1.02,0.76,1.08
T22,Kristoffer,Reitan,-13,-3,0.4,287.3,60.70%,-0.98,70.80%,"28' 3""","54' 10""",1.63,-0.29,66.70%,4.25,3,0.77,-0.86,-0.57
T22,Keith,Mitchell,-13,-1,0.49,292.2,64.30%,0.34,70.80%,"25' 11""","27' 7""",0.27,-0.33,75.00%,3.25,2.75,0.77,0.51,0.83
T22,Shane,Lowry,-13,E,0.83,281.3,83.90%,0.7,83.30%,"23' 6""","80' 10""",-0.6,-0.17,71.40%,3.75,2.25,0.77,1.37,1.54
T25,Nick,Taylor,-12,-5,0.02,282.1,73.20%,-0.37,70.80%,"27' 5""","33' 3""",1.19,-0.32,72.40%,4,2.75,0.52,-0.67,-0.35
T25,Daniel,Berger,-12,-4,-0.25,282.7,69.60%,0.42,75.00%,"27' 4""","44' 9""",-0.88,1.22,76.00%,2,3.25,0.52,1.4,0.17
T25,Kurt,Kitayama,-12,-3,0.34,287.7,67.90%,1.59,81.90%,"21' 5""","69' 9""",-0.85,-0.56,35.30%,4,1.75,0.52,1.37,1.93
T25,Justin,Rose,-12,E,-0.25,286,66.10%,-0.1,73.60%,"26' 8""","73' 3""",0.66,0.2,56.00%,3.75,3.75,0.52,-0.15,-0.35
T25,Brian,Harman,-12,-1,-0.66,282.1,76.80%,1.56,77.80%,"23' 10""","47' 11""",-0.49,0.12,63.20%,3.5,3.75,0.52,1.01,0.9
T30,Andrew,Novak,-11,-7,0.49,288.2,60.70%,-0.08,72.20%,"23' 7""","63' 8""",-0.37,0.23,66.70%,3.25,2,0.27,0.65,0.42
T30,Michael,Kim,-11,-4,-0.46,282.1,50.00%,0.66,76.40%,"26' 3""","44' 9""",0.1,-0.02,68.00%,2.75,2.5,0.27,0.18,0.2
T30,Matt,McCarty,-11,-3,-0.91,284,66.10%,2.21,77.80%,"20' 3""","65' 5""",-0.75,-0.27,45.00%,3.25,5.5,0.27,1.02,1.29
T30,Nico,Echavarria,-11,-2,-0.43,282.6,73.20%,0.5,77.80%,"21' 11""","34' 3""",-0.44,0.65,70.80%,2.5,2.75,0.27,0.71,0.07
T30,Sungjae,Im,-11,-1,0.45,288.2,62.50%,-1.13,63.90%,"29' 8""","48' 7""",1.05,-0.11,66.70%,3.5,3.25,0.27,-0.78,-0.67
T30,Aaron,Rai,-11,-1,0.28,280.8,73.20%,-0.31,76.40%,"27' 8""","65' 5""",-0.12,0.43,76.00%,2.75,2,0.27,0.39,-0.04
T30,Jackson,Suber,-11,E,0.35,289.1,66.10%,-0.23,80.60%,"26' 9""","50' 2""",0.17,-0.02,65.00%,4,4.25,0.27,0.11,0.12
T30,Chris,Gotterup,-11,E,0.45,293.6,66.10%,0.24,81.90%,"24' 6""","58' 5""",0.46,-0.88,50.00%,4.75,3,0.27,-0.19,0.69
T38,Brandt,Snedeker,-10,-4,-0.38,279.7,69.60%,-0.41,69.40%,"26' 3""","58' 8""",1.21,-0.4,58.30%,3.75,2.75,0.02,-1.2,-0.79
T38,Rickie,Fowler,-10,-3,0.29,285.1,73.20%,-0.29,79.20%,"25' 2""","50' 4""",-0.36,0.38,75.00%,2.5,2.5,0.02,0.38,0
T38,Harris,English,-10,-2,0.04,284.4,66.10%,0.13,79.20%,"24' 7""","43' 3""",-0.45,0.31,58.30%,2,2.25,0.02,0.47,0.16
T38,Tom,Hoge,-10,-2,-1.28,283.6,62.50%,0.3,66.70%,"23' 8""","58' 1""",0.72,0.27,63.00%,4,3.75,0.02,-0.7,-0.97
T38,Ryo,Hisatsune,-10,-2,0.18,287.1,71.40%,0.31,79.20%,"23' 11""","63' 8""",-0.52,0.05,61.90%,2.5,2.5,0.02,0.54,0.49
T38,Eric,Cole,-10,3,-0.46,284.9,62.50%,0.23,72.20%,"25' 0""","50' 7""",-0.31,0.56,64.30%,3.25,2.25,0.02,0.33,-0.23
T44,Ryan,Gerard,-9,-5,0.28,292.2,67.90%,-0.98,63.90%,"27' 5""","43' 9""",0.09,0.39,68.40%,3,2.25,-0.23,-0.32,-0.7
T44,Mac,Meissner,-9,-2,0.4,283.2,75.00%,-1.06,66.70%,"27' 4""","55' 4""",0.64,-0.2,69.70%,2.5,2.75,-0.23,-0.86,-0.66
T44,Si Woo,Kim,-9,3,0.14,282.2,73.20%,0.58,75.00%,"23' 6""","68' 5""",-0.46,-0.49,50.00%,4,3.75,-0.23,0.23,0.72
T47,Cameron,Young,-8,-7,0.58,295.3,62.50%,-0.21,68.10%,"24' 4""","58' 4""",-1.02,0.18,65.60%,2.5,3,-0.48,0.54,0.36
T47,Alex,Smalley,-8,-6,0.02,284.3,69.60%,-0.23,79.20%,"27' 1""","38' 8""",0.62,-0.89,58.60%,3.5,5.25,-0.48,-1.1,-0.21
T47,Jacob,Bridgeman,-8,-4,0.49,280.1,71.40%,-0.31,70.80%,"24' 9""","75' 9""",-0.51,-0.14,67.70%,3.5,3.5,-0.48,0.04,0.17
T47,Brian,Campbell,-8,-1,-0.78,274,71.40%,0.13,69.40%,"24' 10""","43' 6""",0.47,-0.31,60.70%,2.5,4.5,-0.48,-0.95,-0.65
T51,Sahith,Theegala,-7,-5,-0.52,287.6,50.00%,-0.36,68.10%,"27' 3""","59' 10""",-0.21,0.36,54.50%,3.5,4.25,-0.73,-0.53,-0.88
T51,Jhonattan,Vegas,-7,-3,-0.26,289.5,55.40%,-1.1,73.60%,"29' 4""","57' 5""",0.11,0.52,68.20%,2.5,3,-0.73,-0.84,-1.36
