Hole,Par,Yards,Avg,Rank,Plus - Minus,Eagles,Birdies,Pars,Bogeys,DBL+
1,4,428,4,7,0,0,11,50,11,0
2,4,351,3.778,14,-0.222,0,19,50,3,0
3,4,446,4.014,5,0.014,0,10,51,11,0
4,4,475,4.153,1,0.153,0,7,47,18,0
5,3,241,2.986,8,-0.014,0,8,57,7,0
6,5,582,4.403,18,-0.597,3,38,30,1,0
7,4,456,4.056,2,0.056,0,11,48,11,2
8,3,181,2.778,14,-0.222,0,20,48,4,0
9,4,389,3.819,13,-0.181,0,16,53,3,0
10,4,473,4.042,4,0.042,0,7,55,10,0
11,3,162,2.931,10,-0.069,0,14,50,7,1
12,4,396,3.958,9,-0.042,0,16,47,6,3
13,5,531,4.556,17,-0.444,3,37,24,6,2
14,4,412,3.861,12,-0.139,0,16,50,6,0
15,4,281,3.625,16,-0.375,1,33,31,6,1
16,3,166,3.056,2,0.056,0,9,51,11,1
17,4,425,3.931,10,-0.069,1,14,48,7,2
18,4,435,4.014,5,0.014,0,9,53,10,0
