"POS","PLAYER","TOTAL","R3","R1","R2","R3","Total Strokes"
"1","Viktor Hovland","-20","-6","65","61","64","190"
"2","Scottie Scheffler","-19","-3","64","60","67","191"
"T3","Patrick Cantlay","-15","-6","65","66","64","195"
"T3","Akshay Bhatia","-15","-3","66","62","67","195"
"T5","Shane Lowry","-13","-6","68","65","64","197"
"T5","Wyndham Clark","-13","-5","68","64","65","197"
"T5","Matt Fitzpatrick","-13","-3","64","66","67","197"
"T5","Ben Griffin","-13","-3","64","66","67","197"
"T5","Eric Cole","-13","-1","63","65","69","197"
"T10","Keith Mitchell","-12","-7","68","67","63","198"
"T10","Si Woo Kim","-12","-5","69","64","65","198"
"T10","Sam Burns","-12","-4","66","66","66","198"
"T10","Justin Rose","-12","-3","65","66","67","198"
"T14","Brian Harman","-11","-7","66","70","63","199"
"T14","Collin Morikawa","-11","-6","69","66","64","199"
"T14","Chris Gotterup","-11","-7","71","65","63","199"
"T14","Jackson Suber","-11","-6","68","67","64","199"
"T14","Alex Fitzpatrick","-11","-6","69","66","64","199"
"T14","Justin Thomas","-11","-5","68","66","65","199"
"T14","Robert MacIntyre","-11","-3","67","65","67","199"
"T14","J.J. Spaun","-11","-2","66","65","68","199"
"T22","Hideki Matsuyama","-10","-4","67","67","66","200"
"T22","Sungjae Im","-10","-4","68","66","66","200"
"T22","Aaron Rai","-10","-3","65","68","67","200"
"T22","Kristoffer Reitan","-10","-2","64","68","68","200"
"T22","Corey Conners","-10","-3","65","68","67","200"
"T22","Bud Cauley","-10","E","64","66","70","200"
"T28","Russell Henley","-9","-5","66","70","65","201"
"T28","Denny McCarthy","-9","-4","67","68","66","201"
"T28","Nico Echavarria","-9","-2","64","69","68","201"
"T28","Kurt Kitayama","-9","-1","69","63","69","201"
"T28","Tommy Fleetwood","-9","E","67","64","70","201"
"T33","Matt McCarty","-8","-7","69","70","63","202"
"T33","Ryo Hisatsune","-8","-6","68","70","64","202"
"T33","Tom Hoge","-8","-5","67","70","65","202"
"T33","Daniel Berger","-8","-5","70","67","65","202"
"T33","Harris English","-8","E","66","66","70","202"
"T33","Keegan Bradley","-8","E","67","65","70","202"
"T33","Maverick McNealy","-8","+1","67","64","71","202"
"T40","Nick Taylor","-7","-6","68","71","64","203"
"T40","Mac Meissner","-7","-3","70","66","67","203"
"T40","Rickie Fowler","-7","-2","69","66","68","203"
"T40","Michael Kim","-7","-2","68","67","68","203"
"T40","Ben James","-7","+1","68","64","71","203"
"T40","Brian Campbell","-7","+2","68","63","72","203"
"T46","Nicolai Højgaard","-6","-3","71","66","67","204"
"T46","Xander Schauffele","-6","-2","67","69","68","204"
"T46","Tony Finau","-6","-2","70","66","68","204"
"T46","Brandt Snedeker","-6","E","65","69","70","204"
"T50","Jake Knapp","-5","-6","74","67","64","205"
"T50","Jason Day","-5","-3","70","68","67","205"
"T50","Harry Hall","-5","-2","67","70","68","205"
"T50","Alex Noren","-5","E","69","66","70","205"
"T50","J.T. Poston","-5","+1","67","67","71","205"
"T55","Adam Scott","-4","-6","71","71","64","206"
"T55","Jacob Bridgeman","-4","-4","70","70","66","206"
"T55","Andrew Novak","-4","-3","67","72","67","206"
"T55","Ludvig Åberg","-4","-1","70","67","69","206"
"T55","Ryan Gerard","-4","E","68","68","70","206"
"T55","Jhonattan Vegas","-4","+2","69","65","72","206"
"T55","Taylor Pendrith","-4","+2","67","67","72","206"
"T62","Sahith Theegala","-2","-3","74","67","67","208"
"T62","Sam Stevens","-2","-1","68","71","69","208"
"T62","Alex Smalley","-2","+1","71","66","71","208"
"65","Cameron Young","-1","-4","72","71","66","209"
"66","Min Woo Lee","E","-1","68","73","69","210"
"T67","Lucas Glover","+2","-2","75","69","68","212"
"T67","Mark Hubbard","+2","+2","69","71","72","212"
"T69","Ryan Fox","+3","+1","71","71","71","213"
"T69","Jordan Spieth","+3","+3","71","69","73","213"
"T69","Gary Woodland","+3","+4","69","70","74","213"
"72","Sepp Straka","+8","+3","73","72","73","218"
