POS,Player,Total,1,2,3,4,5,6,7,8,9,OUT,10,11,12,13,14,15,16,17,18,IN,TOT,RD4
1,V. Hovland,-21,5,4,4,4,3,6,3,4,3,36,5,3,4,4,3,3,3,4,4,33,69,-1
2,S. Scheffler,-21,4,4,4,3,3,5,5,3,4,35,3,3,4,4,4,4,3,4,4,33,68,-2
3,C. Morikawa,-20,3,3,4,4,2,4,4,3,3,30,3,3,4,4,4,4,2,4,3,31,61,-9
4,M. Fitzpatrick,-19,4,4,3,3,2,4,4,3,5,32,4,2,3,4,5,4,3,3,4,32,64,-6
T5,W. Clark,-18,3,4,4,4,3,5,3,2,4,32,4,2,3,5,3,4,3,5,4,33,65,-5
T5,A. Bhatia,-18,4,3,3,4,3,4,4,3,4,32,5,3,4,4,4,4,3,4,4,35,67,-3
T7,C. Conners,-17,4,3,5,4,3,4,3,3,3,32,4,2,3,5,4,3,2,3,5,31,63,-7
T7,J.J. Spaun,-17,3,3,3,4,3,5,4,4,4,33,4,2,5,4,4,3,3,3,3,31,64,-6
T7,A. Fitzpatrick,-17,3,3,3,4,3,5,4,3,4,32,4,3,4,4,4,3,3,3,4,32,64,-6
T10,R. MacIntyre,-16,4,4,5,3,3,5,3,5,3,35,3,2,4,5,3,4,2,3,4,30,65,-5
T10,B. Griffin,-16,3,3,5,3,3,4,4,3,4,32,4,3,4,5,4,4,4,4,3,35,67,-3
T12,R. Henley,-15,4,3,3,5,2,5,3,3,4,32,3,2,4,5,4,4,3,4,3,32,64,-6
T12,S. Burns,-15,4,3,4,5,5,4,4,3,3,35,5,2,4,5,2,3,3,4,4,32,67,-3
T14,N. Højgaard,-14,3,4,4,4,2,4,4,3,3,31,4,2,4,4,4,3,2,4,4,31,62,-8
T14,K. Bradley,-14,4,3,4,3,3,5,3,3,4,32,3,4,4,5,3,3,3,4,3,32,64,-6
T14,T. Fleetwood,-14,4,3,4,3,2,5,4,3,4,32,3,3,4,5,4,3,3,4,4,33,65,-5
T14,D. McCarthy,-14,3,4,3,3,2,4,4,3,4,30,4,2,4,6,4,4,3,4,4,35,65,-5
T14,B. Cauley,-14,3,4,4,4,3,5,4,3,3,33,4,3,4,4,4,3,2,5,4,33,66,-4
T14,H. Matsuyama,-14,4,3,3,4,4,5,4,3,4,34,4,3,5,4,3,3,3,3,4,32,66,-4
T14,J. Thomas,-14,4,4,4,4,2,5,4,3,5,35,4,2,4,4,4,3,3,4,4,32,67,-3
