player_name,player_id,model_rank,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,pre_penalty_vts,debut_penalty_applied,anti_pattern_penalty_total,recent_form_gate_applied,health_gate_status,volatility_index,venue_variance_class,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,anti_pattern_flags,primary_trait_driver,primary_risk_trait,trait_summary_label,tee_time_rd1,tour,world_rank
"SCHEFFLER, SCOTTIE",1,1,1,99.03,3.2,100.0,97.22,-2.78,0.0,99.03,0.0,0.0,False,ok,25.0,high,6.59,78.01,80.2,82.73,85.23,87.64,12.36,,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,,PGA Tour,1.0
"RAHM, JON",3,2,1,87.02,2.28,88.61,84.05,-4.56,0.0,87.02,0.0,0.0,False,ok,25.0,high,3.45,57.11,64.02,71.49,78.51,86.24,13.76,,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,,LIV Golf,8.0
"HENLEY, RUSSELL",9,3,1,86.9,2.06,85.89,88.78,2.89,0.0,86.9,0.0,0.0,False,ok,25.0,high,3.43,56.85,63.81,71.34,78.42,86.21,13.79,,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind,,PGA Tour,5.0
"FLEETWOOD, TOMMY",6,4,1,85.86,2.06,85.89,85.81,-0.08,0.0,85.86,0.0,0.0,False,ok,25.0,high,3.23,54.42,61.84,69.92,77.55,85.97,14.03,,OTT_Accuracy,APP_150-200,OTT_Accuracy + OTT_Distance; weak APP_150-200,,PGA Tour,6.0
"FITZPATRICK, MATT",5,5,1,85.82,2.01,85.27,87.91,2.64,0.0,86.2,0.0,0.0,False,ok,25.0,high,3.22,54.31,61.74,69.86,77.51,85.96,14.04,,OTT_Accuracy,APP_150-200,OTT_Accuracy + OTT_Distance; weak APP_150-200,,PGA Tour,4.0
"YOUNG, CAMERON",4,6,1,85.55,2.15,87.0,82.83,-4.17,0.0,85.55,0.0,0.0,False,ok,25.0,high,3.17,53.66,61.21,69.47,77.27,85.89,14.11,,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,,PGA Tour,3.0
"SCHAUFFELE, XANDER",7,7,1,82.19,1.89,83.79,79.21,-4.57,0.0,82.19,0.0,0.0,False,ok,25.0,high,2.59,45.46,54.28,64.29,74.05,84.84,15.16,,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,12.0
"ABERG, LUDVIG",8,8,1,81.54,1.82,82.92,78.97,-3.95,0.0,81.54,0.0,0.0,False,ok,25.0,high,2.49,43.86,52.88,63.21,73.35,84.58,15.42,,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,13.0
"HOVLAND, VIKTOR",23,9,2,79.97,1.48,78.71,82.3,3.59,0.0,79.97,0.0,0.0,False,ok,25.0,high,2.26,39.99,49.42,60.48,71.58,83.89,16.11,,WindTolerance,MajorGrind,WindTolerance + OTT_Accuracy; weak MajorGrind,,PGA Tour,28.0
"CANTLAY, PATRICK",11,10,2,79.86,1.59,80.07,79.46,-0.61,0.0,79.86,0.0,0.0,False,ok,25.0,high,2.25,39.73,49.17,60.28,71.45,83.84,16.16,,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,,PGA Tour,36.0
