playername,tier,vtsfinal,winpct,primary_trait_driver,primary_risk_trait,antipatternflags,debutclass,recentformgateapplied,healthgatestatus,risk_type,risk_summary,impact_on_conviction,ceiling_adjustment_note
"SCHEFFLER, SCOTTIE",1,99.03,0.0659,OTT_Distance,APP_200+,none,none,False,ok,structural,Clean profile; primary structural risk is APP_200+ gap vs field elite,low,VTS ceiling intact; no capping warranted
"RAHM, JON",1,87.02,0.0345,OTT_Distance,APP_200+,none,none,False,ok,structural,Slight Shinnecock fit drag (VFD -4.6 VTI); neutral dominance carries score,low,VTS ceiling intact; no capping warranted
"HENLEY, RUSSELL",1,86.9,0.0343,OTT_Accuracy,MajorGrind,none,none,False,ok,structural,Clean profile; primary structural risk is MajorGrind gap vs field elite,low,VTS ceiling intact; no capping warranted
"FLEETWOOD, TOMMY",1,85.86,0.0323,OTT_Accuracy,APP_150-200,none,none,False,ok,structural,Clean profile; primary structural risk is APP_150-200 gap vs field elite,low,VTS ceiling intact; no capping warranted
"FITZPATRICK, MATT",1,85.82,0.0322,OTT_Accuracy,APP_150-200,none,none,False,ok,structural,Clean profile; primary structural risk is APP_150-200 gap vs field elite,low,VTS ceiling intact; no capping warranted
"YOUNG, CAMERON",1,85.55,0.0317,OTT_Distance,APP_200+,none,none,False,ok,structural,Slight Shinnecock fit drag (VFD -4.2 VTI); neutral dominance carries score,low,VTS ceiling intact; no capping warranted
"SCHAUFFELE, XANDER",1,82.19,0.0259,OTT_Distance,MajorGrind,none,none,False,ok,structural,Slight Shinnecock fit drag (VFD -4.6 VTI); neutral dominance carries score,low,VTS ceiling intact; no capping warranted
"ABERG, LUDVIG",1,81.54,0.0249,OTT_Distance,MajorGrind,none,none,False,ok,structural,Slight Shinnecock fit drag (VFD -3.9 VTI); neutral dominance carries score,low,VTS ceiling intact; no capping warranted
"HOVLAND, VIKTOR",2,79.97,0.0226,WindTolerance,MajorGrind,none,none,False,ok,structural,Clean profile; primary structural risk is MajorGrind gap vs field elite,low,VTS ceiling intact; no capping warranted
"CANTLAY, PATRICK",2,79.86,0.0225,OTT_Distance,MajorGrind,none,none,False,ok,variance,Form above baseline (+0.57 SG); trajectory watch pre-round,low,VTS ceiling intact; no capping warranted
