playerid,playername,firstname,lastname,worldrank,main_tour,datadepthclass,baselineconfidenceband,neutralskillsg,neutralskillindex,venuefitscore,venuefitdelta,venuefitconfidenceband,venue_history_rounds,venue_history_sg_total,venuehistorydelta,venuehistoryconfidenceband,prepenaltyvts,blendclass,blendweightsused,debutflag,debutclass,debutpenaltyapplied,antipatternflags,antipatternpenaltytotal,antipattern_penalty_bomb_and_spray,antipattern_penalty_short_and_wild,antipattern_penalty_long_iron_liability,antipattern_penalty_weak_tight_runoff,antipattern_penalty_poor_lag_putting,formscore_adjusted,recentformindex,form_vs_neutralskill,recentformgateapplied,recentformgate_reason,form_delta_vts,injuryflag,healthgatestatus,healthgatereason,health_delta_vts,playervarianceband,volatilityindex,venuevarianceclass,vtsfinal_raw,vtsfinal,tier,tierreason,tier_gate_flag,tier_gate_reason,winpct,top3pct,top5pct,top10pct,top20pct,makecutpct,misscutpct,primary_trait_driver,primary_risk_trait,trait_summary_label,tracenotes
1,"SCHEFFLER, SCOTTIE",Scottie,Scheffler,1.0,PGA Tour,deep,high,3.2,100.0,97.21721316447916,-2.782786835520838,high,0,0.0,0.0,low,99.0260246075677,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.10445,100.0,-0.21,False,,0.0,False,ok,,0.0,low,25.0,high,99.0260246075677,99.0260246075677,1,Elite NeutralSG=3.20 + positive VenueFitDelta=-2.8,False,,0.06587111601234939,0.780110252229686,0.8020402803040504,0.8273344897383271,0.852258189171246,0.8764121244928126,0.12358787550718742,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,NeutralSG=3.20; VFD=-2.8; ->Tier1 vtsfinal=99.0
2,"MCILROY, RORY",Rory,McIlroy,2.0,PGA Tour,deep,high,2.3,88.86138613861387,79.82530879661202,-9.036077342001846,high,0,0.0,0.0,low,85.69875906891322,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,bomb_and_spray;long_iron_liability,-8.72797729638296,-4.465533857468932,0.0,-4.262443438914028,0.0,0.0,2.35915,91.6551115593092,0.13,False,,0.0,False,ok,,0.0,low,25.0,high,59.51482717976434,59.51482717976434,3,"Mid-tier NeutralSG=2.30, moderate fit VFD=-9.0",False,,0.005165045863089879,0.06997169430698026,0.12244237118056023,0.22079879472670988,0.3876701458239415,0.5569035970138075,0.44309640298619246,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,NeutralSG=2.30; VFD=-9.0; AP=-8.7VTS (bomb_and_spray;long_iron_liability); ->Tier3 vtsfinal=59.5
3,"RAHM, JON",Jon,Rahm,8.0,LIV Golf,deep,high,2.28,88.61386138613861,84.05004296072774,-4.563818425410872,high,0,0.0,0.0,low,87.01652493724481,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.371,92.02067313752679,0.2,False,,0.0,False,ok,,0.0,low,25.0,high,87.01652493724481,87.01652493724481,1,Elite NeutralSG=2.28 + positive VenueFitDelta=-4.6,False,,0.034510954839715516,0.5711014965453481,0.6401600749614578,0.7149354012797695,0.7850572026999382,0.8623627148669115,0.13763728513308848,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,NeutralSG=2.28; VFD=-4.6; ->Tier1 vtsfinal=87.0
4,"YOUNG, CAMERON",Cameron,Young,3.0,PGA Tour,deep,high,2.15,87.0049504950495,82.83418764027562,-4.1707628547738835,high,0,0.0,0.0,low,85.54518349587863,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.02715,86.23471574435901,-0.28,False,,0.0,False,ok,,0.0,low,25.0,high,85.54518349587863,85.54518349587863,1,Elite NeutralSG=2.15 + positive VenueFitDelta=-4.2,False,,0.031690282386766015,0.5366479696315005,0.6121461841551002,0.6947093084593493,0.7727295404630441,0.8588796532499058,0.14112034675009422,OTT_Distance,APP_200+,OTT_Distance + OTT_Accuracy; weak APP_200+,NeutralSG=2.15; VFD=-4.2; ->Tier1 vtsfinal=85.5
5,"FITZPATRICK, MATT",Matt,Fitzpatrick,4.0,PGA Tour,deep,high,2.01,85.27227722772277,87.9133697177323,2.6410924900095267,high,0,0.0,0.0,low,86.1966595992261,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.8371,83.49930669355855,-0.38,False,,-0.38,False,ok,,0.0,low,25.0,high,85.8166595992261,85.8166595992261,1,Elite NeutralSG=2.01 + positive VenueFitDelta=2.6,False,,0.032196326765536146,0.543098863144454,0.6174351497950472,0.6985552876089891,0.7750843086168901,0.8595671807708558,0.1404328192291442,OTT_Accuracy,APP_150-200,OTT_Accuracy + OTT_Distance; weak APP_150-200,NeutralSG=2.01; VFD=2.6; ->Tier1 vtsfinal=85.8
6,"FLEETWOOD, TOMMY",Tommy,Fleetwood,6.0,PGA Tour,deep,high,2.06,85.89108910891089,85.81488684279427,-0.07620226611662417,high,0,0.0,0.0,low,85.86441831577007,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.1419,89.07096936846087,0.18,False,,0.0,False,ok,,0.0,low,25.0,high,85.86441831577007,85.86441831577007,1,Elite NeutralSG=2.06 + positive VenueFitDelta=-0.1,False,,0.032286016091391555,0.5442296811191624,0.618360131409501,0.6992265516832278,0.7754947646100206,0.8596859438677578,0.14031405613224224,OTT_Accuracy,APP_150-200,OTT_Accuracy + OTT_Distance; weak APP_150-200,NeutralSG=2.06; VFD=-0.1; ->Tier1 vtsfinal=85.9
7,"SCHAUFFELE, XANDER",Xander,Schauffele,12.0,PGA Tour,deep,high,1.89,83.78712871287128,79.21396170818727,-4.573167004684009,high,0,0.0,0.0,low,82.18652026123188,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.8308499999999999,84.19261313500567,-0.13,False,,0.0,False,ok,,0.0,low,25.0,high,82.18652026123188,82.18652026123188,1,Elite NeutralSG=1.89 + positive VenueFitDelta=-4.6,False,,0.025938882576378643,0.45461621453109835,0.5428445819429754,0.64294825204193,0.7404527387196999,0.8483711641961833,0.1516288358038167,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,NeutralSG=1.89; VFD=-4.6; ->Tier1 vtsfinal=82.2
8,"ABERG, LUDVIG",Ludvig,Aberg,13.0,PGA Tour,deep,high,1.82,82.92079207920791,78.97175805236897,-3.9490340268389446,high,0,0.0,0.0,low,81.53863016981428,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.911,86.22211017269633,0.2,False,,0.0,False,ok,,0.0,low,25.0,high,81.53863016981428,81.53863016981428,1,Elite NeutralSG=1.82 + positive VenueFitDelta=-3.9,False,,0.024932472789039307,0.4385835469792038,0.5287986323678904,0.6321080684638979,0.7335350241265449,0.8458487820431243,0.1541512179568757,OTT_Distance,MajorGrind,OTT_Distance + OTT_Accuracy; weak MajorGrind,NeutralSG=1.82; VFD=-3.9; ->Tier1 vtsfinal=81.5
9,"HENLEY, RUSSELL",Russell,Henley,5.0,PGA Tour,deep,high,2.06,85.89108910891089,88.78472094367515,2.893631834764264,high,0,0.0,0.0,low,86.90386025107838,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.9689999999999999,85.71788730618934,-0.2,False,,0.0,False,ok,,0.0,low,25.0,high,86.90386025107838,86.90386025107838,1,Elite NeutralSG=2.06 + positive VenueFitDelta=2.9,False,,0.03428811725124887,0.5685107051770243,0.6380728453557998,0.7134402935401323,0.7841504786837096,0.8621162787090437,0.13788372129095627,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind,NeutralSG=2.06; VFD=2.9; ->Tier1 vtsfinal=86.9
10,"KIM, SI WOO",Si Woo,Kim,18.0,PGA Tour,deep,high,1.5,78.96039603960396,83.16881696009058,4.208420920486617,high,0,0.0,0.0,low,80.43334336177428,Neutral+Venue,"{""neutral"": 0.65, ""venuefit"": 0.35, ""venuehistory"": 0.0}",False,,0.0,poor_lag_putting,-1.5099999999999996,0.0,0.0,0.0,0.0,-1.5099999999999996,1.7138499999999999,84.57078028488591,0.47,False,,0.0,False,ok,,0.0,low,25.0,high,75.90334336177428,75.90334336177428,2,"Strong NeutralSG=1.50, solid Shinnecock fit VFD=4.2",False,,0.017428211748127816,0.30451975950193694,0.4029972850188075,0.5282397079306034,0.6636197301940903,0.8145576861971257,0.18544231380287435,OTT_Accuracy,MajorGrind,OTT_Accuracy + WindTolerance; weak MajorGrind,NeutralSG=1.50; VFD=4.2; AP=-1.5VTS (poor_lag_putting); ->Tier2 vtsfinal=75.9
